---
B: Platinum, A: Copper. B probe is set to ground, so no column for B. B is the third white probe at the back. Just like in CSV 202203021608, this is showing set behavior as well despite no stimulation or forming history, which is strange. This implies B probe issue. Maybe this might be related to us using the platinum row 0 multiple times already for various cells? -- Test this hypothesis by avoiding platinum row 0 in the future.
---
Time,AI,AV
43.1171E-3,-535.1876E-9,000.0000E-3
67.6362E-3,20.0009E-6,50.0000E-3
92.6090E-3,20.0009E-6,100.0000E-3
117.5780E-3,20.0008E-6,150.0000E-3
142.5346E-3,20.0008E-6,200.0000E-3
167.4826E-3,20.0009E-6,250.0000E-3
192.4382E-3,20.0008E-6,300.0000E-3
217.3939E-3,20.0008E-6,350.0000E-3
242.3619E-3,20.0009E-6,400.0000E-3
267.3080E-3,20.0009E-6,450.0000E-3
292.2655E-3,20.0009E-6,500.0000E-3
317.2212E-3,20.0009E-6,550.0000E-3
342.1663E-3,20.0008E-6,600.0000E-3
367.1220E-3,20.0008E-6,650.0000E-3
392.0776E-3,20.0008E-6,700.0000E-3
417.0456E-3,20.0008E-6,750.0000E-3
441.9927E-3,20.0009E-6,800.0000E-3
466.9550E-3,20.0008E-6,850.0000E-3
491.9116E-3,20.0008E-6,900.0000E-3
516.8558E-3,20.0008E-6,950.0000E-3
541.8009E-3,20.0008E-6,1.0000E+0
566.7565E-3,20.0008E-6,1.0500E+0
591.7227E-3,20.0008E-6,1.1000E+0
616.6688E-3,20.0008E-6,1.1500E+0
641.6368E-3,20.0008E-6,1.2000E+0
666.5953E-3,20.0008E-6,1.2500E+0
691.5472E-3,20.0009E-6,1.3000E+0
716.4885E-3,20.0008E-6,1.3500E+0
741.4374E-3,20.0008E-6,1.4000E+0
766.4064E-3,20.0009E-6,1.4500E+0
791.3525E-3,20.0008E-6,1.5000E+0
816.3091E-3,20.0008E-6,1.5500E+0
841.2542E-3,20.0009E-6,1.6000E+0
866.2213E-3,20.0008E-6,1.6500E+0
891.1741E-3,20.0008E-6,1.7000E+0
916.1221E-3,20.0008E-6,1.7500E+0
941.0787E-3,20.0008E-6,1.8000E+0
966.0353E-3,20.0008E-6,1.8500E+0
991.0033E-3,20.0008E-6,1.9000E+0
1.0159E+0,20.0008E-6,1.9500E+0
1.0409E+0,20.0008E-6,2.0000E+0
1.0658E+0,20.0008E-6,2.0500E+0
1.0908E+0,20.0008E-6,2.1000E+0
1.1157E+0,20.0008E-6,2.1500E+0
1.1407E+0,20.0008E-6,2.2000E+0
1.1657E+0,20.0008E-6,2.2500E+0
1.1906E+0,20.0008E-6,2.3000E+0
1.2156E+0,20.0008E-6,2.3500E+0
1.2405E+0,20.0008E-6,2.4000E+0
1.2655E+0,20.0008E-6,2.4500E+0
1.2904E+0,20.0008E-6,2.5000E+0
1.3154E+0,20.0008E-6,2.5500E+0
1.3404E+0,20.0008E-6,2.6000E+0
1.3653E+0,20.0008E-6,2.6500E+0
1.3903E+0,20.0008E-6,2.7000E+0
1.4152E+0,20.0008E-6,2.7500E+0
1.4402E+0,20.0008E-6,2.8000E+0
1.4651E+0,20.0007E-6,2.8500E+0
1.4901E+0,20.0008E-6,2.9000E+0
1.5150E+0,20.0008E-6,2.9500E+0
1.5400E+0,20.0008E-6,3.0000E+0
1.5650E+0,20.0007E-6,3.0500E+0
1.5899E+0,20.0008E-6,3.1000E+0
1.6149E+0,20.0007E-6,3.1500E+0
1.6398E+0,20.0007E-6,3.2000E+0
1.6648E+0,20.0008E-6,3.2500E+0
1.6897E+0,20.0007E-6,3.3000E+0
1.7147E+0,20.0008E-6,3.3500E+0
1.7397E+0,20.0007E-6,3.4000E+0
1.7646E+0,20.0007E-6,3.4500E+0
1.7896E+0,20.0007E-6,3.5000E+0
1.8145E+0,20.0007E-6,3.5500E+0
1.8395E+0,20.0008E-6,3.6000E+0
1.8644E+0,20.0007E-6,3.6500E+0
1.8894E+0,20.0007E-6,3.7000E+0
1.9144E+0,20.0007E-6,3.7500E+0
1.9393E+0,20.0008E-6,3.8000E+0
1.9643E+0,20.0007E-6,3.8500E+0
1.9892E+0,20.0007E-6,3.9000E+0
2.0142E+0,20.0007E-6,3.9500E+0
2.0391E+0,20.0007E-6,4.0000E+0
2.0641E+0,20.0007E-6,4.0500E+0
2.0891E+0,20.0008E-6,4.1000E+0
2.1140E+0,20.0008E-6,4.1500E+0
2.1390E+0,20.0007E-6,4.2000E+0
2.1639E+0,20.0008E-6,4.2500E+0
2.1889E+0,20.0007E-6,4.3000E+0
2.2138E+0,20.0007E-6,4.3500E+0
2.2388E+0,20.0007E-6,4.4000E+0
2.2638E+0,20.0007E-6,4.4500E+0
2.2887E+0,20.0007E-6,4.5000E+0
2.3137E+0,20.0007E-6,4.5500E+0
2.3386E+0,20.0007E-6,4.6000E+0
2.3636E+0,20.0007E-6,4.6500E+0
2.3885E+0,20.0007E-6,4.7000E+0
2.4135E+0,20.0007E-6,4.7500E+0
2.4385E+0,20.0007E-6,4.8000E+0
2.4634E+0,20.0007E-6,4.8500E+0
2.4884E+0,20.0007E-6,4.9000E+0
2.5133E+0,20.0007E-6,4.9500E+0
2.5383E+0,20.0007E-6,5.0000E+0
