---
Successful form at 3.85V
---
Time,BI,BV,AI,AV
43.4088E-3,-518.0665E-12,000.0000E-3,-723.2765E-12,000.0000E-3
87.8661E-3,-492.8982E-12,000.0000E-3,-981.3235E-12,25.0000E-3
132.3853E-3,-513.0332E-12,000.0000E-3,-1.1128E-9,50.0000E-3
176.8779E-3,-487.8640E-12,000.0000E-3,-1.1179E-9,75.0000E-3
221.3790E-3,-558.3347E-12,000.0000E-3,-1.1482E-9,100.0000E-3
265.8916E-3,-553.3014E-12,000.0000E-3,-1.1634E-9,125.0000E-3
310.3651E-3,-578.4706E-12,000.0000E-3,-1.2494E-9,150.0000E-3
354.8844E-3,-502.9657E-12,000.0000E-3,-1.2343E-9,175.0000E-3
399.3922E-3,-518.0665E-12,000.0000E-3,-1.2292E-9,200.0000E-3
443.8857E-3,-523.0998E-12,000.0000E-3,-1.2241E-9,225.0000E-3
488.4030E-3,-578.4706E-12,000.0000E-3,-1.1735E-9,250.0000E-3
532.8794E-3,-563.3689E-12,000.0000E-3,-1.2090E-9,275.0000E-3
577.4081E-3,-553.3014E-12,000.0000E-3,-1.1584E-9,300.0000E-3
621.8997E-3,-608.6722E-12,000.0000E-3,-1.1280E-9,325.0000E-3
666.3837E-3,-487.8640E-12,000.0000E-3,-1.1027E-9,350.0000E-3
710.9001E-3,-558.3347E-12,000.0000E-3,-1.1735E-9,375.0000E-3
755.3822E-3,-553.3014E-12,000.0000E-3,-1.2039E-9,400.0000E-3
799.9100E-3,-583.5039E-12,000.0000E-3,-1.1988E-9,425.0000E-3
844.4092E-3,-623.7730E-12,000.0000E-3,-1.1381E-9,450.0000E-3
888.8875E-3,-583.5039E-12,000.0000E-3,-1.1634E-9,475.0000E-3
933.4029E-3,-553.3014E-12,000.0000E-3,-1.1735E-9,500.0000E-3
977.9012E-3,-653.9755E-12,000.0000E-3,-1.1938E-9,525.0000E-3
1.0224E+0,-492.8982E-12,000.0000E-3,-1.2090E-9,550.0000E-3
1.0669E+0,-528.1340E-12,000.0000E-3,-1.1786E-9,575.0000E-3
1.1113E+0,-523.0998E-12,000.0000E-3,-1.1735E-9,600.0000E-3
1.1559E+0,-548.2681E-12,000.0000E-3,-1.1735E-9,625.0000E-3
1.2004E+0,-573.4364E-12,000.0000E-3,-1.1837E-9,650.0000E-3
1.2449E+0,-573.4364E-12,000.0000E-3,-1.1533E-9,675.0000E-3
1.2894E+0,-518.0665E-12,000.0000E-3,-1.2039E-9,700.0000E-3
1.3339E+0,-507.9990E-12,000.0000E-3,-1.1634E-9,725.0000E-3
1.3784E+0,-513.0332E-12,000.0000E-3,-1.1887E-9,750.0000E-3
1.4229E+0,-573.4364E-12,000.0000E-3,-1.1938E-9,775.0000E-3
1.4674E+0,-523.0998E-12,000.0000E-3,-1.1887E-9,800.0000E-3
1.5119E+0,-588.5372E-12,000.0000E-3,-1.1988E-9,825.0000E-3
1.5564E+0,-593.5714E-12,000.0000E-3,-1.2090E-9,850.0000E-3
1.6009E+0,-191.6004E-9,000.0000E-3,189.7420E-9,875.0000E-3
1.6453E+0,-247.6501E-9,000.0000E-3,245.6693E-9,900.0000E-3
1.6899E+0,-87.4340E-9,000.0000E-3,85.6036E-9,925.0000E-3
1.7343E+0,-68.6988E-9,000.0000E-3,66.9680E-9,950.0000E-3
1.7788E+0,-59.6886E-9,000.0000E-3,57.9006E-9,975.0000E-3
1.8233E+0,-67.5964E-9,000.0000E-3,65.8042E-9,1.0000E+0
1.8678E+0,-84.5850E-9,000.0000E-3,82.8713E-9,1.0250E+0
1.9123E+0,-123.9230E-9,000.0000E-3,122.2730E-9,1.0500E+0
