---
Failed reset. Time axis was missing, so partially copied the time axis from '(device,0,0,-1,-1,0,0)_2202211343_reset_0_-5_0.5_8mA.csv'.
---
BI,BV,AI,AV,Time
1.20E-06,0.00E+00,-1.37E-06,0.00E+00,4.33E-02
4.10E-04,0.00E+00,-4.11E-04,-5.00E-02,8.78E-02
8.17E-04,0.00E+00,-8.17E-04,-1.00E-01,1.12E-01
1.22E-03,0.00E+00,-1.23E-03,-1.50E-01,1.37E-01
1.63E-03,0.00E+00,-1.63E-03,-2.00E-01,1.62E-01
2.04E-03,0.00E+00,-2.04E-03,-2.50E-01,1.87E-01
2.44E-03,0.00E+00,-2.44E-03,-3.00E-01,2.12E-01
2.84E-03,0.00E+00,-2.84E-03,-3.50E-01,2.37E-01
3.25E-03,0.00E+00,-3.25E-03,-4.00E-01,2.61E-01
3.66E-03,0.00E+00,-3.66E-03,-4.50E-01,2.86E-01
4.08E-03,0.00E+00,-4.08E-03,-5.00E-01,3.11E-01
4.50E-03,0.00E+00,-4.50E-03,-5.50E-01,3.36E-01
4.93E-03,0.00E+00,-4.93E-03,-6.00E-01,3.61E-01
5.00E-03,0.00E+00,-5.00E-03,-6.50E-01,3.86E-01
5.00E-03,0.00E+00,-5.00E-03,-7.00E-01,4.11E-01
5.00E-03,0.00E+00,-5.00E-03,-7.50E-01,4.35E-01
5.00E-03,0.00E+00,-5.00E-03,-8.00E-01,4.60E-01
5.00E-03,0.00E+00,-5.00E-03,-8.50E-01,4.85E-01
5.00E-03,0.00E+00,-5.00E-03,-9.00E-01,5.10E-01
5.00E-03,0.00E+00,-5.00E-03,-9.50E-01,5.35E-01
5.00E-03,0.00E+00,-5.00E-03,-1.00E+00,5.60E-01
5.00E-03,0.00E+00,-5.00E-03,-1.05E+00,5.85E-01
5.00E-03,0.00E+00,-5.00E-03,-1.10E+00,6.10E-01
5.00E-03,0.00E+00,-5.00E-03,-1.15E+00,6.35E-01
5.00E-03,0.00E+00,-5.00E-03,-1.20E+00,6.60E-01
5.00E-03,0.00E+00,-5.00E-03,-1.25E+00,6.85E-01
5.00E-03,0.00E+00,-5.00E-03,-1.30E+00,7.29E-01
5.00E-03,0.00E+00,-5.00E-03,-1.35E+00,7.74E-01
5.00E-03,0.00E+00,-5.00E-03,-1.40E+00,8.18E-01
5.00E-03,0.00E+00,-5.00E-03,-1.45E+00,8.63E-01
5.00E-03,0.00E+00,-5.00E-03,-1.50E+00,9.07E-01
5.00E-03,0.00E+00,-5.00E-03,-1.55E+00,9.52E-01
5.00E-03,0.00E+00,-5.00E-03,-1.60E+00,9.96E-01
5.00E-03,0.00E+00,-5.00E-03,-1.65E+00,1.04E+00
5.00E-03,0.00E+00,-5.00E-03,-1.70E+00,1.09E+00
5.00E-03,0.00E+00,-5.00E-03,-1.75E+00,1.13E+00
5.00E-03,0.00E+00,-5.00E-03,-1.80E+00,1.17E+00
5.00E-03,0.00E+00,-5.00E-03,-1.85E+00,1.22E+00
5.00E-03,0.00E+00,-5.00E-03,-1.90E+00,1.26E+00
5.00E-03,0.00E+00,-5.00E-03,-1.95E+00,1.31E+00
5.00E-03,0.00E+00,-5.00E-03,-2.00E+00,1.35E+00
5.00E-03,0.00E+00,-5.00E-03,-2.05E+00,1.40E+00
5.00E-03,0.00E+00,-5.00E-03,-2.10E+00,1.44E+00
5.00E-03,0.00E+00,-5.00E-03,-2.15E+00,1.49E+00
5.00E-03,0.00E+00,-5.00E-03,-2.20E+00,1.53E+00
5.00E-03,0.00E+00,-5.00E-03,-2.25E+00,1.58E+00
5.00E-03,0.00E+00,-5.00E-03,-2.30E+00,1.62E+00
5.00E-03,0.00E+00,-5.00E-03,-2.35E+00,1.66E+00
5.00E-03,0.00E+00,-5.00E-03,-2.40E+00,1.71E+00
5.00E-03,0.00E+00,-5.00E-03,-2.45E+00,1.75E+00
5.00E-03,0.00E+00,-5.00E-03,-2.50E+00,1.80E+00
5.00E-03,0.00E+00,-5.00E-03,-2.55E+00,1.84E+00
5.00E-03,0.00E+00,-5.00E-03,-2.60E+00,1.89E+00
5.00E-03,0.00E+00,-5.00E-03,-2.65E+00,1.93E+00
5.00E-03,0.00E+00,-5.00E-03,-2.70E+00,1.98E+00
5.00E-03,0.00E+00,-5.00E-03,-2.75E+00,2.02E+00
5.00E-03,0.00E+00,-5.00E-03,-2.80E+00,2.06E+00
5.00E-03,0.00E+00,-5.00E-03,-2.85E+00,2.11E+00
5.00E-03,0.00E+00,-5.00E-03,-2.90E+00,2.15E+00
5.00E-03,0.00E+00,-5.00E-03,-2.95E+00,2.20E+00
5.00E-03,0.00E+00,-5.00E-03,-3.00E+00,2.24E+00
