---
Successful set at 4.35V
---
Time,BI,BV,AI,AV
43.0323E-3,-598.6047E-12,000.0000E-3,-1.0015E-9,000.0000E-3
87.4943E-3,-613.7055E-12,000.0000E-3,-1.3759E-9,50.0000E-3
131.9879E-3,-664.0422E-12,000.0000E-3,-1.4518E-9,100.0000E-3
176.4919E-3,-694.2438E-12,000.0000E-3,-1.5783E-9,150.0000E-3
220.9968E-3,-694.2438E-12,000.0000E-3,-1.5884E-9,200.0000E-3
265.5027E-3,-684.1763E-12,000.0000E-3,-1.5733E-9,250.0000E-3
310.0191E-3,-739.5471E-12,000.0000E-3,-1.5682E-9,300.0000E-3
354.5078E-3,-744.5804E-12,000.0000E-3,-1.6087E-9,350.0000E-3
399.0194E-3,-759.6812E-12,000.0000E-3,-1.5277E-9,400.0000E-3
443.5177E-3,-860.3545E-12,000.0000E-3,-1.4468E-9,450.0000E-3
488.0236E-3,-895.5903E-12,000.0000E-3,-1.4518E-9,500.0000E-3
532.5162E-3,-940.8927E-12,000.0000E-3,-1.4670E-9,550.0000E-3
577.0307E-3,-935.8585E-12,000.0000E-3,-1.3962E-9,600.0000E-3
621.5156E-3,-966.0610E-12,000.0000E-3,-1.3658E-9,650.0000E-3
666.0110E-3,-1.0516E-9,000.0000E-3,-1.3557E-9,700.0000E-3
710.5036E-3,-1.1221E-9,000.0000E-3,-1.2292E-9,750.0000E-3
755.0018E-3,-1.1321E-9,000.0000E-3,-1.3152E-9,800.0000E-3
799.4763E-3,-1.1875E-9,000.0000E-3,-1.1229E-9,850.0000E-3
843.9755E-3,-1.2479E-9,000.0000E-3,-1.1331E-9,900.0000E-3
888.4585E-3,-1.3586E-9,000.0000E-3,-956.0246E-12,950.0000E-3
932.9740E-3,-1.3083E-9,000.0000E-3,-950.9655E-12,1.0000E+0
977.4684E-3,-1.4341E-9,000.0000E-3,-900.3678E-12,1.0500E+0
1.0219E+0,-1.5801E-9,000.0000E-3,-854.8300E-12,1.1000E+0
1.0664E+0,-1.5952E-9,000.0000E-3,-657.4998E-12,1.1500E+0
1.1109E+0,-1.6204E-9,000.0000E-3,-642.3209E-12,1.2000E+0
1.1554E+0,-1.7764E-9,000.0000E-3,-611.9629E-12,1.2500E+0
1.2000E+0,-1.7815E-9,000.0000E-3,-475.3495E-12,1.3000E+0
1.2445E+0,-1.8318E-9,000.0000E-3,-500.6484E-12,1.3500E+0
1.2890E+0,-1.9224E-9,000.0000E-3,-424.7518E-12,1.4000E+0
1.3335E+0,-1.9878E-9,000.0000E-3,-364.0359E-12,1.4500E+0
1.3780E+0,-2.1087E-9,000.0000E-3,-272.9603E-12,1.5000E+0
1.4225E+0,-2.2043E-9,000.0000E-3,-141.4069E-12,1.5500E+0
1.4670E+0,-2.2748E-9,000.0000E-3,-45.2722E-12,1.6000E+0
1.5115E+0,-2.3654E-9,000.0000E-3,15.4454E-12,1.6500E+0
1.5560E+0,-2.5868E-9,000.0000E-3,248.1935E-12,1.7000E+0
1.6006E+0,-3.0499E-9,000.0000E-3,688.3907E-12,1.7500E+0
1.6451E+0,-3.1758E-9,000.0000E-3,779.4663E-12,1.8000E+0
1.6896E+0,-2.9593E-9,000.0000E-3,577.0762E-12,1.8500E+0
1.7341E+0,-3.2211E-9,000.0000E-3,865.4819E-12,1.9000E+0
1.7786E+0,-3.3570E-9,000.0000E-3,1.0071E-9,1.9500E+0
1.8231E+0,-3.8956E-9,000.0000E-3,1.5485E-9,2.0000E+0
1.8676E+0,-4.7463E-9,000.0000E-3,2.3378E-9,2.0500E+0
1.9121E+0,-4.2832E-9,000.0000E-3,1.8673E-9,2.1000E+0
1.9566E+0,-4.2127E-9,000.0000E-3,1.8774E-9,2.1500E+0
2.0011E+0,-4.3537E-9,000.0000E-3,2.0393E-9,2.2000E+0
2.0456E+0,-5.5517E-9,000.0000E-3,3.0765E-9,2.2500E+0
2.0902E+0,-6.1406E-9,000.0000E-3,3.6989E-9,2.3000E+0
2.1346E+0,-7.2530E-9,000.0000E-3,4.8576E-9,2.3500E+0
2.1792E+0,-10.0115E-9,000.0000E-3,7.7467E-9,2.4000E+0
2.2237E+0,-12.5132E-9,000.0000E-3,10.1754E-9,2.4500E+0
2.2682E+0,-14.0535E-9,000.0000E-3,11.6124E-9,2.5000E+0
2.3127E+0,-15.6995E-9,000.0000E-3,13.3125E-9,2.5500E+0
2.3572E+0,-12.3874E-9,000.0000E-3,10.1045E-9,2.6000E+0
2.4017E+0,-12.2263E-9,000.0000E-3,9.9021E-9,2.6500E+0
2.4462E+0,-11.1642E-9,000.0000E-3,8.8345E-9,2.7000E+0
2.4907E+0,-9.6138E-9,000.0000E-3,7.3419E-9,2.7500E+0
2.5352E+0,-10.4695E-9,000.0000E-3,8.0401E-9,2.8000E+0
2.5797E+0,-15.5485E-9,000.0000E-3,13.2113E-9,2.8500E+0
2.6242E+0,-16.8170E-9,000.0000E-3,14.4915E-9,2.9000E+0
2.6687E+0,-22.5604E-9,000.0000E-3,20.3964E-9,2.9500E+0
2.7132E+0,-34.4700E-9,000.0000E-3,32.0646E-9,3.0000E+0
2.7577E+0,-43.5457E-9,000.0000E-3,41.1522E-9,3.0500E+0
2.8022E+0,-52.1331E-9,000.0000E-3,49.7339E-9,3.1000E+0
2.8466E+0,-67.1283E-9,000.0000E-3,64.6910E-9,3.1500E+0
2.8911E+0,-45.0658E-9,000.0000E-3,42.7309E-9,3.2000E+0
2.9356E+0,-110.3523E-9,000.0000E-3,107.9281E-9,3.2500E+0
2.9801E+0,-94.1640E-9,000.0000E-3,91.8375E-9,3.3000E+0
3.0246E+0,-94.6372E-9,000.0000E-3,92.3081E-9,3.3500E+0
3.0691E+0,-49.3646E-9,000.0000E-3,47.0217E-9,3.4000E+0
3.1135E+0,-49.7169E-9,000.0000E-3,47.2697E-9,3.4500E+0
3.1580E+0,-93.8771E-9,000.0000E-3,91.4732E-9,3.5000E+0
3.2025E+0,-77.0798E-9,000.0000E-3,74.6995E-9,3.5500E+0
3.2470E+0,-65.2407E-9,000.0000E-3,62.9807E-9,3.6000E+0
3.2915E+0,-82.4709E-9,000.0000E-3,80.1895E-9,3.6500E+0
3.3360E+0,-164.3784E-9,000.0000E-3,162.1047E-9,3.7000E+0
3.3805E+0,-606.9570E-9,000.0000E-3,604.7164E-9,3.7500E+0
3.4249E+0,-674.6798E-9,000.0000E-3,672.3018E-9,3.8000E+0
3.4684E+0,-773.6313E-9,000.0000E-3,771.3599E-9,3.8500E+0
3.5129E+0,-693.4603E-9,000.0000E-3,691.1753E-9,3.9000E+0
3.5574E+0,-465.3000E-9,000.0000E-3,462.9019E-9,3.9500E+0
3.6019E+0,-389.1107E-9,000.0000E-3,386.5628E-9,4.0000E+0
3.6463E+0,-383.9613E-9,000.0000E-3,381.8268E-9,4.0500E+0
3.6908E+0,-349.9439E-9,000.0000E-3,347.6875E-9,4.1000E+0
3.7353E+0,-380.2515E-9,000.0000E-3,378.2140E-9,4.1500E+0
3.7798E+0,-349.3550E-9,000.0000E-3,347.1410E-9,4.2000E+0
3.8243E+0,-325.3243E-9,000.0000E-3,323.0001E-9,4.2500E+0
3.8687E+0,-741.0786E-9,000.0000E-3,739.0675E-9,4.3000E+0
3.8933E+0,-49.9749E-6,000.0000E-3,50.0013E-6,4.3500E+0
3.9183E+0,-49.9755E-6,000.0000E-3,50.0006E-6,4.4000E+0
3.9433E+0,-49.9760E-6,000.0000E-3,50.0000E-6,4.4500E+0
3.9683E+0,-49.9765E-6,000.0000E-3,49.9995E-6,4.5000E+0
3.9932E+0,-49.9769E-6,000.0000E-3,49.9991E-6,4.5500E+0
4.0182E+0,-49.9773E-6,000.0000E-3,49.9986E-6,4.6000E+0
4.0432E+0,-49.9777E-6,000.0000E-3,49.9982E-6,4.6500E+0
4.0682E+0,-49.9780E-6,000.0000E-3,49.9979E-6,4.7000E+0
4.0931E+0,-49.9751E-6,000.0000E-3,49.9593E-6,4.7500E+0
4.1181E+0,-49.9738E-6,000.0000E-3,49.9492E-6,4.8000E+0
4.1431E+0,-49.9738E-6,000.0000E-3,49.9551E-6,4.8500E+0
4.1681E+0,-49.9738E-6,000.0000E-3,49.9594E-6,4.9000E+0
4.1930E+0,-49.9738E-6,000.0000E-3,49.9623E-6,4.9500E+0
4.2180E+0,-49.9737E-6,000.0000E-3,49.9642E-6,5.0000E+0
