---
Successful reset at -0.75V
---
Time,BI,BV,AI,AV
43.1562E-3,1.0678E-6,000.0000E-3,-1.1983E-6,000.0000E-3
87.6973E-3,326.6056E-6,000.0000E-3,-326.7213E-6,-50.0000E-3
131.1605E-3,640.8168E-6,000.0000E-3,-640.9236E-6,-100.0000E-3
155.7263E-3,958.8656E-6,000.0000E-3,-958.9657E-6,-150.0000E-3
180.5762E-3,1.2751E-3,000.0000E-3,-1.2752E-3,-200.0000E-3
205.4422E-3,1.5939E-3,000.0000E-3,-1.5940E-3,-250.0000E-3
230.2968E-3,1.9049E-3,000.0000E-3,-1.9050E-3,-300.0000E-3
255.1457E-3,2.2200E-3,000.0000E-3,-2.2200E-3,-350.0000E-3
279.9784E-3,2.5356E-3,000.0000E-3,-2.5356E-3,-400.0000E-3
304.8082E-3,2.8499E-3,000.0000E-3,-2.8500E-3,-450.0000E-3
329.6752E-3,3.1712E-3,000.0000E-3,-3.1712E-3,-500.0000E-3
354.5412E-3,3.4744E-3,000.0000E-3,-3.4744E-3,-550.0000E-3
379.3872E-3,3.7451E-3,000.0000E-3,-3.7452E-3,-600.0000E-3
404.2485E-3,3.9522E-3,000.0000E-3,-3.9522E-3,-650.0000E-3
429.0964E-3,1.6637E-3,000.0000E-3,-1.6650E-3,-700.0000E-3
473.8835E-3,-39.6991E-9,000.0000E-3,-91.4979E-9,-750.0000E-3
518.4142E-3,-43.7229E-9,000.0000E-3,-86.9473E-9,-800.0000E-3
562.9373E-3,-44.7288E-9,000.0000E-3,-87.4528E-9,-850.0000E-3
607.4594E-3,-40.2020E-9,000.0000E-3,-90.9923E-9,-900.0000E-3
652.0005E-3,-35.6753E-9,000.0000E-3,-89.9811E-9,-950.0000E-3
696.5474E-3,-32.6575E-9,000.0000E-3,-97.5656E-9,-1.0000E+0
741.0685E-3,-34.1665E-9,000.0000E-3,-98.0713E-9,-1.0500E+0
785.6040E-3,-33.6635E-9,000.0000E-3,-96.0487E-9,-1.1000E+0
830.0832E-3,-36.6812E-9,000.0000E-3,-93.0148E-9,-1.1500E+0
874.6148E-3,-36.1783E-9,000.0000E-3,-96.5542E-9,-1.2000E+0
919.1350E-3,-35.6753E-9,000.0000E-3,-105.1503E-9,-1.2500E+0
963.6199E-3,-34.6694E-9,000.0000E-3,-105.6558E-9,-1.3000E+0
1.0081E+0,-29.1368E-9,000.0000E-3,-103.6333E-9,-1.3500E+0
1.0526E+0,-34.1665E-9,000.0000E-3,-105.6558E-9,-1.4000E+0
1.0971E+0,-26.6220E-9,000.0000E-3,-111.7234E-9,-1.4500E+0
1.1416E+0,-30.1427E-9,000.0000E-3,-107.6783E-9,-1.5000E+0
1.1861E+0,-22.0952E-9,000.0000E-3,-111.7234E-9,-1.5500E+0
1.2306E+0,-16.0596E-9,000.0000E-3,-119.3080E-9,-1.6000E+0
1.2751E+0,-18.0715E-9,000.0000E-3,-115.7685E-9,-1.6500E+0
1.3196E+0,-31.6516E-9,000.0000E-3,-97.0599E-9,-1.7000E+0
1.3641E+0,-44.7288E-9,000.0000E-3,-90.9923E-9,-1.7500E+0
1.4086E+0,-45.2317E-9,000.0000E-3,-95.0374E-9,-1.8000E+0
1.4531E+0,-45.2317E-9,000.0000E-3,-89.4754E-9,-1.8500E+0
1.4976E+0,-43.7229E-9,000.0000E-3,-89.4754E-9,-1.9000E+0
1.5422E+0,3.0530E-9,000.0000E-3,-141.0504E-9,-1.9500E+0
1.5867E+0,96.6049E-9,000.0000E-3,-232.0649E-9,-2.0000E+0
1.6312E+0,-22.0952E-9,000.0000E-3,-114.2517E-9,-2.0500E+0
1.6757E+0,-40.2020E-9,000.0000E-3,-99.0825E-9,-2.1000E+0
1.7202E+0,-36.6812E-9,000.0000E-3,-98.0713E-9,-2.1500E+0
1.7647E+0,-47.2435E-9,000.0000E-3,-88.4642E-9,-2.2000E+0
1.8092E+0,-40.7050E-9,000.0000E-3,-99.0825E-9,-2.2500E+0
1.8537E+0,-39.1961E-9,000.0000E-3,-97.5656E-9,-2.3000E+0
1.8982E+0,18.6451E-9,000.0000E-3,-159.2533E-9,-2.3500E+0
1.9427E+0,-33.6635E-9,000.0000E-3,-101.1051E-9,-2.4000E+0
1.9872E+0,-35.6753E-9,000.0000E-3,-105.1503E-9,-2.4500E+0
2.0317E+0,25.6866E-9,000.0000E-3,-161.7814E-9,-2.5000E+0
2.0762E+0,-32.1546E-9,000.0000E-3,-98.5768E-9,-2.5500E+0
2.1207E+0,-28.1309E-9,000.0000E-3,-99.0825E-9,-2.6000E+0
2.1652E+0,-6.0002E-9,000.0000E-3,-127.9039E-9,-2.6500E+0
2.2098E+0,-39.1961E-9,000.0000E-3,-98.5768E-9,-2.7000E+0
2.2543E+0,-36.1783E-9,000.0000E-3,-95.5431E-9,-2.7500E+0
2.2988E+0,-37.6873E-9,000.0000E-3,-91.4979E-9,-2.8000E+0
2.3433E+0,-40.2020E-9,000.0000E-3,-94.5318E-9,-2.8500E+0
2.3879E+0,-36.6812E-9,000.0000E-3,-93.0148E-9,-2.9000E+0
2.4324E+0,-28.1309E-9,000.0000E-3,-106.6671E-9,-2.9500E+0
2.4769E+0,-29.6397E-9,000.0000E-3,-105.6558E-9,-3.0000E+0
2.5214E+0,-26.1191E-9,000.0000E-3,-108.1840E-9,-3.0500E+0
2.5659E+0,-26.1191E-9,000.0000E-3,-104.6446E-9,-3.1000E+0
2.6103E+0,-37.6873E-9,000.0000E-3,-89.9811E-9,-3.1500E+0
2.6549E+0,-35.6753E-9,000.0000E-3,-94.0262E-9,-3.2000E+0
2.6994E+0,-33.1605E-9,000.0000E-3,-100.5995E-9,-3.2500E+0
2.7439E+0,-28.6338E-9,000.0000E-3,-112.2291E-9,-3.3000E+0
2.7884E+0,-22.5982E-9,000.0000E-3,-115.7685E-9,-3.3500E+0
2.8329E+0,-8.0121E-9,000.0000E-3,-126.3869E-9,-3.4000E+0
2.8774E+0,2.5501E-9,000.0000E-3,-141.0504E-9,-3.4500E+0
2.9219E+0,20.6569E-9,000.0000E-3,-160.2645E-9,-3.5000E+0
2.9664E+0,52.3439E-9,000.0000E-3,-186.5575E-9,-3.5500E+0
3.0109E+0,97.1078E-9,000.0000E-3,-234.5931E-9,-3.6000E+0
3.0554E+0,144.8898E-9,000.0000E-3,-276.5608E-9,-3.6500E+0
3.0999E+0,189.1509E-9,000.0000E-3,-320.5512E-9,-3.7000E+0
3.1444E+0,262.5841E-9,000.0000E-3,-392.3515E-9,-3.7500E+0
3.1889E+0,356.1360E-9,000.0000E-3,-480.3322E-9,-3.8000E+0
3.2335E+0,465.2798E-9,000.0000E-3,-600.1679E-9,-3.8500E+0
3.2780E+0,623.2115E-9,000.0000E-3,-756.4095E-9,-3.9000E+0
