---
Successful set at 4.7V.
---
Time,BI,BV,AI,AV
42.9274E-3,-256.3540E-12,000.0000E-3,-753.6647E-12,000.0000E-3
87.3819E-3,-266.4216E-12,000.0000E-3,-1.1432E-9,50.0000E-3
131.8887E-3,-301.6574E-12,000.0000E-3,-1.2697E-9,100.0000E-3
176.3927E-3,-221.1182E-12,000.0000E-3,-1.3658E-9,150.0000E-3
220.8901E-3,-306.6907E-12,000.0000E-3,-1.3557E-9,200.0000E-3
265.4103E-3,-286.5557E-12,000.0000E-3,-1.3861E-9,250.0000E-3
309.9248E-3,-341.9265E-12,000.0000E-3,-1.3760E-9,300.0000E-3
354.4278E-3,-346.9598E-12,000.0000E-3,-1.4215E-9,350.0000E-3
398.9365E-3,-377.1623E-12,000.0000E-3,-1.3810E-9,400.0000E-3
443.4348E-3,-392.2631E-12,000.0000E-3,-1.2191E-9,450.0000E-3
487.9541E-3,-457.7005E-12,000.0000E-3,-1.2697E-9,500.0000E-3
532.4647E-3,-457.7005E-12,000.0000E-3,-1.2849E-9,550.0000E-3
576.9735E-3,-508.0372E-12,000.0000E-3,-1.1888E-9,600.0000E-3
621.4765E-3,-528.1713E-12,000.0000E-3,-1.1382E-9,650.0000E-3
665.9672E-3,-628.8454E-12,000.0000E-3,-1.0926E-9,700.0000E-3
710.4731E-3,-643.9462E-12,000.0000E-3,-1.0774E-9,750.0000E-3
754.9675E-3,-704.3504E-12,000.0000E-3,-1.0167E-9,800.0000E-3
799.4630E-3,-805.0236E-12,000.0000E-3,-950.9948E-12,850.0000E-3
843.9612E-3,-860.3935E-12,000.0000E-3,-976.2937E-12,900.0000E-3
888.4595E-3,-905.6969E-12,000.0000E-3,-814.3815E-12,950.0000E-3
932.9597E-3,-981.2018E-12,000.0000E-3,-819.4414E-12,1.0000E+0
977.4389E-3,-1.0214E-9,000.0000E-3,-728.3658E-12,1.0500E+0
1.0219E+0,-1.1120E-9,000.0000E-3,-591.7524E-12,1.1000E+0
1.0664E+0,-1.1674E-9,000.0000E-3,-647.4092E-12,1.1500E+0
1.1109E+0,-1.2026E-9,000.0000E-3,-485.4979E-12,1.2000E+0
1.1554E+0,-1.2832E-9,000.0000E-3,-455.1381E-12,1.2500E+0
1.1999E+0,-1.4040E-9,000.0000E-3,-404.5413E-12,1.3000E+0
1.2445E+0,-1.4644E-9,000.0000E-3,-298.2867E-12,1.3500E+0
1.2890E+0,-1.7916E-9,000.0000E-3,25.5377E-12,1.4000E+0
1.3335E+0,-3.1859E-9,000.0000E-3,1.3714E-9,1.4500E+0
1.3780E+0,-1.8822E-9,000.0000E-3,136.8523E-12,1.5000E+0
1.4225E+0,-1.8721E-9,000.0000E-3,187.4501E-12,1.5500E+0
1.4670E+0,-3.0752E-9,000.0000E-3,1.3157E-9,1.6000E+0
1.5115E+0,-23.6729E-9,000.0000E-3,21.8993E-9,1.6500E+0
1.5560E+0,-2.1439E-9,000.0000E-3,445.4970E-12,1.7000E+0
1.6005E+0,-2.2295E-9,000.0000E-3,485.9757E-12,1.7500E+0
1.6450E+0,-2.3906E-9,000.0000E-3,668.1269E-12,1.8000E+0
1.6895E+0,-2.6372E-9,000.0000E-3,916.0548E-12,1.8500E+0
1.7340E+0,-2.6423E-9,000.0000E-3,845.2181E-12,1.9000E+0
1.7785E+0,-2.7530E-9,000.0000E-3,1.1589E-9,1.9500E+0
1.8231E+0,-3.1003E-9,000.0000E-3,1.3511E-9,2.0000E+0
1.8675E+0,-3.2010E-9,000.0000E-3,1.4422E-9,2.0500E+0
1.9120E+0,-3.4980E-9,000.0000E-3,1.7863E-9,2.1000E+0
