---
Failed reset
---
BI,BV,AI,AV
1.1875E-6,000.0000E-3,-1.3247E-6,000.0000E-3
348.2831E-6,000.0000E-3,-348.4040E-6,-50.0000E-3
692.7707E-6,000.0000E-3,-692.8848E-6,-100.0000E-3
1.0401E-3,000.0000E-3,-1.0402E-3,-150.0000E-3
1.3825E-3,000.0000E-3,-1.3826E-3,-200.0000E-3
1.7263E-3,000.0000E-3,-1.7264E-3,-250.0000E-3
2.0636E-3,000.0000E-3,-2.0637E-3,-300.0000E-3
2.4101E-3,000.0000E-3,-2.4101E-3,-350.0000E-3
2.7505E-3,000.0000E-3,-2.7505E-3,-400.0000E-3
3.0932E-3,000.0000E-3,-3.0932E-3,-450.0000E-3
3.4360E-3,000.0000E-3,-3.4360E-3,-500.0000E-3
3.7750E-3,000.0000E-3,-3.7751E-3,-550.0000E-3
4.1205E-3,000.0000E-3,-4.1206E-3,-600.0000E-3
4.4542E-3,000.0000E-3,-4.4543E-3,-650.0000E-3
4.7933E-3,000.0000E-3,-4.7934E-3,-700.0000E-3
5.1469E-3,000.0000E-3,-5.1470E-3,-750.0000E-3
5.4831E-3,000.0000E-3,-5.4832E-3,-800.0000E-3
5.8309E-3,000.0000E-3,-5.8310E-3,-850.0000E-3
6.1763E-3,000.0000E-3,-6.1764E-3,-900.0000E-3
6.5092E-3,000.0000E-3,-6.5093E-3,-950.0000E-3
6.8522E-3,000.0000E-3,-6.8523E-3,-1.0000E+0
7.2052E-3,000.0000E-3,-7.2053E-3,-1.0500E+0
7.9480E-3,000.0000E-3,-7.9481E-3,-1.1000E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-1.1500E+0
7.9997E-3,000.0000E-3,-7.9998E-3,-1.2000E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-1.2500E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-1.3000E+0
7.9997E-3,000.0000E-3,-7.9998E-3,-1.3500E+0
7.9997E-3,000.0000E-3,-7.9998E-3,-1.4000E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-1.4500E+0
7.9997E-3,000.0000E-3,-7.9998E-3,-1.5000E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-1.5500E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-1.6000E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-1.6500E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-1.7000E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-1.7500E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-1.8000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-1.8500E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-1.9000E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-1.9500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-2.0000E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-2.0500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-2.1000E+0
7.9997E-3,000.0000E-3,-7.9998E-3,-2.1500E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-2.2000E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-2.2500E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-2.3000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-2.3500E+0
7.9997E-3,000.0000E-3,-7.9998E-3,-2.4000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-2.4500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-2.5000E+0
7.9997E-3,000.0000E-3,-7.9998E-3,-2.5500E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-2.6000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-2.6500E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-2.7000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-2.7500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-2.8000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-2.8500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-2.9000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-2.9500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-3.0000E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-3.0500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-3.1000E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-3.1500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-3.2000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-3.2500E+0
7.9997E-3,000.0000E-3,-7.9998E-3,-3.3000E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-3.3500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-3.4000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-3.4500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-3.5000E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-3.5500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-3.6000E+0
7.9997E-3,000.0000E-3,-7.9997E-3,-3.6500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-3.7000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-3.7500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-3.8000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-3.8500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-3.9000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-3.9500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.0000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.0500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.1000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.1500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.2000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.2500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.3000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.3500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.4000E+0
7.9996E-3,000.0000E-3,-7.9998E-3,-4.4500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.5000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.5500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.6000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.6500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.7000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.7500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.8000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.8500E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.9000E+0
7.9996E-3,000.0000E-3,-7.9997E-3,-4.9500E+0
