---
Failed reset. Missing time axis so copied the time axis from '(device,0,0,-1,-1,0,0)_2202211410_set_0_5_0.5_50uA.csv'
---
BI,BV,AI,AV,Time
1.19E-06,0.00E+00,-1.32E-06,0.00E+00,4.29E-02
3.48E-04,0.00E+00,-3.48E-04,-5.00E-02,8.74E-02
6.93E-04,0.00E+00,-6.93E-04,-1.00E-01,1.32E-01
1.04E-03,0.00E+00,-1.04E-03,-1.50E-01,1.76E-01
1.38E-03,0.00E+00,-1.38E-03,-2.00E-01,2.21E-01
1.73E-03,0.00E+00,-1.73E-03,-2.50E-01,2.65E-01
2.06E-03,0.00E+00,-2.06E-03,-3.00E-01,3.10E-01
2.41E-03,0.00E+00,-2.41E-03,-3.50E-01,3.54E-01
2.75E-03,0.00E+00,-2.75E-03,-4.00E-01,3.99E-01
3.09E-03,0.00E+00,-3.09E-03,-4.50E-01,4.43E-01
3.44E-03,0.00E+00,-3.44E-03,-5.00E-01,4.88E-01
3.78E-03,0.00E+00,-3.78E-03,-5.50E-01,5.32E-01
4.12E-03,0.00E+00,-4.12E-03,-6.00E-01,5.77E-01
4.45E-03,0.00E+00,-4.45E-03,-6.50E-01,6.21E-01
4.79E-03,0.00E+00,-4.79E-03,-7.00E-01,6.66E-01
5.15E-03,0.00E+00,-5.15E-03,-7.50E-01,7.10E-01
5.48E-03,0.00E+00,-5.48E-03,-8.00E-01,7.55E-01
5.83E-03,0.00E+00,-5.83E-03,-8.50E-01,7.99E-01
6.18E-03,0.00E+00,-6.18E-03,-9.00E-01,8.44E-01
6.51E-03,0.00E+00,-6.51E-03,-9.50E-01,8.88E-01
6.85E-03,0.00E+00,-6.85E-03,-1.00E+00,9.33E-01
7.21E-03,0.00E+00,-7.21E-03,-1.05E+00,9.77E-01
7.95E-03,0.00E+00,-7.95E-03,-1.10E+00,1.02E+00
8.00E-03,0.00E+00,-8.00E-03,-1.15E+00,1.07E+00
8.00E-03,0.00E+00,-8.00E-03,-1.20E+00,1.11E+00
8.00E-03,0.00E+00,-8.00E-03,-1.25E+00,1.16E+00
8.00E-03,0.00E+00,-8.00E-03,-1.30E+00,1.20E+00
8.00E-03,0.00E+00,-8.00E-03,-1.35E+00,1.24E+00
8.00E-03,0.00E+00,-8.00E-03,-1.40E+00,1.29E+00
8.00E-03,0.00E+00,-8.00E-03,-1.45E+00,1.33E+00
8.00E-03,0.00E+00,-8.00E-03,-1.50E+00,1.38E+00
8.00E-03,0.00E+00,-8.00E-03,-1.55E+00,1.42E+00
8.00E-03,0.00E+00,-8.00E-03,-1.60E+00,1.47E+00
8.00E-03,0.00E+00,-8.00E-03,-1.65E+00,1.51E+00
8.00E-03,0.00E+00,-8.00E-03,-1.70E+00,1.56E+00
8.00E-03,0.00E+00,-8.00E-03,-1.75E+00,1.60E+00
8.00E-03,0.00E+00,-8.00E-03,-1.80E+00,1.65E+00
8.00E-03,0.00E+00,-8.00E-03,-1.85E+00,1.69E+00
8.00E-03,0.00E+00,-8.00E-03,-1.90E+00,1.73E+00
8.00E-03,0.00E+00,-8.00E-03,-1.95E+00,1.78E+00
8.00E-03,0.00E+00,-8.00E-03,-2.00E+00,1.82E+00
8.00E-03,0.00E+00,-8.00E-03,-2.05E+00,1.87E+00
8.00E-03,0.00E+00,-8.00E-03,-2.10E+00,1.91E+00
8.00E-03,0.00E+00,-8.00E-03,-2.15E+00,1.96E+00
8.00E-03,0.00E+00,-8.00E-03,-2.20E+00,2.00E+00
8.00E-03,0.00E+00,-8.00E-03,-2.25E+00,2.05E+00
8.00E-03,0.00E+00,-8.00E-03,-2.30E+00,2.09E+00
8.00E-03,0.00E+00,-8.00E-03,-2.35E+00,2.13E+00
8.00E-03,0.00E+00,-8.00E-03,-2.40E+00,2.18E+00
8.00E-03,0.00E+00,-8.00E-03,-2.45E+00,2.22E+00
8.00E-03,0.00E+00,-8.00E-03,-2.50E+00,2.27E+00
8.00E-03,0.00E+00,-8.00E-03,-2.55E+00,2.31E+00
8.00E-03,0.00E+00,-8.00E-03,-2.60E+00,2.36E+00
8.00E-03,0.00E+00,-8.00E-03,-2.65E+00,2.40E+00
