---
Probe A: Copper 
Probe B: Platinum
---
Time,BI,BV,AI,AV
43.1200E-3,96.6358E-12,000.0000E-3,-220.1070E-12,000.0000E-3
87.5563E-3,125.8323E-12,000.0000E-3,-647.6679E-12,50.0000E-3
132.0460E-3,62.9087E-12,000.0000E-3,-809.5845E-12,100.0000E-3
176.5557E-3,111.7375E-12,000.0000E-3,-871.8211E-12,150.0000E-3
221.0445E-3,98.1459E-12,000.0000E-3,-924.9499E-12,200.0000E-3
265.5180E-3,100.1595E-12,000.0000E-3,-965.9351E-12,250.0000E-3
310.0420E-3,92.1053E-12,000.0000E-3,-991.7405E-12,300.0000E-3
354.5298E-3,69.4527E-12,000.0000E-3,-954.2975E-12,350.0000E-3
399.0557E-3,81.5341E-12,000.0000E-3,-986.6807E-12,400.0000E-3
443.5635E-3,66.4325E-12,000.0000E-3,-993.7646E-12,450.0000E-3
488.0522E-3,46.2969E-12,000.0000E-3,-949.7434E-12,500.0000E-3
532.5744E-3,33.7121E-12,000.0000E-3,-957.8394E-12,550.0000E-3
577.0669E-3,40.7596E-12,000.0000E-3,-940.6356E-12,600.0000E-3
621.5919E-3,47.3036E-12,000.0000E-3,-956.8273E-12,650.0000E-3
666.1054E-3,-88.6114E-12,000.0000E-3,-842.9798E-12,700.0000E-3
710.5846E-3,-2.4077E-9,000.0000E-3,1.5564E-9,750.0000E-3
755.0933E-3,-4.7590E-9,000.0000E-3,3.9038E-9,800.0000E-3
799.5650E-3,-5.3122E-9,000.0000E-3,4.4750E-9,850.0000E-3
844.0766E-3,-13.8069E-9,000.0000E-3,12.9395E-9,900.0000E-3
888.5663E-3,-20.0651E-9,000.0000E-3,19.1989E-9,950.0000E-3
933.0340E-3,-37.8891E-9,000.0000E-3,37.0493E-9,1.0000E+0
977.5314E-3,-53.0491E-9,000.0000E-3,52.2204E-9,1.0500E+0
1.0219E+0,-46.0415E-9,000.0000E-3,45.1707E-9,1.1000E+0
1.0664E+0,-56.0765E-9,000.0000E-3,55.1623E-9,1.1500E+0
1.1109E+0,-63.5357E-9,000.0000E-3,62.6517E-9,1.2000E+0
1.1553E+0,-86.0403E-9,000.0000E-3,85.1706E-9,1.2500E+0
1.1988E+0,-99.8200E-9,000.0000E-3,98.9446E-9,1.3000E+0
1.2433E+0,-31.5670E-9,000.0000E-3,30.6630E-9,1.3500E+0
1.2878E+0,-39.1959E-9,000.0000E-3,38.2794E-9,1.4000E+0
1.3322E+0,-22.7124E-9,000.0000E-3,21.7790E-9,1.4500E+0
1.3767E+0,-100.7554E-9,000.0000E-3,99.8337E-9,1.5000E+0
1.4212E+0,-29.4336E-9,000.0000E-3,28.5630E-9,1.5500E+0
1.4657E+0,-34.1549E-9,000.0000E-3,33.2380E-9,1.6000E+0
1.5102E+0,-28.7868E-9,000.0000E-3,27.8764E-9,1.6500E+0
1.5547E+0,-77.6115E-9,000.0000E-3,76.7349E-9,1.7000E+0
1.5981E+0,-50.2946E-9,000.0000E-3,49.3812E-9,1.7500E+0
1.6426E+0,-26.6056E-9,000.0000E-3,25.6727E-9,1.8000E+0
1.6871E+0,-7.9963E-9,000.0000E-3,7.1164E-9,1.8500E+0
1.7315E+0,-12.1387E-9,000.0000E-3,11.2095E-9,1.9000E+0
1.7760E+0,-12.8389E-9,000.0000E-3,11.9721E-9,1.9500E+0
1.8205E+0,-8.9502E-9,000.0000E-3,8.0849E-9,2.0000E+0
