---
Probe A: Copper
Probe B: Platinum
Missing Time axis, Time included from 2202241150
---
Time,BI,BV,AI,AV
4.30E-02,1.84E-07,0.00E+00,-3.51E-07,0.00E+00
8.75E-02,6.16E-05,0.00E+00,-6.18E-05,-5.00E-02
1.31E-01,1.23E-04,0.00E+00,-1.23E-04,-1.00E-01
1.74E-01,1.85E-04,0.00E+00,-1.86E-04,-1.50E-01
2.18E-01,2.53E-04,0.00E+00,-2.54E-04,-2.00E-01
2.42E-01,3.37E-04,0.00E+00,-3.37E-04,-2.50E-01
2.67E-01,4.31E-04,0.00E+00,-4.31E-04,-3.00E-01
2.92E-01,5.19E-04,0.00E+00,-5.19E-04,-3.50E-01
3.17E-01,5.97E-04,0.00E+00,-5.97E-04,-4.00E-01
3.42E-01,6.72E-04,0.00E+00,-6.72E-04,-4.50E-01
3.67E-01,7.48E-04,0.00E+00,-7.48E-04,-5.00E-01
3.92E-01,8.34E-04,0.00E+00,-8.34E-04,-5.50E-01
4.16E-01,9.70E-04,0.00E+00,-9.71E-04,-6.00E-01
4.41E-01,1.14E-03,0.00E+00,-1.14E-03,-6.50E-01
4.66E-01,1.33E-03,0.00E+00,-1.33E-03,-7.00E-01
4.91E-01,1.51E-03,0.00E+00,-1.51E-03,-7.50E-01
5.16E-01,1.71E-03,0.00E+00,-1.71E-03,-8.00E-01
5.41E-01,1.89E-03,0.00E+00,-1.89E-03,-8.50E-01
5.66E-01,5.06E-04,0.00E+00,-5.07E-04,-9.00E-01
6.09E-01,5.43E-04,0.00E+00,-5.43E-04,-9.50E-01
6.53E-01,5.70E-04,0.00E+00,-5.70E-04,-1.00E+00
6.96E-01,5.94E-04,0.00E+00,-5.94E-04,-1.05E+00
7.40E-01,6.20E-04,0.00E+00,-6.20E-04,-1.10E+00
7.83E-01,6.11E-04,0.00E+00,-6.11E-04,-1.15E+00
8.27E-01,6.34E-04,0.00E+00,-6.34E-04,-1.20E+00
8.70E-01,6.45E-04,0.00E+00,-6.45E-04,-1.25E+00
9.14E-01,6.02E-04,0.00E+00,-6.03E-04,-1.30E+00
9.38E-01,5.52E-04,0.00E+00,-5.52E-04,-1.35E+00
9.63E-01,4.89E-04,0.00E+00,-4.90E-04,-1.40E+00
9.88E-01,4.12E-04,0.00E+00,-4.13E-04,-1.45E+00
1.01E+00,3.36E-04,0.00E+00,-3.36E-04,-1.50E+00
1.04E+00,2.62E-04,0.00E+00,-2.62E-04,-1.55E+00
1.06E+00,1.54E-04,0.00E+00,-1.54E-04,-1.60E+00
1.09E+00,1.11E-04,0.00E+00,-1.11E-04,-1.65E+00
1.11E+00,8.33E-05,0.00E+00,-8.34E-05,-1.70E+00
1.14E+00,4.50E-05,0.00E+00,-4.51E-05,-1.75E+00
1.16E+00,2.83E-05,0.00E+00,-2.85E-05,-1.80E+00
1.19E+00,1.48E-05,0.00E+00,-1.50E-05,-1.85E+00
1.21E+00,1.27E-05,0.00E+00,-1.29E-05,-1.90E+00
1.24E+00,1.04E-05,0.00E+00,-1.06E-05,-1.95E+00
1.26E+00,6.30E-06,0.00E+00,-6.47E-06,-2.00E+00
1.29E+00,3.39E-07,0.00E+00,-5.03E-07,-2.05E+00
1.31E+00,3.80E-07,0.00E+00,-5.45E-07,-2.10E+00
1.34E+00,4.32E-07,0.00E+00,-5.98E-07,-2.15E+00
1.36E+00,4.95E-07,0.00E+00,-6.66E-07,-2.20E+00
1.39E+00,7.13E-07,0.00E+00,-8.81E-07,-2.25E+00
1.41E+00,5.27E-07,0.00E+00,-6.94E-07,-2.30E+00
1.44E+00,9.53E-07,0.00E+00,-1.12E-06,-2.35E+00
1.46E+00,-5.84E-08,0.00E+00,-1.13E-07,-2.40E+00
1.49E+00,-6.14E-08,0.00E+00,-1.12E-07,-2.45E+00
1.51E+00,-5.74E-08,0.00E+00,-1.06E-07,-2.50E+00
1.54E+00,-6.04E-08,0.00E+00,-1.07E-07,-2.55E+00
1.56E+00,-5.99E-08,0.00E+00,-1.05E-07,-2.60E+00
1.59E+00,-6.44E-08,0.00E+00,-1.07E-07,-2.65E+00
1.61E+00,-5.94E-08,0.00E+00,-1.03E-07,-2.70E+00
1.64E+00,-6.09E-08,0.00E+00,-1.11E-07,-2.75E+00
1.66E+00,-5.99E-08,0.00E+00,-1.06E-07,-2.80E+00
1.69E+00,-5.84E-08,0.00E+00,-1.02E-07,-2.85E+00
1.71E+00,-6.59E-08,0.00E+00,-1.02E-07,-2.90E+00
1.74E+00,-5.79E-08,0.00E+00,-9.51E-08,-2.95E+00
1.76E+00,-5.99E-08,0.00E+00,-1.06E-07,-3.00E+00
