---
Probe A: Copper
Probe B: Platinum
---
Time,BI,BV,AI,AV
43.4593E-3,65.4256E-12,000.0000E-3,-316.7511E-12,000.0000E-3
87.9375E-3,109.2205E-12,000.0000E-3,-744.8180E-12,50.0000E-3
132.4320E-3,55.8613E-12,000.0000E-3,-936.5877E-12,100.0000E-3
176.9303E-3,37.2359E-12,000.0000E-3,-993.2586E-12,150.0000E-3
221.4715E-3,64.4189E-12,000.0000E-3,-1.0307E-9,200.0000E-3
265.9450E-3,11.0596E-12,000.0000E-3,-1.0539E-9,250.0000E-3
310.4700E-3,20.1206E-12,000.0000E-3,-1.1066E-9,300.0000E-3
354.9644E-3,53.8478E-12,000.0000E-3,-1.0792E-9,350.0000E-3
399.4760E-3,9.0460E-12,000.0000E-3,-1.0914E-9,400.0000E-3
444.0029E-3,30.1884E-12,000.0000E-3,-1.0914E-9,450.0000E-3
488.4973E-3,26.1613E-12,000.0000E-3,-1.0899E-9,500.0000E-3
533.0214E-3,21.1274E-12,000.0000E-3,-1.1359E-9,550.0000E-3
577.5130E-3,19.6173E-12,000.0000E-3,-1.1106E-9,600.0000E-3
622.0475E-3,31.6986E-12,000.0000E-3,-1.0979E-9,650.0000E-3
666.5610E-3,40.7596E-12,000.0000E-3,-1.0630E-9,700.0000E-3
711.0564E-3,25.1546E-12,000.0000E-3,-1.1086E-9,750.0000E-3
755.5575E-3,8.0393E-12,000.0000E-3,-1.0909E-9,800.0000E-3
800.0672E-3,15.0868E-12,000.0000E-3,-1.0382E-9,850.0000E-3
844.5836E-3,23.6444E-12,000.0000E-3,-1.0732E-9,900.0000E-3
889.0943E-3,6.0257E-12,000.0000E-3,-1.0914E-9,950.0000E-3
933.5735E-3,18.6104E-12,000.0000E-3,-1.0929E-9,1.0000E+0
978.0937E-3,-22.1640E-12,000.0000E-3,-1.0772E-9,1.0500E+0
1.0225E+0,-45.8232E-12,000.0000E-3,-1.1066E-9,1.1000E+0
1.0671E+0,-43.3063E-12,000.0000E-3,-1.0342E-9,1.1500E+0
1.1116E+0,-53.8775E-12,000.0000E-3,-1.0352E-9,1.2000E+0
1.1560E+0,-81.0606E-12,000.0000E-3,-1.0291E-9,1.2500E+0
1.2005E+0,-197.8469E-12,000.0000E-3,-894.0847E-12,1.3000E+0
1.2451E+0,-174.6909E-12,000.0000E-3,-967.9590E-12,1.3500E+0
1.2895E+0,-807.9546E-12,000.0000E-3,-174.5680E-12,1.4000E+0
1.3341E+0,-766.6765E-12,000.0000E-3,-235.2867E-12,1.4500E+0
1.3785E+0,-6.5314E-9,000.0000E-3,5.5604E-9,1.5000E+0
1.4231E+0,-2.7500E-9,000.0000E-3,1.7345E-9,1.5500E+0
1.4676E+0,-4.5325E-9,000.0000E-3,3.5359E-9,1.6000E+0
1.5120E+0,-2.9554E-9,000.0000E-3,1.9369E-9,1.6500E+0
1.5566E+0,-3.2081E-9,000.0000E-3,2.1798E-9,1.7000E+0
1.6011E+0,-6.3925E-9,000.0000E-3,5.4177E-9,1.7500E+0
1.6456E+0,-10.8138E-9,000.0000E-3,9.7613E-9,1.8000E+0
1.6901E+0,-7.4355E-9,000.0000E-3,6.3781E-9,1.8500E+0
1.7346E+0,-17.0558E-9,000.0000E-3,16.1006E-9,1.9000E+0
1.7790E+0,-27.1744E-9,000.0000E-3,26.1676E-9,1.9500E+0
1.8235E+0,-37.0172E-9,000.0000E-3,36.0155E-9,2.0000E+0
1.8680E+0,-49.3522E-9,000.0000E-3,48.3246E-9,2.0500E+0
1.9125E+0,-63.2614E-9,000.0000E-3,62.1412E-9,2.1000E+0
1.9570E+0,-46.9375E-9,000.0000E-3,45.9697E-9,2.1500E+0
2.0014E+0,-36.0668E-9,000.0000E-3,35.0844E-9,2.2000E+0
