---
Probe A: Copper
Probe B: Platinum
Cell reset but with odd graph, no sharp change in current
---
Time,BI,BV,AI,AV
43.0246E-3,383.2649E-9,000.0000E-3,-549.1364E-9,000.0000E-3
87.5439E-3,104.5833E-6,000.0000E-3,-104.7528E-6,-50.0000E-3
131.0242E-3,208.8709E-6,000.0000E-3,-209.0358E-6,-100.0000E-3
174.5131E-3,314.3098E-6,000.0000E-3,-314.4682E-6,-150.0000E-3
217.9524E-3,419.4233E-6,000.0000E-3,-419.5810E-6,-200.0000E-3
261.3984E-3,525.8426E-6,000.0000E-3,-526.0066E-6,-250.0000E-3
304.8654E-3,631.6996E-6,000.0000E-3,-631.8495E-6,-300.0000E-3
348.3142E-3,738.6706E-6,000.0000E-3,-738.8256E-6,-350.0000E-3
372.8352E-3,847.0798E-6,000.0000E-3,-847.2292E-6,-400.0000E-3
397.6755E-3,954.1283E-6,000.0000E-3,-954.2762E-6,-450.0000E-3
422.5129E-3,1.0614E-3,000.0000E-3,-1.0616E-3,-500.0000E-3
447.3761E-3,1.1717E-3,000.0000E-3,-1.1718E-3,-550.0000E-3
472.2145E-3,1.2794E-3,000.0000E-3,-1.2795E-3,-600.0000E-3
497.0529E-3,1.3845E-3,000.0000E-3,-1.3846E-3,-650.0000E-3
521.8856E-3,1.4975E-3,000.0000E-3,-1.4976E-3,-700.0000E-3
546.7335E-3,1.6675E-3,000.0000E-3,-1.6676E-3,-750.0000E-3
571.5796E-3,1.8465E-3,000.0000E-3,-1.8466E-3,-800.0000E-3
596.4275E-3,1.7870E-3,000.0000E-3,-1.7873E-3,-850.0000E-3
621.2621E-3,1.5601E-3,000.0000E-3,-1.5603E-3,-900.0000E-3
646.0957E-3,1.3700E-3,000.0000E-3,-1.3701E-3,-950.0000E-3
670.9493E-3,1.1709E-3,000.0000E-3,-1.1710E-3,-1.0000E+0
695.7963E-3,885.6446E-6,000.0000E-3,-885.7632E-6,-1.0500E+0
739.5912E-3,635.4173E-6,000.0000E-3,-635.5721E-6,-1.1000E+0
783.0581E-3,544.1785E-6,000.0000E-3,-544.3465E-6,-1.1500E+0
826.5270E-3,544.2314E-6,000.0000E-3,-544.3838E-6,-1.2000E+0
869.9710E-3,527.8657E-6,000.0000E-3,-528.0206E-6,-1.2500E+0
913.4123E-3,478.8577E-6,000.0000E-3,-479.0090E-6,-1.3000E+0
956.8650E-3,579.5920E-6,000.0000E-3,-579.7530E-6,-1.3500E+0
1.0003E+0,579.8284E-6,000.0000E-3,-579.9831E-6,-1.4000E+0
1.0438E+0,596.5990E-6,000.0000E-3,-596.7534E-6,-1.4500E+0
1.0872E+0,671.6244E-6,000.0000E-3,-671.7215E-6,-1.5000E+0
1.1307E+0,605.9901E-6,000.0000E-3,-606.1575E-6,-1.5500E+0
1.1742E+0,568.9298E-6,000.0000E-3,-569.0985E-6,-1.6000E+0
1.2176E+0,544.5387E-6,000.0000E-3,-544.6736E-6,-1.6500E+0
1.2611E+0,522.0017E-6,000.0000E-3,-522.1434E-6,-1.7000E+0
1.3045E+0,333.8148E-6,000.0000E-3,-333.9559E-6,-1.7500E+0
1.3480E+0,331.3093E-6,000.0000E-3,-331.4798E-6,-1.8000E+0
1.3915E+0,367.8062E-6,000.0000E-3,-367.9568E-6,-1.8500E+0
1.4350E+0,306.1059E-6,000.0000E-3,-306.2661E-6,-1.9000E+0
1.4784E+0,321.6653E-6,000.0000E-3,-321.8300E-6,-1.9500E+0
1.5219E+0,315.9436E-6,000.0000E-3,-316.1106E-6,-2.0000E+0
1.5664E+0,-27.1734E-9,000.0000E-3,-141.0776E-9,-2.0500E+0
1.6109E+0,77.4481E-9,000.0000E-3,-248.2752E-9,-2.1000E+0
1.6553E+0,6.0238E-9,000.0000E-3,-184.5634E-9,-2.1500E+0
1.6999E+0,43.2450E-9,000.0000E-3,-220.4644E-9,-2.2000E+0
1.7444E+0,139.8187E-9,000.0000E-3,-316.0322E-9,-2.2500E+0
1.7889E+0,32.1791E-9,000.0000E-3,-210.3515E-9,-2.3000E+0
1.8334E+0,334.4751E-9,000.0000E-3,-512.2239E-9,-2.3500E+0
1.8779E+0,-28.6823E-9,000.0000E-3,-136.0210E-9,-2.4000E+0
1.9224E+0,-39.7481E-9,000.0000E-3,-132.4815E-9,-2.4500E+0
1.9669E+0,-34.7182E-9,000.0000E-3,-137.0324E-9,-2.5000E+0
2.0114E+0,-36.7301E-9,000.0000E-3,-139.5607E-9,-2.5500E+0
2.0559E+0,-30.6943E-9,000.0000E-3,-138.0436E-9,-2.6000E+0
2.1004E+0,65.8793E-9,000.0000E-3,-241.1961E-9,-2.6500E+0
2.1449E+0,120.7052E-9,000.0000E-3,-297.3232E-9,-2.7000E+0
2.1894E+0,39.2210E-9,000.0000E-3,-212.8797E-9,-2.7500E+0
2.2339E+0,19.1014E-9,000.0000E-3,-198.7216E-9,-2.8000E+0
2.2784E+0,85.9989E-9,000.0000E-3,-264.4559E-9,-2.8500E+0
2.3229E+0,8.5387E-9,000.0000E-3,-191.1368E-9,-2.9000E+0
2.3674E+0,-23.6525E-9,000.0000E-3,-150.1792E-9,-2.9500E+0
2.4119E+0,-66.9094E-9,000.0000E-3,-106.1878E-9,-3.0000E+0
