---
Probe A: Copper
Probe B: Platinum
Cell set much later than usual at ~4V
---
Time,BI,BV,AI,AV
43.0466E-3,-453.1655E-12,000.0000E-3,-905.7235E-12,000.0000E-3
87.4838E-3,-483.3689E-12,000.0000E-3,-1.3358E-9,50.0000E-3
131.9926E-3,-433.0305E-12,000.0000E-3,-1.4673E-9,100.0000E-3
176.4671E-3,-468.2672E-12,000.0000E-3,-1.5027E-9,150.0000E-3
220.9758E-3,-528.6740E-12,000.0000E-3,-1.5584E-9,200.0000E-3
265.5199E-3,-463.2339E-12,000.0000E-3,-1.5331E-9,250.0000E-3
310.0058E-3,-488.4031E-12,000.0000E-3,-1.5230E-9,300.0000E-3
354.5260E-3,-498.4706E-12,000.0000E-3,-1.5888E-9,350.0000E-3
399.0290E-3,-433.0305E-12,000.0000E-3,-1.5837E-9,400.0000E-3
443.5339E-3,-473.3014E-12,000.0000E-3,-1.5989E-9,450.0000E-3
488.0675E-3,-478.3356E-12,000.0000E-3,-1.5989E-9,500.0000E-3
532.5543E-3,-533.7073E-12,000.0000E-3,-1.6444E-9,550.0000E-3
577.0783E-3,-548.8090E-12,000.0000E-3,-1.6090E-9,600.0000E-3
621.5909E-3,-548.8090E-12,000.0000E-3,-1.6900E-9,650.0000E-3
666.0882E-3,-468.2672E-12,000.0000E-3,-1.6394E-9,700.0000E-3
710.6265E-3,-599.1483E-12,000.0000E-3,-1.6697E-9,750.0000E-3
755.1296E-3,-513.5723E-12,000.0000E-3,-1.6394E-9,800.0000E-3
799.6469E-3,-548.8090E-12,000.0000E-3,-1.6141E-9,850.0000E-3
844.1633E-3,-573.9791E-12,000.0000E-3,-1.6141E-9,900.0000E-3
888.6616E-3,-594.1141E-12,000.0000E-3,-1.6343E-9,950.0000E-3
933.1808E-3,-614.2500E-12,000.0000E-3,-1.6343E-9,1.0000E+0
977.6943E-3,-619.2842E-12,000.0000E-3,-1.6849E-9,1.0500E+0
1.0222E+0,-584.0475E-12,000.0000E-3,-1.6596E-9,1.1000E+0
1.0667E+0,-553.8441E-12,000.0000E-3,-1.6900E-9,1.1500E+0
1.1112E+0,-563.9107E-12,000.0000E-3,-1.6849E-9,1.2000E+0
1.1557E+0,-1.3240E-9,000.0000E-3,-834.8859E-12,1.2500E+0
1.2002E+0,-1.1226E-9,000.0000E-3,-1.1232E-9,1.3000E+0
1.2447E+0,-649.4876E-12,000.0000E-3,-1.4673E-9,1.3500E+0
1.2892E+0,-775.3345E-12,000.0000E-3,-1.3358E-9,1.4000E+0
1.3337E+0,-724.9952E-12,000.0000E-3,-1.4015E-9,1.4500E+0
1.3782E+0,-1.5958E-9,000.0000E-3,-445.2740E-12,1.5000E+0
1.4227E+0,-1.2283E-9,000.0000E-3,-839.9459E-12,1.5500E+0
1.4673E+0,-2.8241E-9,000.0000E-3,728.6189E-12,1.6000E+0
1.5118E+0,-1.6210E-9,000.0000E-3,-551.5322E-12,1.6500E+0
1.5563E+0,-6.7706E-9,000.0000E-3,4.6399E-9,1.7000E+0
1.6008E+0,-6.9368E-9,000.0000E-3,4.8068E-9,1.7500E+0
1.6453E+0,-6.3176E-9,000.0000E-3,4.2047E-9,1.8000E+0
1.6898E+0,-2.7788E-9,000.0000E-3,566.7031E-12,1.8500E+0
1.7344E+0,-8.8144E-9,000.0000E-3,6.7094E-9,1.9000E+0
1.7789E+0,-8.6885E-9,000.0000E-3,6.5576E-9,1.9500E+0
1.8234E+0,-21.5551E-9,000.0000E-3,19.3594E-9,2.0000E+0
1.8679E+0,-31.6531E-9,000.0000E-3,29.3328E-9,2.0500E+0
1.9124E+0,-29.0153E-9,000.0000E-3,26.7674E-9,2.1000E+0
1.9569E+0,-70.2881E-9,000.0000E-3,68.0423E-9,2.1500E+0
2.0014E+0,-88.4856E-9,000.0000E-3,86.1675E-9,2.2000E+0
2.0459E+0,-75.9562E-9,000.0000E-3,73.7147E-9,2.2500E+0
2.0904E+0,-81.4432E-9,000.0000E-3,79.2807E-9,2.3000E+0
2.1349E+0,-144.5932E-9,000.0000E-3,142.4911E-9,2.3500E+0
2.1794E+0,-202.3419E-9,000.0000E-3,199.9735E-9,2.4000E+0
