---
Probe A: Copper
Probe B: Platinum
Amrita sweeped this cell from 5V to 0V after sweeping from 0-5V from the previous run
prior to running this test as advised by Dr.Orlowski on 2/22/2022
This run set the cell earlier than run 2202241213 at ~3.35V
---
Time,BI,BV,AI,AV
43.0123E-3,-589.0284E-12,000.0000E-3,-1.1890E-9,000.0000E-3
87.4581E-3,-619.2318E-12,000.0000E-3,-1.4521E-9,50.0000E-3
131.9555E-3,-578.9609E-12,000.0000E-3,-1.6444E-9,100.0000E-3
176.4671E-3,-614.1976E-12,000.0000E-3,-1.6697E-9,150.0000E-3
220.9758E-3,-614.1976E-12,000.0000E-3,-1.7354E-9,200.0000E-3
265.4770E-3,-604.1301E-12,000.0000E-3,-1.7152E-9,250.0000E-3
309.9848E-3,-583.9942E-12,000.0000E-3,-1.7253E-9,300.0000E-3
354.4964E-3,-604.1301E-12,000.0000E-3,-1.8113E-9,350.0000E-3
399.0109E-3,-543.7233E-12,000.0000E-3,-1.7911E-9,400.0000E-3
443.5206E-3,-679.6377E-12,000.0000E-3,-1.8164E-9,450.0000E-3
488.0189E-3,-664.5369E-12,000.0000E-3,-1.8012E-9,500.0000E-3
532.5333E-3,-679.6377E-12,000.0000E-3,-1.7810E-9,550.0000E-3
577.0440E-3,-719.9086E-12,000.0000E-3,-1.7810E-9,600.0000E-3
621.5575E-3,-740.0436E-12,000.0000E-3,-1.7810E-9,650.0000E-3
666.0758E-3,-760.1795E-12,000.0000E-3,-1.8113E-9,700.0000E-3
710.5722E-3,-820.5863E-12,000.0000E-3,-1.8012E-9,750.0000E-3
755.0876E-3,-750.1120E-12,000.0000E-3,-1.8164E-9,800.0000E-3
799.5935E-3,-750.1120E-12,000.0000E-3,-1.7203E-9,850.0000E-3
844.0994E-3,-835.6880E-12,000.0000E-3,-1.6697E-9,900.0000E-3
888.6111E-3,-810.5179E-12,000.0000E-3,-1.6343E-9,950.0000E-3
933.1046E-3,-850.7888E-12,000.0000E-3,-1.5634E-9,1.0000E+0
977.6152E-3,-865.8905E-12,000.0000E-3,-1.5482E-9,1.0500E+0
1.0221E+0,-961.5340E-12,000.0000E-3,-1.3509E-9,1.1000E+0
1.0666E+0,-1.0018E-9,000.0000E-3,-1.4875E-9,1.1500E+0
1.1111E+0,-926.2964E-12,000.0000E-3,-1.5331E-9,1.2000E+0
1.1556E+0,-1.1024E-9,000.0000E-3,-1.4167E-9,1.2500E+0
1.2000E+0,-1.7921E-9,000.0000E-3,-748.8250E-12,1.3000E+0
1.2446E+0,-4.6362E-9,000.0000E-3,2.1352E-9,1.3500E+0
1.2890E+0,-2.6126E-9,000.0000E-3,172.0712E-12,1.4000E+0
1.3335E+0,-2.3911E-9,000.0000E-3,30.3943E-12,1.4500E+0
1.3780E+0,-2.1092E-9,000.0000E-3,-404.7536E-12,1.5000E+0
1.4226E+0,-1.5756E-9,000.0000E-3,-900.6200E-12,1.5500E+0
1.4671E+0,-4.2637E-9,000.0000E-3,1.8620E-9,1.6000E+0
1.5116E+0,-4.9533E-9,000.0000E-3,2.4338E-9,1.6500E+0
1.5561E+0,-7.1229E-9,000.0000E-3,4.5741E-9,1.7000E+0
1.6006E+0,-30.3089E-9,000.0000E-3,27.8248E-9,1.7500E+0
1.6451E+0,-163.9024E-9,000.0000E-3,161.3291E-9,1.8000E+0
1.6885E+0,-1.4865E-6,000.0000E-3,1.4841E-6,1.8500E+0
1.7330E+0,-172.1881E-9,000.0000E-3,169.6985E-9,1.9000E+0
1.7775E+0,-69.8800E-9,000.0000E-3,67.3539E-9,1.9500E+0
1.8220E+0,-75.5783E-9,000.0000E-3,73.0363E-9,2.0000E+0
1.8664E+0,-65.0777E-9,000.0000E-3,62.5924E-9,2.0500E+0
1.9110E+0,-28.3608E-9,000.0000E-3,25.9172E-9,2.1000E+0
1.9554E+0,-45.0732E-9,000.0000E-3,42.5496E-9,2.1500E+0
1.9999E+0,-60.7335E-9,000.0000E-3,58.2560E-9,2.2000E+0
2.0444E+0,-132.8385E-9,000.0000E-3,130.3161E-9,2.2500E+0
2.0889E+0,-184.3801E-9,000.0000E-3,181.9286E-9,2.3000E+0
2.1333E+0,-247.3033E-9,000.0000E-3,244.9312E-9,2.3500E+0
2.1778E+0,-217.5180E-9,000.0000E-3,215.0162E-9,2.4000E+0
2.2223E+0,-387.4609E-9,000.0000E-3,384.9325E-9,2.4500E+0
2.2667E+0,-517.7874E-9,000.0000E-3,515.2996E-9,2.5000E+0
2.3102E+0,-765.6495E-9,000.0000E-3,763.0293E-9,2.5500E+0
2.3537E+0,-932.2298E-9,000.0000E-3,929.7325E-9,2.6000E+0
2.3972E+0,-1.0064E-6,000.0000E-3,1.0039E-6,2.6500E+0
2.4416E+0,-203.2621E-9,000.0000E-3,200.6305E-9,2.7000E+0
2.4861E+0,-280.1240E-9,000.0000E-3,277.6646E-9,2.7500E+0
2.5306E+0,-308.1475E-9,000.0000E-3,305.5961E-9,2.8000E+0
