---
Probe A: Copper
Probe B: Platinum
---
Time,BI,BV,AI,AV
43.0408E-3,633.2523E-9,000.0000E-3,-844.9337E-9,000.0000E-3
87.5582E-3,157.7133E-6,000.0000E-3,-157.9216E-6,-50.0000E-3
131.0643E-3,314.4332E-6,000.0000E-3,-314.6413E-6,-100.0000E-3
174.5045E-3,472.7934E-6,000.0000E-3,-472.9989E-6,-150.0000E-3
218.0010E-3,629.3835E-6,000.0000E-3,-629.5775E-6,-200.0000E-3
261.4718E-3,787.8016E-6,000.0000E-3,-787.9937E-6,-250.0000E-3
286.0347E-3,945.0883E-6,000.0000E-3,-945.2685E-6,-300.0000E-3
310.8731E-3,1.1062E-3,000.0000E-3,-1.1064E-3,-350.0000E-3
335.7258E-3,1.2665E-3,000.0000E-3,-1.2667E-3,-400.0000E-3
360.5804E-3,1.4246E-3,000.0000E-3,-1.4247E-3,-450.0000E-3
385.4388E-3,1.5937E-3,000.0000E-3,-1.5939E-3,-500.0000E-3
410.2925E-3,1.7837E-3,000.0000E-3,-1.7839E-3,-550.0000E-3
435.1576E-3,1.9816E-3,000.0000E-3,-1.9817E-3,-600.0000E-3
460.0265E-3,2.1749E-3,000.0000E-3,-2.1751E-3,-650.0000E-3
484.8782E-3,2.4276E-3,000.0000E-3,-2.4277E-3,-700.0000E-3
509.7080E-3,2.6771E-3,000.0000E-3,-2.6773E-3,-750.0000E-3
534.5569E-3,2.9746E-3,000.0000E-3,-2.9748E-3,-800.0000E-3
559.3991E-3,3.2867E-3,000.0000E-3,-3.2869E-3,-850.0000E-3
584.2184E-3,3.5535E-3,000.0000E-3,-3.5537E-3,-900.0000E-3
609.0816E-3,3.7436E-3,000.0000E-3,-3.7438E-3,-950.0000E-3
633.9248E-3,4.0454E-3,000.0000E-3,-4.0456E-3,-1.0000E+0
658.7889E-3,4.3101E-3,000.0000E-3,-4.3103E-3,-1.0500E+0
683.6264E-3,4.6650E-3,000.0000E-3,-4.6652E-3,-1.1000E+0
708.4838E-3,4.8963E-3,000.0000E-3,-4.8965E-3,-1.1500E+0
733.3527E-3,5.1122E-3,000.0000E-3,-5.1124E-3,-1.2000E+0
758.2083E-3,5.3390E-3,000.0000E-3,-5.3392E-3,-1.2500E+0
783.0581E-3,5.6076E-3,000.0000E-3,-5.6078E-3,-1.3000E+0
807.8955E-3,5.8653E-3,000.0000E-3,-5.8656E-3,-1.3500E+0
832.7377E-3,6.2080E-3,000.0000E-3,-6.2082E-3,-1.4000E+0
857.5809E-3,6.4511E-3,000.0000E-3,-6.4513E-3,-1.4500E+0
882.4469E-3,6.6844E-3,000.0000E-3,-6.6846E-3,-1.5000E+0
907.2882E-3,6.9298E-3,000.0000E-3,-6.9300E-3,-1.5500E+0
932.1514E-3,7.1537E-3,000.0000E-3,-7.1539E-3,-1.6000E+0
956.9898E-3,7.3745E-3,000.0000E-3,-7.3748E-3,-1.6500E+0
981.8434E-3,7.5911E-3,000.0000E-3,-7.5914E-3,-1.7000E+0
1.0066E+0,7.8072E-3,000.0000E-3,-7.8075E-3,-1.7500E+0
1.0315E+0,7.9995E-3,000.0000E-3,-7.9997E-3,-1.8000E+0
1.0565E+0,7.9994E-3,000.0000E-3,-7.9997E-3,-1.8500E+0
1.0815E+0,7.9995E-3,000.0000E-3,-7.9997E-3,-1.9000E+0
1.1065E+0,7.9994E-3,000.0000E-3,-7.9997E-3,-1.9500E+0
1.1315E+0,7.9995E-3,000.0000E-3,-7.9997E-3,-2.0000E+0
1.1565E+0,7.9994E-3,000.0000E-3,-7.9997E-3,-2.0500E+0
1.1814E+0,7.9995E-3,000.0000E-3,-7.9997E-3,-2.1000E+0
1.2065E+0,7.9995E-3,000.0000E-3,-7.9997E-3,-2.1500E+0
1.2314E+0,7.9994E-3,000.0000E-3,-7.9997E-3,-2.2000E+0
1.2564E+0,7.9995E-3,000.0000E-3,-7.9997E-3,-2.2500E+0
1.2814E+0,7.9994E-3,000.0000E-3,-7.9997E-3,-2.3000E+0
1.3064E+0,7.9994E-3,000.0000E-3,-7.9997E-3,-2.3500E+0
1.3314E+0,7.9995E-3,000.0000E-3,-7.9997E-3,-2.4000E+0
1.3564E+0,7.9994E-3,000.0000E-3,-7.9997E-3,-2.4500E+0
1.3814E+0,7.9995E-3,000.0000E-3,-7.9997E-3,-2.5000E+0
1.4064E+0,7.9994E-3,000.0000E-3,-7.9997E-3,-2.5500E+0
1.4314E+0,7.9995E-3,000.0000E-3,-7.9997E-3,-2.6000E+0
1.4563E+0,7.9995E-3,000.0000E-3,-7.9997E-3,-2.6500E+0
