---
B: Platinum, A: Copper. B probe is set to ground, so no column for B. Reset Fail.
---
Time,AI,AV
43.1447E-3,-1.1250E-6,000.0000E-3
87.6516E-3,-113.4263E-6,-25.0000E-3
131.1176E-3,-224.4276E-6,-50.0000E-3
174.5531E-3,-335.2737E-6,-75.0000E-3
218.0182E-3,-445.8684E-6,-100.0000E-3
261.4737E-3,-557.9483E-6,-125.0000E-3
304.9178E-3,-668.5203E-6,-150.0000E-3
348.3790E-3,-778.8597E-6,-175.0000E-3
372.9305E-3,-889.4342E-6,-200.0000E-3
397.7622E-3,-1.0014E-3,-225.0000E-3
422.5730E-3,-1.1121E-3,-250.0000E-3
447.4047E-3,-1.2227E-3,-275.0000E-3
472.2412E-3,-1.3334E-3,-300.0000E-3
497.1082E-3,-1.4441E-3,-325.0000E-3
521.9485E-3,-1.5563E-3,-350.0000E-3
546.7869E-3,-1.6670E-3,-375.0000E-3
571.6119E-3,-1.7776E-3,-400.0000E-3
596.4427E-3,-1.8882E-3,-425.0000E-3
621.2697E-3,-1.9986E-3,-450.0000E-3
646.0957E-3,-2.1101E-3,-475.0000E-3
670.9379E-3,-2.2203E-3,-500.0000E-3
695.7677E-3,-2.3299E-3,-525.0000E-3
720.6156E-3,-2.4399E-3,-550.0000E-3
745.4484E-3,-2.5497E-3,-575.0000E-3
770.2858E-3,-2.6612E-3,-600.0000E-3
795.1070E-3,-2.7720E-3,-625.0000E-3
819.9378E-3,-2.8839E-3,-650.0000E-3
844.7714E-3,-2.9954E-3,-675.0000E-3
869.6098E-3,-3.1066E-3,-700.0000E-3
894.4587E-3,-3.2200E-3,-725.0000E-3
919.2857E-3,-3.3310E-3,-750.0000E-3
944.1307E-3,-3.4420E-3,-775.0000E-3
968.9767E-3,-3.5528E-3,-800.0000E-3
993.8256E-3,-3.6638E-3,-825.0000E-3
1.0186E+0,-3.7761E-3,-850.0000E-3
1.0434E+0,-3.8870E-3,-875.0000E-3
1.0683E+0,-3.9982E-3,-900.0000E-3
1.0931E+0,-4.1090E-3,-925.0000E-3
1.1179E+0,-4.2196E-3,-950.0000E-3
1.1428E+0,-4.3318E-3,-975.0000E-3
1.1676E+0,-4.4424E-3,-1.0000E+0
1.1925E+0,-4.5534E-3,-1.0250E+0
1.2173E+0,-4.6643E-3,-1.0500E+0
1.2421E+0,-4.7757E-3,-1.0750E+0
1.2670E+0,-4.8874E-3,-1.1000E+0
1.2918E+0,-4.9978E-3,-1.1250E+0
1.3166E+0,-4.9999E-3,-1.1500E+0
1.3416E+0,-4.9999E-3,-1.1750E+0
1.3666E+0,-4.9999E-3,-1.2000E+0
1.3916E+0,-4.9999E-3,-1.2250E+0
1.4165E+0,-4.9999E-3,-1.2500E+0
1.4415E+0,-4.9999E-3,-1.2750E+0
1.4665E+0,-4.9999E-3,-1.3000E+0
1.4914E+0,-4.9999E-3,-1.3250E+0
1.5164E+0,-4.9999E-3,-1.3500E+0
1.5414E+0,-4.9999E-3,-1.3750E+0
1.5663E+0,-4.9999E-3,-1.4000E+0
1.5913E+0,-4.9999E-3,-1.4250E+0
1.6163E+0,-4.9999E-3,-1.4500E+0
1.6413E+0,-4.9999E-3,-1.4750E+0
1.6662E+0,-4.9999E-3,-1.5000E+0
1.6912E+0,-4.9999E-3,-1.5250E+0
1.7162E+0,-4.9999E-3,-1.5500E+0
1.7411E+0,-4.9999E-3,-1.5750E+0
1.7661E+0,-4.9999E-3,-1.6000E+0
1.7911E+0,-4.9999E-3,-1.6250E+0
1.8160E+0,-4.9999E-3,-1.6500E+0
1.8410E+0,-4.9999E-3,-1.6750E+0
1.8660E+0,-4.9999E-3,-1.7000E+0
1.8910E+0,-4.9999E-3,-1.7250E+0
1.9159E+0,-4.9999E-3,-1.7500E+0
1.9409E+0,-4.9999E-3,-1.7750E+0
1.9658E+0,-4.9999E-3,-1.8000E+0
1.9908E+0,-4.9999E-3,-1.8250E+0
2.0158E+0,-4.9999E-3,-1.8500E+0
2.0408E+0,-4.9999E-3,-1.8750E+0
2.0657E+0,-4.9999E-3,-1.9000E+0
2.0907E+0,-4.9999E-3,-1.9250E+0
2.1157E+0,-4.9999E-3,-1.9500E+0
2.1406E+0,-4.9999E-3,-1.9750E+0
2.1656E+0,-4.9999E-3,-2.0000E+0
2.1906E+0,-4.9999E-3,-2.0250E+0
2.2155E+0,-4.9999E-3,-2.0500E+0
2.2405E+0,-4.9999E-3,-2.0750E+0
2.2655E+0,-4.9999E-3,-2.1000E+0
2.2904E+0,-4.9999E-3,-2.1250E+0
2.3154E+0,-4.9999E-3,-2.1500E+0
2.3404E+0,-4.9999E-3,-2.1750E+0
2.3654E+0,-4.9999E-3,-2.2000E+0
2.3903E+0,-4.9999E-3,-2.2250E+0
2.4153E+0,-4.9999E-3,-2.2500E+0
2.4403E+0,-4.9999E-3,-2.2750E+0
2.4652E+0,-4.9999E-3,-2.3000E+0
2.4902E+0,-4.9999E-3,-2.3250E+0
2.5152E+0,-4.9999E-3,-2.3500E+0
2.5401E+0,-4.9999E-3,-2.3750E+0
2.5651E+0,-4.9999E-3,-2.4000E+0
2.5901E+0,-4.9999E-3,-2.4250E+0
2.6151E+0,-4.9999E-3,-2.4500E+0
2.6400E+0,-4.9999E-3,-2.4750E+0
2.6650E+0,-4.9999E-3,-2.5000E+0
2.6900E+0,-4.9999E-3,-2.5250E+0
2.7149E+0,-4.9999E-3,-2.5500E+0
2.7399E+0,-4.9999E-3,-2.5750E+0
2.7649E+0,-4.9999E-3,-2.6000E+0
2.7898E+0,-4.9999E-3,-2.6250E+0
2.8148E+0,-4.9999E-3,-2.6500E+0
2.8398E+0,-4.9999E-3,-2.6750E+0
2.8647E+0,-4.9999E-3,-2.7000E+0
2.8897E+0,-4.9999E-3,-2.7250E+0
2.9147E+0,-4.9999E-3,-2.7500E+0
2.9396E+0,-4.9999E-3,-2.7750E+0
2.9646E+0,-4.9999E-3,-2.8000E+0
2.9896E+0,-4.9999E-3,-2.8250E+0
3.0145E+0,-4.9999E-3,-2.8500E+0
3.0395E+0,-4.9999E-3,-2.8750E+0
3.0645E+0,-4.9999E-3,-2.9000E+0
3.0894E+0,-4.9999E-3,-2.9250E+0
3.1144E+0,-4.9999E-3,-2.9500E+0
3.1394E+0,-4.9999E-3,-2.9750E+0
3.1643E+0,-4.9999E-3,-3.0000E+0
3.1893E+0,-4.9999E-3,-3.0250E+0
3.2143E+0,-4.9999E-3,-3.0500E+0
3.2392E+0,-4.9999E-3,-3.0750E+0
3.2642E+0,-4.9999E-3,-3.1000E+0
3.2892E+0,-4.9999E-3,-3.1250E+0
3.3141E+0,-4.9999E-3,-3.1500E+0
3.3391E+0,-4.9999E-3,-3.1750E+0
3.3641E+0,-4.9999E-3,-3.2000E+0
3.3891E+0,-4.9999E-3,-3.2250E+0
3.4140E+0,-4.9999E-3,-3.2500E+0
3.4390E+0,-4.9999E-3,-3.2750E+0
3.4640E+0,-4.9999E-3,-3.3000E+0
3.4889E+0,-4.9999E-3,-3.3250E+0
3.5139E+0,-4.9999E-3,-3.3500E+0
3.5389E+0,-4.9999E-3,-3.3750E+0
3.5638E+0,-4.9999E-3,-3.4000E+0
3.5888E+0,-4.9999E-3,-3.4250E+0
3.6138E+0,-4.9999E-3,-3.4500E+0
3.6387E+0,-4.9999E-3,-3.4750E+0
3.6637E+0,-4.9999E-3,-3.5000E+0
3.6887E+0,-4.9999E-3,-3.5250E+0
3.7136E+0,-4.9999E-3,-3.5500E+0
3.7386E+0,-4.9999E-3,-3.5750E+0
3.7636E+0,-4.9999E-3,-3.6000E+0
3.7885E+0,-4.9999E-3,-3.6250E+0
3.8135E+0,-4.9999E-3,-3.6500E+0
3.8385E+0,-4.9999E-3,-3.6750E+0
3.8634E+0,-4.9999E-3,-3.7000E+0
3.8884E+0,-4.9999E-3,-3.7250E+0
3.9134E+0,-4.9999E-3,-3.7500E+0
3.9383E+0,-4.9999E-3,-3.7750E+0
3.9633E+0,-4.9999E-3,-3.8000E+0
3.9883E+0,-4.9999E-3,-3.8250E+0
4.0132E+0,-4.9999E-3,-3.8500E+0
4.0382E+0,-4.9999E-3,-3.8750E+0
4.0632E+0,-4.9999E-3,-3.9000E+0
4.0881E+0,-4.9999E-3,-3.9250E+0
4.1131E+0,-4.9999E-3,-3.9500E+0
4.1381E+0,-4.9999E-3,-3.9750E+0
4.1631E+0,-4.9999E-3,-4.0000E+0
