---
Failure to form. Bad probe to pad contact. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
43.0084E-3,96.1567E-12,000.0000E-3,-333.4336E-12,000.0000E-3
87.4943E-3,98.6736E-12,000.0000E-3,-728.1006E-12,50.0000E-3
131.9688E-3,82.5656E-12,000.0000E-3,-891.5332E-12,100.0000E-3
176.4738E-3,100.1839E-12,000.0000E-3,-964.9006E-12,150.0000E-3
220.9587E-3,124.8494E-12,000.0000E-3,-1.0266E-9,200.0000E-3
265.4617E-3,64.4440E-12,000.0000E-3,-1.0195E-9,250.0000E-3
309.9724E-3,98.1702E-12,000.0000E-3,-1.0666E-9,300.0000E-3
354.4793E-3,74.0081E-12,000.0000E-3,-1.0726E-9,350.0000E-3
398.9785E-3,120.3189E-12,000.0000E-3,-1.0746E-9,400.0000E-3
443.4653E-3,84.0757E-12,000.0000E-3,-1.0488E-9,450.0000E-3
487.9703E-3,63.4372E-12,000.0000E-3,-1.0640E-9,500.0000E-3
532.4838E-3,75.0149E-12,000.0000E-3,-1.0721E-9,550.0000E-3
576.9697E-3,84.5791E-12,000.0000E-3,-1.0822E-9,600.0000E-3
621.4937E-3,85.0825E-12,000.0000E-3,-1.0691E-9,650.0000E-3
665.9634E-3,70.4845E-12,000.0000E-3,-1.0726E-9,700.0000E-3
710.4797E-3,41.2886E-12,000.0000E-3,-1.0377E-9,750.0000E-3
754.9809E-3,98.6736E-12,000.0000E-3,-1.0453E-9,800.0000E-3
799.4649E-3,85.0825E-12,000.0000E-3,-1.0635E-9,850.0000E-3
843.9813E-3,91.6264E-12,000.0000E-3,-1.0509E-9,900.0000E-3
888.4872E-3,83.0690E-12,000.0000E-3,-1.0418E-9,950.0000E-3
932.9864E-3,75.5183E-12,000.0000E-3,-1.0342E-9,1.0000E+0
977.4827E-3,115.2851E-12,000.0000E-3,-1.0266E-9,1.0500E+0
1.0219E+0,133.9101E-12,000.0000E-3,-1.0377E-9,1.1000E+0
1.0664E+0,131.3932E-12,000.0000E-3,-1.0752E-9,1.1500E+0
1.1109E+0,126.3595E-12,000.0000E-3,-1.0458E-9,1.2000E+0
1.1554E+0,78.5386E-12,000.0000E-3,-1.0337E-9,1.2500E+0
1.1999E+0,75.0149E-12,000.0000E-3,-1.0676E-9,1.3000E+0
1.2444E+0,85.0825E-12,000.0000E-3,-1.0752E-9,1.3500E+0
