---
Success, but strange curve in the beginning. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
43.0351E-3,94.1433E-12,000.0000E-3,-333.9397E-12,000.0000E-3
87.4781E-3,73.0014E-12,000.0000E-3,-747.3279E-12,50.0000E-3
131.9755E-3,66.4575E-12,000.0000E-3,-921.8921E-12,100.0000E-3
176.4890E-3,79.0418E-12,000.0000E-3,-993.2357E-12,150.0000E-3
220.9749E-3,110.7547E-12,000.0000E-3,-1.0372E-9,200.0000E-3
265.4836E-3,104.7142E-12,000.0000E-3,-1.0600E-9,250.0000E-3
310.0029E-3,79.0418E-12,000.0000E-3,-1.0620E-9,300.0000E-3
354.5126E-3,81.0555E-12,000.0000E-3,-1.0822E-9,350.0000E-3
399.0299E-3,86.5926E-12,000.0000E-3,-1.0413E-9,400.0000E-3
443.5406E-3,37.2616E-12,000.0000E-3,-1.1086E-9,450.0000E-3
488.0303E-3,38.2683E-12,000.0000E-3,-1.0939E-9,500.0000E-3
532.5581E-3,68.9743E-12,000.0000E-3,-1.0853E-9,550.0000E-3
577.0831E-3,67.9676E-12,000.0000E-3,-1.0509E-9,600.0000E-3
621.5861E-3,55.8866E-12,000.0000E-3,-1.0473E-9,650.0000E-3
666.0815E-3,64.9473E-12,000.0000E-3,-1.0504E-9,700.0000E-3
710.5626E-3,-19.1600E-9,000.0000E-3,18.2423E-9,750.0000E-3
755.0457E-3,-25.6505E-9,000.0000E-3,24.7201E-9,800.0000E-3
799.5106E-3,-49.0546E-9,000.0000E-3,48.0903E-9,850.0000E-3
842.9871E-3,-113.9913E-9,000.0000E-3,112.9876E-9,900.0000E-3
886.4779E-3,-136.7943E-9,000.0000E-3,135.7961E-9,950.0000E-3
929.9182E-3,-143.6241E-9,000.0000E-3,142.6605E-9,1.0000E+0
973.3956E-3,-131.3825E-9,000.0000E-3,130.4021E-9,1.0500E+0
1.0168E+0,-75.2398E-9,000.0000E-3,74.2835E-9,1.1000E+0
1.0603E+0,-518.3579E-9,000.0000E-3,517.5419E-9,1.1500E+0
1.1037E+0,-1.1855E-6,000.0000E-3,1.1849E-6,1.2000E+0
1.1283E+0,-2.7025E-6,000.0000E-3,2.7011E-6,1.2500E+0
1.1531E+0,-3.5515E-6,000.0000E-3,3.5501E-6,1.3000E+0
1.1780E+0,-4.0828E-6,000.0000E-3,4.0813E-6,1.3500E+0
1.2028E+0,-4.2103E-6,000.0000E-3,4.2086E-6,1.4000E+0
1.2277E+0,-1.9405E-6,000.0000E-3,1.9386E-6,1.4500E+0
1.2525E+0,-2.6177E-6,000.0000E-3,2.6156E-6,1.5000E+0
1.2773E+0,-3.0678E-6,000.0000E-3,3.0660E-6,1.5500E+0
1.3022E+0,-2.5918E-6,000.0000E-3,2.5903E-6,1.6000E+0
1.3270E+0,-1.0692E-6,000.0000E-3,1.0675E-6,1.6500E+0
1.3519E+0,-1.2111E-6,000.0000E-3,1.2094E-6,1.7000E+0
1.3767E+0,-1.4702E-6,000.0000E-3,1.4684E-6,1.7500E+0
1.4016E+0,-1.4888E-6,000.0000E-3,1.4874E-6,1.8000E+0
1.4264E+0,-1.1333E-6,000.0000E-3,1.1316E-6,1.8500E+0
1.4513E+0,-1.3751E-6,000.0000E-3,1.3733E-6,1.9000E+0
1.4761E+0,-1.1685E-6,000.0000E-3,1.1666E-6,1.9500E+0
1.5010E+0,-1.4888E-6,000.0000E-3,1.4867E-6,2.0000E+0
1.5458E+0,-62.2884E-9,000.0000E-3,60.9837E-9,2.0500E+0
1.5902E+0,-59.7715E-9,000.0000E-3,58.6192E-9,2.1000E+0
1.6337E+0,-92.9617E-9,000.0000E-3,91.9030E-9,2.1500E+0
1.6772E+0,-86.4062E-9,000.0000E-3,85.3745E-9,2.2000E+0
1.7206E+0,-97.4518E-9,000.0000E-3,96.4377E-9,2.2500E+0
1.7641E+0,-103.4023E-9,000.0000E-3,102.4162E-9,2.3000E+0
1.8076E+0,-131.8889E-9,000.0000E-3,130.9208E-9,2.3500E+0
1.8510E+0,-150.2662E-9,000.0000E-3,149.2790E-9,2.4000E+0
1.8945E+0,-122.0222E-9,000.0000E-3,121.0568E-9,2.4500E+0
1.9380E+0,-158.8367E-9,000.0000E-3,157.8618E-9,2.5000E+0
1.9814E+0,-170.2518E-9,000.0000E-3,169.2570E-9,2.5500E+0
2.0249E+0,-164.8787E-9,000.0000E-3,163.9384E-9,2.6000E+0
2.0684E+0,-213.4828E-9,000.0000E-3,212.5818E-9,2.6500E+0
2.1118E+0,-306.0459E-9,000.0000E-3,305.1447E-9,2.7000E+0
2.1553E+0,-333.3964E-9,000.0000E-3,332.3969E-9,2.7500E+0
2.1988E+0,-279.4167E-9,000.0000E-3,278.4708E-9,2.8000E+0
2.2233E+0,-9.9968E-6,000.0000E-3,9.9999E-6,2.8500E+0
2.2483E+0,-9.9969E-6,000.0000E-3,9.9998E-6,2.9000E+0
2.2733E+0,-9.9969E-6,000.0000E-3,9.9998E-6,2.9500E+0
2.2983E+0,-9.9969E-6,000.0000E-3,9.9998E-6,3.0000E+0
2.3232E+0,-9.9969E-6,000.0000E-3,9.9998E-6,3.0500E+0
2.3482E+0,-9.9969E-6,000.0000E-3,9.9998E-6,3.1000E+0
2.3732E+0,-9.9969E-6,000.0000E-3,9.9998E-6,3.1500E+0
2.3982E+0,-9.9969E-6,000.0000E-3,9.9998E-6,3.2000E+0
2.4232E+0,-9.9969E-6,000.0000E-3,9.9998E-6,3.2500E+0
2.4481E+0,-9.9969E-6,000.0000E-3,9.9997E-6,3.3000E+0
2.4731E+0,-9.9969E-6,000.0000E-3,9.9997E-6,3.3500E+0
2.4981E+0,-9.9968E-6,000.0000E-3,9.9831E-6,3.4000E+0
2.5231E+0,-9.9968E-6,000.0000E-3,9.9858E-6,3.4500E+0
2.5481E+0,-9.9968E-6,000.0000E-3,9.9882E-6,3.5000E+0
2.5730E+0,-9.9968E-6,000.0000E-3,9.9903E-6,3.5500E+0
2.5980E+0,-9.9968E-6,000.0000E-3,9.9916E-6,3.6000E+0
2.6230E+0,-9.9968E-6,000.0000E-3,9.9926E-6,3.6500E+0
2.6479E+0,-9.9968E-6,000.0000E-3,9.9932E-6,3.7000E+0
2.6729E+0,-9.9968E-6,000.0000E-3,9.9937E-6,3.7500E+0
2.6979E+0,-9.9968E-6,000.0000E-3,9.9941E-6,3.8000E+0
2.7229E+0,-9.9968E-6,000.0000E-3,9.9942E-6,3.8500E+0
2.7478E+0,-9.9968E-6,000.0000E-3,9.9945E-6,3.9000E+0
2.7728E+0,-9.9968E-6,000.0000E-3,9.9945E-6,3.9500E+0
2.7978E+0,-9.9968E-6,000.0000E-3,9.9946E-6,4.0000E+0
2.8228E+0,-9.9968E-6,000.0000E-3,9.9946E-6,4.0500E+0
