---
Intention was just to observe, form success confirmed. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
41.9943E-3,174.2987E-9,000.0000E-3,-174.4914E-9,000.0000E-3
66.5124E-3,-9.8758E-6,000.0000E-3,9.8773E-6,50.0000E-3
91.4757E-3,-9.9968E-6,000.0000E-3,9.9972E-6,100.0000E-3
116.4504E-3,-9.9968E-6,000.0000E-3,9.9964E-6,150.0000E-3
141.3994E-3,-9.9968E-6,000.0000E-3,9.9959E-6,200.0000E-3
166.3827E-3,-9.9968E-6,000.0000E-3,9.9957E-6,250.0000E-3
191.3230E-3,-9.9968E-6,000.0000E-3,9.9955E-6,300.0000E-3
216.2939E-3,-9.9968E-6,000.0000E-3,9.9953E-6,350.0000E-3
241.2610E-3,-9.9968E-6,000.0000E-3,9.9952E-6,400.0000E-3
266.2090E-3,-9.9968E-6,000.0000E-3,9.9951E-6,450.0000E-3
291.1742E-3,-9.9968E-6,000.0000E-3,9.9951E-6,500.0000E-3
316.1231E-3,-9.9968E-6,000.0000E-3,9.9950E-6,550.0000E-3
341.0988E-3,-9.9968E-6,000.0000E-3,9.9950E-6,600.0000E-3
366.0420E-3,-9.9968E-6,000.0000E-3,9.9949E-6,650.0000E-3
391.0148E-3,-9.9968E-6,000.0000E-3,9.9949E-6,700.0000E-3
415.9790E-3,-9.9968E-6,000.0000E-3,9.9949E-6,750.0000E-3
440.9204E-3,-9.9968E-6,000.0000E-3,9.9948E-6,800.0000E-3
465.9275E-3,-9.9968E-6,000.0000E-3,9.9949E-6,850.0000E-3
490.8726E-3,-9.9968E-6,000.0000E-3,9.9949E-6,900.0000E-3
515.8588E-3,-9.9968E-6,000.0000E-3,9.9950E-6,950.0000E-3
540.8211E-3,-9.9968E-6,000.0000E-3,9.9950E-6,1.0000E+0
565.7939E-3,-9.9968E-6,000.0000E-3,9.9950E-6,1.0500E+0
590.7428E-3,-9.9968E-6,000.0000E-3,9.9950E-6,1.1000E+0
615.7089E-3,-9.9968E-6,000.0000E-3,9.9949E-6,1.1500E+0
640.7170E-3,-9.9968E-6,000.0000E-3,9.9949E-6,1.2000E+0
665.6650E-3,-9.9968E-6,000.0000E-3,9.9949E-6,1.2500E+0
690.6550E-3,-9.9968E-6,000.0000E-3,9.9949E-6,1.3000E+0
715.6240E-3,-9.9968E-6,000.0000E-3,9.9950E-6,1.3500E+0
740.5796E-3,-9.9968E-6,000.0000E-3,9.9949E-6,1.4000E+0
765.5876E-3,-9.9968E-6,000.0000E-3,9.9950E-6,1.4500E+0
790.5547E-3,-9.9968E-6,000.0000E-3,9.9949E-6,1.5000E+0
815.5323E-3,-9.9968E-6,000.0000E-3,9.9949E-6,1.5500E+0
840.5289E-3,-9.9968E-6,000.0000E-3,9.9949E-6,1.6000E+0
865.4950E-3,-9.9968E-6,000.0000E-3,9.9948E-6,1.6500E+0
890.5021E-3,-9.9968E-6,000.0000E-3,9.9949E-6,1.7000E+0
915.4692E-3,-9.9968E-6,000.0000E-3,9.9948E-6,1.7500E+0
