---
Success. AV column missing, copied from run 2202281620. This run was a near perfect reset. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
4.30E-02,6.00E-07,0.00E+00,-6.81E-07,0.00E+00
8.75E-02,1.52E-04,0.00E+00,-1.52E-04,-5.00E-02
1.31E-01,3.02E-04,0.00E+00,-3.02E-04,-1.00E-01
1.74E-01,4.53E-04,0.00E+00,-4.53E-04,-1.50E-01
2.18E-01,6.03E-04,0.00E+00,-6.03E-04,-2.00E-01
2.61E-01,7.54E-04,0.00E+00,-7.54E-04,-2.50E-01
2.86E-01,9.04E-04,0.00E+00,-9.04E-04,-3.00E-01
3.11E-01,1.05E-03,0.00E+00,-1.05E-03,-3.50E-01
3.36E-01,1.20E-03,0.00E+00,-1.20E-03,-4.00E-01
3.61E-01,1.35E-03,0.00E+00,-1.35E-03,-4.50E-01
3.85E-01,1.50E-03,0.00E+00,-1.50E-03,-5.00E-01
4.10E-01,1.65E-03,0.00E+00,-1.65E-03,-5.50E-01
4.35E-01,1.80E-03,0.00E+00,-1.80E-03,-6.00E-01
4.60E-01,1.95E-03,0.00E+00,-1.95E-03,-6.50E-01
4.85E-01,2.08E-03,0.00E+00,-2.08E-03,-7.00E-01
5.30E-01,-2.66E-08,0.00E+00,-4.65E-08,-7.50E-01
5.74E-01,-2.66E-08,0.00E+00,-4.95E-08,-8.00E-01
6.19E-01,-2.66E-08,0.00E+00,-4.50E-08,-8.50E-01
6.63E-01,-2.87E-08,0.00E+00,-4.90E-08,-9.00E-01
7.08E-01,-2.77E-08,0.00E+00,-4.65E-08,-9.50E-01
7.52E-01,-2.26E-08,0.00E+00,-5.31E-08,-1.00E+00
7.97E-01,-2.06E-08,0.00E+00,-5.31E-08,-1.05E+00
8.41E-01,-2.41E-08,0.00E+00,-5.16E-08,-1.10E+00
8.86E-01,-2.16E-08,0.00E+00,-5.51E-08,-1.15E+00
9.30E-01,3.77E-08,0.00E+00,-1.19E-07,-1.20E+00
9.75E-01,5.79E-08,0.00E+00,-1.33E-07,-1.25E+00
1.02E+00,8.56E-09,0.00E+00,-8.24E-08,-1.30E+00
1.06E+00,1.21E-08,0.00E+00,-9.25E-08,-1.35E+00
1.11E+00,1.05E-04,0.00E+00,-1.05E-04,-1.40E+00
1.15E+00,7.87E-06,0.00E+00,-7.96E-06,-1.45E+00
1.20E+00,4.83E-06,0.00E+00,-4.89E-06,-1.50E+00
1.24E+00,2.98E-06,0.00E+00,-3.06E-06,-1.55E+00
1.29E+00,1.01E-07,0.00E+00,-1.81E-07,-1.60E+00
1.33E+00,2.11E-08,0.00E+00,-9.76E-08,-1.65E+00
1.37E+00,2.92E-08,0.00E+00,-1.10E-07,-1.70E+00
1.42E+00,2.62E-08,0.00E+00,-1.06E-07,-1.75E+00
1.46E+00,2.52E-08,0.00E+00,-1.11E-07,-1.80E+00
1.51E+00,3.67E-08,0.00E+00,-1.22E-07,-1.85E+00
1.55E+00,4.73E-08,0.00E+00,-1.31E-07,-1.90E+00
1.60E+00,7.04E-08,0.00E+00,-1.54E-07,-1.95E+00
1.64E+00,1.26E-07,0.00E+00,-2.04E-07,-2.00E+00
1.69E+00,6.49E-08,0.00E+00,-1.50E-07,-2.05E+00
1.73E+00,1.19E-07,0.00E+00,-1.98E-07,-2.10E+00
1.77E+00,1.86E-08,0.00E+00,-9.76E-08,-2.15E+00
1.82E+00,-2.50E-09,0.00E+00,-7.79E-08,-2.20E+00
1.86E+00,-1.66E-08,0.00E+00,-6.47E-08,-2.25E+00
1.91E+00,-1.21E-08,0.00E+00,-6.67E-08,-2.30E+00
1.95E+00,-1.41E-08,0.00E+00,-6.27E-08,-2.35E+00
2.00E+00,-9.55E-09,0.00E+00,-6.02E-08,-2.40E+00
2.04E+00,-1.36E-08,0.00E+00,-5.86E-08,-2.45E+00
2.09E+00,-1.71E-08,0.00E+00,-5.97E-08,-2.50E+00
2.13E+00,-1.36E-08,0.00E+00,-5.92E-08,-2.55E+00
2.18E+00,-9.55E-09,0.00E+00,-6.37E-08,-2.60E+00
2.22E+00,-1.61E-08,0.00E+00,-6.22E-08,-2.65E+00
