---
Retry and observation from run 2202281619 due to missing AV column. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
43.0018E-3,-29.1617E-9,000.0000E-3,-60.6691E-9,000.0000E-3
88.5447E-3,-31.1736E-9,000.0000E-3,-60.6691E-9,-50.0000E-3
133.0487E-3,-33.6885E-9,000.0000E-3,-60.1635E-9,-100.0000E-3
177.5594E-3,-32.6825E-9,000.0000E-3,-64.2086E-9,-150.0000E-3
222.0529E-3,-29.6646E-9,000.0000E-3,-65.2199E-9,-200.0000E-3
266.5693E-3,-34.1915E-9,000.0000E-3,-64.7143E-9,-250.0000E-3
311.0943E-3,-31.1736E-9,000.0000E-3,-66.2312E-9,-300.0000E-3
355.6021E-3,-32.1795E-9,000.0000E-3,-61.1748E-9,-350.0000E-3
400.1270E-3,-35.1974E-9,000.0000E-3,-66.2312E-9,-400.0000E-3
444.6234E-3,-36.7064E-9,000.0000E-3,-59.6579E-9,-450.0000E-3
489.1427E-3,-33.6885E-9,000.0000E-3,-62.1861E-9,-500.0000E-3
533.6676E-3,-36.7064E-9,000.0000E-3,-65.7256E-9,-550.0000E-3
578.1668E-3,-34.6944E-9,000.0000E-3,-63.7031E-9,-600.0000E-3
622.6823E-3,-34.1915E-9,000.0000E-3,-64.2086E-9,-650.0000E-3
667.2025E-3,-31.6765E-9,000.0000E-3,-59.1523E-9,-700.0000E-3
711.7093E-3,-30.6705E-9,000.0000E-3,-60.1635E-9,-750.0000E-3
756.2209E-3,-30.6705E-9,000.0000E-3,-64.7143E-9,-800.0000E-3
800.7221E-3,-37.2093E-9,000.0000E-3,-64.2086E-9,-850.0000E-3
845.2470E-3,-31.1736E-9,000.0000E-3,-62.1861E-9,-900.0000E-3
889.7644E-3,-34.1915E-9,000.0000E-3,-64.2086E-9,-950.0000E-3
934.2712E-3,-36.2034E-9,000.0000E-3,-59.6579E-9,-1.0000E+0
978.7781E-3,-36.2034E-9,000.0000E-3,-62.6917E-9,-1.0500E+0
1.0233E+0,-36.7064E-9,000.0000E-3,-56.6240E-9,-1.1000E+0
1.0678E+0,-35.7004E-9,000.0000E-3,-61.6805E-9,-1.1500E+0
1.1123E+0,-35.1974E-9,000.0000E-3,-64.7143E-9,-1.2000E+0
1.1568E+0,-31.1736E-9,000.0000E-3,-65.7256E-9,-1.2500E+0
1.2013E+0,-34.6944E-9,000.0000E-3,-70.7820E-9,-1.3000E+0
1.2458E+0,-33.1855E-9,000.0000E-3,-67.2426E-9,-1.3500E+0
1.2903E+0,-34.1915E-9,000.0000E-3,-68.2538E-9,-1.4000E+0
1.3349E+0,-32.1795E-9,000.0000E-3,-66.7369E-9,-1.4500E+0
1.3794E+0,-34.1915E-9,000.0000E-3,-68.2538E-9,-1.5000E+0
1.4239E+0,-33.1855E-9,000.0000E-3,-68.2538E-9,-1.5500E+0
1.4684E+0,-31.6765E-9,000.0000E-3,-64.2086E-9,-1.6000E+0
1.5129E+0,-33.1855E-9,000.0000E-3,-67.2426E-9,-1.6500E+0
1.5574E+0,-33.1855E-9,000.0000E-3,-62.1861E-9,-1.7000E+0
1.6019E+0,-34.6944E-9,000.0000E-3,-66.2312E-9,-1.7500E+0
1.6465E+0,-34.1915E-9,000.0000E-3,-67.2426E-9,-1.8000E+0
1.6909E+0,-32.6825E-9,000.0000E-3,-66.7369E-9,-1.8500E+0
1.7355E+0,-32.1795E-9,000.0000E-3,-66.2312E-9,-1.9000E+0
1.7800E+0,-33.1855E-9,000.0000E-3,-66.2312E-9,-1.9500E+0
1.8245E+0,-33.6885E-9,000.0000E-3,-62.6917E-9,-2.0000E+0
1.8690E+0,-32.6825E-9,000.0000E-3,-69.2651E-9,-2.0500E+0
1.9135E+0,-36.7064E-9,000.0000E-3,-63.7031E-9,-2.1000E+0
1.9580E+0,-32.1795E-9,000.0000E-3,-66.2312E-9,-2.1500E+0
2.0026E+0,-33.1855E-9,000.0000E-3,-61.1748E-9,-2.2000E+0
2.0471E+0,-31.6765E-9,000.0000E-3,-66.7369E-9,-2.2500E+0
2.0916E+0,-35.7004E-9,000.0000E-3,-64.7143E-9,-2.3000E+0
2.1361E+0,-31.1736E-9,000.0000E-3,-65.7256E-9,-2.3500E+0
2.1806E+0,-33.1855E-9,000.0000E-3,-62.6917E-9,-2.4000E+0
2.2251E+0,-31.6765E-9,000.0000E-3,-62.1861E-9,-2.4500E+0
2.2696E+0,-28.6587E-9,000.0000E-3,-64.2086E-9,-2.5000E+0
2.3141E+0,-28.1556E-9,000.0000E-3,-63.7031E-9,-2.5500E+0
2.3586E+0,-31.1736E-9,000.0000E-3,-63.1974E-9,-2.6000E+0
2.4032E+0,-29.6646E-9,000.0000E-3,-62.6917E-9,-2.6500E+0
2.4477E+0,-31.6765E-9,000.0000E-3,-61.6805E-9,-2.7000E+0
2.4922E+0,-32.1795E-9,000.0000E-3,-62.1861E-9,-2.7500E+0
2.5367E+0,-34.1915E-9,000.0000E-3,-63.1974E-9,-2.8000E+0
2.5812E+0,-34.1915E-9,000.0000E-3,-56.6240E-9,-2.8500E+0
2.6257E+0,-33.1855E-9,000.0000E-3,-65.2199E-9,-2.9000E+0
2.6702E+0,-32.6825E-9,000.0000E-3,-65.7256E-9,-2.9500E+0
2.7147E+0,-33.1855E-9,000.0000E-3,-64.7143E-9,-3.0000E+0
2.7592E+0,-31.1736E-9,000.0000E-3,-67.2426E-9,-3.0500E+0
2.8038E+0,-29.1617E-9,000.0000E-3,-66.7369E-9,-3.1000E+0
