---
Successfull set. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
42.9684E-3,-357.1508E-12,000.0000E-3,-1.0218E-9,000.0000E-3
87.4238E-3,-387.3533E-12,000.0000E-3,-1.5126E-9,50.0000E-3
131.9402E-3,-432.6566E-12,000.0000E-3,-1.5582E-9,100.0000E-3
176.4280E-3,-397.4208E-12,000.0000E-3,-1.6493E-9,150.0000E-3
220.9644E-3,-427.6233E-12,000.0000E-3,-1.8719E-9,200.0000E-3
265.4798E-3,-452.7916E-12,000.0000E-3,-1.7606E-9,250.0000E-3
309.9857E-3,-432.6566E-12,000.0000E-3,-1.7808E-9,300.0000E-3
354.4964E-3,-417.5549E-12,000.0000E-3,-1.9781E-9,350.0000E-3
398.9832E-3,-417.5549E-12,000.0000E-3,-1.7252E-9,400.0000E-3
443.5158E-3,-382.3191E-12,000.0000E-3,-1.7960E-9,450.0000E-3
488.0236E-3,-387.3533E-12,000.0000E-3,-1.9680E-9,500.0000E-3
532.5534E-3,-427.6233E-12,000.0000E-3,-1.7909E-9,550.0000E-3
577.0707E-3,-437.6908E-12,000.0000E-3,-1.7100E-9,600.0000E-3
621.5480E-3,-362.1849E-12,000.0000E-3,-1.9630E-9,650.0000E-3
666.0863E-3,-417.5549E-12,000.0000E-3,-1.7505E-9,700.0000E-3
710.5855E-3,-503.1291E-12,000.0000E-3,-1.7252E-9,750.0000E-3
755.1067E-3,-387.3533E-12,000.0000E-3,-1.8972E-9,800.0000E-3
799.6202E-3,-477.9599E-12,000.0000E-3,-1.7454E-9,850.0000E-3
844.0965E-3,-498.0949E-12,000.0000E-3,-1.7252E-9,900.0000E-3
888.6225E-3,-447.7574E-12,000.0000E-3,-1.8972E-9,950.0000E-3
933.1208E-3,-518.2299E-12,000.0000E-3,-1.6088E-9,1.0000E+0
977.6391E-3,-573.6007E-12,000.0000E-3,-1.7960E-9,1.0500E+0
1.0221E+0,-482.9932E-12,000.0000E-3,-1.7150E-9,1.1000E+0
1.0666E+0,-477.9599E-12,000.0000E-3,-1.6189E-9,1.1500E+0
1.1111E+0,-603.8032E-12,000.0000E-3,-1.7859E-9,1.2000E+0
1.1556E+0,-563.5341E-12,000.0000E-3,-1.5987E-9,1.2500E+0
1.2001E+0,-578.6349E-12,000.0000E-3,-1.5278E-9,1.3000E+0
1.2446E+0,-634.0057E-12,000.0000E-3,-1.6897E-9,1.3500E+0
1.2891E+0,-618.9040E-12,000.0000E-3,-1.4823E-9,1.4000E+0
1.3336E+0,-588.7015E-12,000.0000E-3,-1.5531E-9,1.4500E+0
1.3781E+0,-704.4783E-12,000.0000E-3,-1.5835E-9,1.5000E+0
1.4226E+0,-694.4099E-12,000.0000E-3,-1.3963E-9,1.5500E+0
1.4671E+0,-719.5791E-12,000.0000E-3,-1.6391E-9,1.6000E+0
1.5116E+0,-774.9499E-12,000.0000E-3,-1.5734E-9,1.6500E+0
1.5562E+0,-855.4890E-12,000.0000E-3,-1.3001E-9,1.7000E+0
1.6007E+0,-855.4890E-12,000.0000E-3,-1.5126E-9,1.7500E+0
1.6451E+0,-880.6582E-12,000.0000E-3,-1.3254E-9,1.8000E+0
1.6897E+0,-930.9948E-12,000.0000E-3,-1.1888E-9,1.8500E+0
1.7341E+0,-885.6915E-12,000.0000E-3,-1.3811E-9,1.9000E+0
1.7787E+0,-1.0719E-9,000.0000E-3,-1.1129E-9,1.9500E+0
1.8232E+0,-1.0769E-9,000.0000E-3,-1.0067E-9,2.0000E+0
1.8677E+0,-1.2128E-9,000.0000E-3,-1.1332E-9,2.0500E+0
1.9122E+0,-1.3739E-9,000.0000E-3,-682.8875E-12,2.1000E+0
1.9567E+0,-1.6810E-9,000.0000E-3,-455.1977E-12,2.1500E+0
2.0012E+0,-1.7263E-9,000.0000E-3,-551.3332E-12,2.2000E+0
2.0457E+0,-2.1290E-9,000.0000E-3,71.0196E-12,2.2500E+0
2.0903E+0,-2.3706E-9,000.0000E-3,389.7869E-12,2.3000E+0
2.1348E+0,-3.1609E-9,000.0000E-3,860.3465E-12,2.3500E+0
2.1792E+0,-3.3220E-9,000.0000E-3,1.4017E-9,2.4000E+0
2.2238E+0,-4.4596E-9,000.0000E-3,2.3479E-9,2.4500E+0
2.2683E+0,-4.8975E-9,000.0000E-3,2.5553E-9,2.5000E+0
2.3128E+0,-5.8539E-9,000.0000E-3,3.7140E-9,2.5500E+0
2.3573E+0,-6.3875E-9,000.0000E-3,4.0480E-9,2.6000E+0
2.4017E+0,-7.9983E-9,000.0000E-3,5.9353E-9,2.6500E+0
2.4463E+0,-14.2049E-9,000.0000E-3,12.2196E-9,2.7000E+0
2.4908E+0,-14.6126E-9,000.0000E-3,12.3259E-9,2.7500E+0
2.5353E+0,-20.2554E-9,000.0000E-3,18.1246E-9,2.8000E+0
2.5798E+0,-15.3727E-9,000.0000E-3,13.1760E-9,2.8500E+0
2.6243E+0,-21.1011E-9,000.0000E-3,18.8178E-9,2.9000E+0
2.6688E+0,-55.3706E-9,000.0000E-3,53.2155E-9,2.9500E+0
2.7133E+0,-57.8573E-9,000.0000E-3,55.5329E-9,3.0000E+0
2.7578E+0,-79.3865E-9,000.0000E-3,77.2149E-9,3.0500E+0
2.8023E+0,-66.1830E-9,000.0000E-3,64.0185E-9,3.1000E+0
2.8468E+0,-76.0491E-9,000.0000E-3,73.5515E-9,3.1500E+0
2.8903E+0,-153.4778E-9,000.0000E-3,151.1917E-9,3.2000E+0
2.9347E+0,-272.0823E-9,000.0000E-3,270.3185E-9,3.2500E+0
2.9793E+0,-131.5207E-9,000.0000E-3,129.2466E-9,3.3000E+0
3.0237E+0,-155.4460E-9,000.0000E-3,153.2511E-9,3.3500E+0
3.0682E+0,-604.8614E-9,000.0000E-3,601.8576E-9,3.4000E+0
3.1127E+0,-876.0429E-9,000.0000E-3,874.4027E-9,3.4500E+0
3.1571E+0,-242.3380E-9,000.0000E-3,240.1003E-9,3.5000E+0
3.2016E+0,-213.9781E-9,000.0000E-3,211.8607E-9,3.5500E+0
3.2461E+0,-252.9139E-9,000.0000E-3,250.5998E-9,3.6000E+0
3.2906E+0,-210.4092E-9,000.0000E-3,208.2630E-9,3.6500E+0
3.3351E+0,-270.6829E-9,000.0000E-3,268.3603E-9,3.7000E+0
3.3795E+0,-540.0221E-9,000.0000E-3,537.9553E-9,3.7500E+0
3.4230E+0,-716.8617E-9,000.0000E-3,714.5633E-9,3.8000E+0
3.4665E+0,-984.5195E-9,000.0000E-3,982.1547E-9,3.8500E+0
3.5100E+0,-1.0383E-6,000.0000E-3,1.0359E-6,3.9000E+0
3.5534E+0,-180.1465E-9,000.0000E-3,177.8577E-9,3.9500E+0
3.5979E+0,-186.2876E-9,000.0000E-3,184.0106E-9,4.0000E+0
3.6423E+0,-166.9128E-9,000.0000E-3,164.5297E-9,4.0500E+0
3.6868E+0,-311.0332E-9,000.0000E-3,308.9058E-9,4.1000E+0
3.7313E+0,-238.1198E-9,000.0000E-3,235.8601E-9,4.1500E+0
3.7757E+0,-19.0980E-6,000.0000E-3,19.1458E-6,4.2000E+0
3.8005E+0,-19.9727E-6,000.0000E-3,19.9991E-6,4.2500E+0
3.8254E+0,-19.9732E-6,000.0000E-3,19.9985E-6,4.3000E+0
3.8504E+0,-19.9736E-6,000.0000E-3,19.9980E-6,4.3500E+0
3.8754E+0,-19.9740E-6,000.0000E-3,19.9975E-6,4.4000E+0
3.9003E+0,-19.9744E-6,000.0000E-3,19.9971E-6,4.4500E+0
3.9253E+0,-19.9748E-6,000.0000E-3,19.9967E-6,4.5000E+0
3.9503E+0,-19.9729E-6,000.0000E-3,19.9679E-6,4.5500E+0
3.9753E+0,-19.9706E-6,000.0000E-3,19.9466E-6,4.6000E+0
4.0003E+0,-19.9707E-6,000.0000E-3,19.9527E-6,4.6500E+0
4.0253E+0,-19.9707E-6,000.0000E-3,19.9569E-6,4.7000E+0
4.0503E+0,-19.9706E-6,000.0000E-3,19.9596E-6,4.7500E+0
4.0752E+0,-19.9706E-6,000.0000E-3,19.9618E-6,4.8000E+0
4.1002E+0,-19.9707E-6,000.0000E-3,19.9632E-6,4.8500E+0
4.1252E+0,-19.9707E-6,000.0000E-3,19.9641E-6,4.9000E+0
4.1501E+0,-19.9706E-6,000.0000E-3,19.9649E-6,4.9500E+0
4.1751E+0,-19.9707E-6,000.0000E-3,19.9653E-6,5.0000E+0
