---
Reset failure. A: Copper, B: Platinum
---
Time,BI,BV,AI,AV
43.0123E-3,617.6735E-9,000.0000E-3,-790.8029E-9,000.0000E-3
87.5162E-3,164.4093E-6,000.0000E-3,-164.5901E-6,-50.0000E-3
131.0347E-3,327.1895E-6,000.0000E-3,-327.3608E-6,-100.0000E-3
174.5274E-3,491.1526E-6,000.0000E-3,-491.3240E-6,-150.0000E-3
218.0049E-3,653.9298E-6,000.0000E-3,-654.0943E-6,-200.0000E-3
242.5354E-3,817.7239E-6,000.0000E-3,-817.8910E-6,-250.0000E-3
267.3948E-3,980.3628E-6,000.0000E-3,-980.5147E-6,-300.0000E-3
292.2598E-3,1.1441E-3,000.0000E-3,-1.1442E-3,-350.0000E-3
317.1344E-3,1.3066E-3,000.0000E-3,-1.3068E-3,-400.0000E-3
341.9662E-3,1.4691E-3,000.0000E-3,-1.4693E-3,-450.0000E-3
366.8151E-3,1.6328E-3,000.0000E-3,-1.6329E-3,-500.0000E-3
391.6439E-3,1.7951E-3,000.0000E-3,-1.7952E-3,-550.0000E-3
416.4918E-3,1.9585E-3,000.0000E-3,-1.9586E-3,-600.0000E-3
441.3503E-3,2.1204E-3,000.0000E-3,-2.1206E-3,-650.0000E-3
466.2001E-3,2.2826E-3,000.0000E-3,-2.2827E-3,-700.0000E-3
491.0299E-3,2.4458E-3,000.0000E-3,-2.4459E-3,-750.0000E-3
515.8836E-3,2.6074E-3,000.0000E-3,-2.6075E-3,-800.0000E-3
540.7267E-3,2.7703E-3,000.0000E-3,-2.7704E-3,-850.0000E-3
565.5794E-3,2.9318E-3,000.0000E-3,-2.9320E-3,-900.0000E-3
590.4369E-3,3.0933E-3,000.0000E-3,-3.0934E-3,-950.0000E-3
615.2943E-3,3.2556E-3,000.0000E-3,-3.2557E-3,-1.0000E+0
640.1594E-3,3.4169E-3,000.0000E-3,-3.4170E-3,-1.0500E+0
665.0007E-3,3.5790E-3,000.0000E-3,-3.5791E-3,-1.1000E+0
689.8734E-3,3.7397E-3,000.0000E-3,-3.7398E-3,-1.1500E+0
714.7146E-3,3.9004E-3,000.0000E-3,-3.9005E-3,-1.2000E+0
