---
Reset success. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
43.6966E-3,663.4440E-9,000.0000E-3,-842.8837E-9,000.0000E-3
88.2406E-3,164.1201E-6,000.0000E-3,-164.3018E-6,-50.0000E-3
131.7267E-3,326.9380E-6,000.0000E-3,-327.1172E-6,-100.0000E-3
175.1698E-3,490.9600E-6,000.0000E-3,-491.1363E-6,-150.0000E-3
218.6177E-3,653.7910E-6,000.0000E-3,-653.9633E-6,-200.0000E-3
243.1463E-3,817.6304E-6,000.0000E-3,-817.7959E-6,-250.0000E-3
267.9991E-3,980.3391E-6,000.0000E-3,-980.4969E-6,-300.0000E-3
292.8393E-3,1.1441E-3,000.0000E-3,-1.1443E-3,-350.0000E-3
317.6711E-3,1.3067E-3,000.0000E-3,-1.3068E-3,-400.0000E-3
342.5133E-3,1.4693E-3,000.0000E-3,-1.4694E-3,-450.0000E-3
367.3431E-3,1.6329E-3,000.0000E-3,-1.6330E-3,-500.0000E-3
392.1901E-3,1.7952E-3,000.0000E-3,-1.7954E-3,-550.0000E-3
417.0361E-3,1.9587E-3,000.0000E-3,-1.9589E-3,-600.0000E-3
441.8878E-3,2.1208E-3,000.0000E-3,-2.1209E-3,-650.0000E-3
466.7338E-3,2.2829E-3,000.0000E-3,-2.2830E-3,-700.0000E-3
491.5656E-3,2.4461E-3,000.0000E-3,-2.4462E-3,-750.0000E-3
516.4087E-3,2.6078E-3,000.0000E-3,-2.6079E-3,-800.0000E-3
541.2586E-3,2.7707E-3,000.0000E-3,-2.7708E-3,-850.0000E-3
566.1132E-3,2.9324E-3,000.0000E-3,-2.9325E-3,-900.0000E-3
590.9506E-3,3.0939E-3,000.0000E-3,-3.0940E-3,-950.0000E-3
615.8062E-3,3.2561E-3,000.0000E-3,-3.2563E-3,-1.0000E+0
640.6322E-3,3.4174E-3,000.0000E-3,-3.4175E-3,-1.0500E+0
665.4611E-3,3.5796E-3,000.0000E-3,-3.5797E-3,-1.1000E+0
690.3109E-3,3.7403E-3,000.0000E-3,-3.7404E-3,-1.1500E+0
715.1569E-3,3.9011E-3,000.0000E-3,-3.9012E-3,-1.2000E+0
740.0096E-3,4.0626E-3,000.0000E-3,-4.0628E-3,-1.2500E+0
764.8280E-3,4.2230E-3,000.0000E-3,-4.2231E-3,-1.3000E+0
789.6540E-3,4.3844E-3,000.0000E-3,-4.3845E-3,-1.3500E+0
814.4876E-3,4.5444E-3,000.0000E-3,-4.5445E-3,-1.4000E+0
839.3222E-3,4.7043E-3,000.0000E-3,-4.7044E-3,-1.4500E+0
864.1539E-3,4.8649E-3,000.0000E-3,-4.8650E-3,-1.5000E+0
888.9942E-3,5.0244E-3,000.0000E-3,-5.0246E-3,-1.5500E+0
