---
Successful set. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
43.0733E-3,-457.8258E-12,000.0000E-3,-1.0471E-9,000.0000E-3
87.5305E-3,-432.6566E-12,000.0000E-3,-1.4722E-9,50.0000E-3
132.0289E-3,-482.9932E-12,000.0000E-3,-1.4317E-9,100.0000E-3
176.5596E-3,-482.9932E-12,000.0000E-3,-1.6695E-9,150.0000E-3
221.0569E-3,-452.7916E-12,000.0000E-3,-1.9579E-9,200.0000E-3
265.5971E-3,-482.9932E-12,000.0000E-3,-1.7049E-9,250.0000E-3
310.0963E-3,-488.0274E-12,000.0000E-3,-1.6341E-9,300.0000E-3
354.6079E-3,-508.1624E-12,000.0000E-3,-1.9022E-9,350.0000E-3
399.1396E-3,-508.1624E-12,000.0000E-3,-1.8314E-9,400.0000E-3
443.6293E-3,-548.4324E-12,000.0000E-3,-1.7150E-9,450.0000E-3
488.1580E-3,-523.2632E-12,000.0000E-3,-1.7201E-9,500.0000E-3
532.6477E-3,-578.6349E-12,000.0000E-3,-1.8415E-9,550.0000E-3
577.1546E-3,-598.7699E-12,000.0000E-3,-1.6493E-9,600.0000E-3
621.6786E-3,-533.3316E-12,000.0000E-3,-1.6746E-9,650.0000E-3
666.1702E-3,-563.5341E-12,000.0000E-3,-1.8314E-9,700.0000E-3
710.7056E-3,-603.8032E-12,000.0000E-3,-1.6088E-9,750.0000E-3
755.1820E-3,-709.5116E-12,000.0000E-3,-1.5936E-9,800.0000E-3
799.6841E-3,-669.2416E-12,000.0000E-3,-1.7302E-9,850.0000E-3
844.2157E-3,-714.5449E-12,000.0000E-3,-1.6341E-9,900.0000E-3
888.7159E-3,-910.8598E-12,000.0000E-3,-1.2091E-9,950.0000E-3
933.2294E-3,-966.2307E-12,000.0000E-3,-1.5228E-9,1.0000E+0
977.7172E-3,-1.1625E-9,000.0000E-3,-1.1332E-9,1.0500E+0
1.0222E+0,-1.0467E-9,000.0000E-3,-1.1686E-9,1.1000E+0
1.0667E+0,-4.0821E-9,000.0000E-3,1.6041E-9,1.1500E+0
1.1112E+0,-16.1177E-9,000.0000E-3,13.7730E-9,1.2000E+0
1.1557E+0,-7.3087E-9,000.0000E-3,5.1662E-9,1.2500E+0
1.2002E+0,-13.2434E-9,000.0000E-3,10.7826E-9,1.3000E+0
1.2447E+0,-42.3635E-9,000.0000E-3,39.9128E-9,1.3500E+0
1.2892E+0,-200.7797E-9,000.0000E-3,198.6187E-9,1.4000E+0
1.3337E+0,-198.0162E-9,000.0000E-3,195.5676E-9,1.4500E+0
1.3782E+0,-71.2671E-9,000.0000E-3,69.0633E-9,1.5000E+0
1.4227E+0,-30.4436E-9,000.0000E-3,28.2091E-9,1.5500E+0
1.4672E+0,-15.1260E-9,000.0000E-3,12.6851E-9,1.6000E+0
1.5117E+0,-10.6964E-9,000.0000E-3,8.5916E-9,1.6500E+0
1.5562E+0,-5.6677E-9,000.0000E-3,3.3244E-9,1.7000E+0
1.6007E+0,-1.4796E-9,000.0000E-3,-945.9971E-12,1.7500E+0
1.6452E+0,-3.0501E-9,000.0000E-3,870.4664E-12,1.8000E+0
1.6897E+0,-8.6929E-9,000.0000E-3,6.5020E-9,1.8500E+0
1.7342E+0,-15.3072E-9,000.0000E-3,12.8369E-9,1.9000E+0
1.7787E+0,-69.3039E-9,000.0000E-3,67.1304E-9,1.9500E+0
1.8232E+0,-102.8839E-9,000.0000E-3,100.4655E-9,2.0000E+0
1.8677E+0,-161.4915E-9,000.0000E-3,158.9536E-9,2.0500E+0
1.9122E+0,-85.0796E-9,000.0000E-3,82.7606E-9,2.1000E+0
1.9566E+0,-115.7803E-9,000.0000E-3,113.2571E-9,2.1500E+0
2.0011E+0,-287.7673E-9,000.0000E-3,285.6401E-9,2.2000E+0
2.0456E+0,-254.9576E-9,000.0000E-3,252.4669E-9,2.2500E+0
2.0901E+0,-221.1209E-9,000.0000E-3,218.9396E-9,2.3000E+0
2.1345E+0,-615.4876E-9,000.0000E-3,613.0351E-9,2.3500E+0
2.1790E+0,-4.9781E-9,000.0000E-3,2.8033E-9,2.4000E+0
2.2235E+0,-5.5217E-9,000.0000E-3,3.0765E-9,2.4500E+0
2.2680E+0,-8.1040E-9,000.0000E-3,5.8037E-9,2.5000E+0
2.3125E+0,-8.4010E-9,000.0000E-3,6.1883E-9,2.5500E+0
2.3570E+0,-12.3575E-9,000.0000E-3,9.9224E-9,2.6000E+0
2.4015E+0,-10.9279E-9,000.0000E-3,8.4348E-9,2.6500E+0
2.4460E+0,-11.3306E-9,000.0000E-3,9.2292E-9,2.7000E+0
2.4905E+0,-11.7836E-9,000.0000E-3,9.4468E-9,2.7500E+0
2.5350E+0,-9.8960E-9,000.0000E-3,7.4077E-9,2.8000E+0
2.5796E+0,-18.2067E-9,000.0000E-3,15.9741E-9,2.8500E+0
2.6241E+0,-26.6633E-9,000.0000E-3,24.7076E-9,2.9000E+0
2.6686E+0,-38.0194E-9,000.0000E-3,35.4347E-9,2.9500E+0
2.7131E+0,-40.3953E-9,000.0000E-3,38.0761E-9,3.0000E+0
2.7576E+0,-46.3150E-9,000.0000E-3,44.0165E-9,3.0500E+0
2.8021E+0,-39.8114E-9,000.0000E-3,37.3322E-9,3.1000E+0
2.8466E+0,-40.5513E-9,000.0000E-3,38.2177E-9,3.1500E+0
