---
Successful reset. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
43.0914E-3,654.3905E-9,000.0000E-3,-834.7935E-9,000.0000E-3
87.6268E-3,164.9354E-6,000.0000E-3,-165.1114E-6,-50.0000E-3
131.0929E-3,328.6074E-6,000.0000E-3,-328.7772E-6,-100.0000E-3
174.5789E-3,493.3769E-6,000.0000E-3,-493.5391E-6,-150.0000E-3
218.0678E-3,657.0096E-6,000.0000E-3,-657.1696E-6,-200.0000E-3
242.6269E-3,821.7221E-6,000.0000E-3,-821.8805E-6,-250.0000E-3
267.4729E-3,985.1879E-6,000.0000E-3,-985.3404E-6,-300.0000E-3
292.3151E-3,1.1498E-3,000.0000E-3,-1.1499E-3,-350.0000E-3
317.1621E-3,1.3132E-3,000.0000E-3,-1.3134E-3,-400.0000E-3
342.0224E-3,1.4766E-3,000.0000E-3,-1.4767E-3,-450.0000E-3
366.8618E-3,1.6411E-3,000.0000E-3,-1.6412E-3,-500.0000E-3
391.7383E-3,1.8043E-3,000.0000E-3,-1.8044E-3,-550.0000E-3
416.5843E-3,1.9686E-3,000.0000E-3,-1.9688E-3,-600.0000E-3
441.4503E-3,2.1316E-3,000.0000E-3,-2.1317E-3,-650.0000E-3
466.2849E-3,2.2946E-3,000.0000E-3,-2.2947E-3,-700.0000E-3
491.1224E-3,2.4588E-3,000.0000E-3,-2.4589E-3,-750.0000E-3
515.9665E-3,2.6216E-3,000.0000E-3,-2.6217E-3,-800.0000E-3
540.8115E-3,2.7855E-3,000.0000E-3,-2.7857E-3,-850.0000E-3
565.6471E-3,2.9481E-3,000.0000E-3,-2.9482E-3,-900.0000E-3
590.4855E-3,3.1106E-3,000.0000E-3,-3.1108E-3,-950.0000E-3
615.3305E-3,3.2741E-3,000.0000E-3,-3.2742E-3,-1.0000E+0
640.1766E-3,3.4368E-3,000.0000E-3,-3.4369E-3,-1.0500E+0
665.0578E-3,3.6004E-3,000.0000E-3,-3.6006E-3,-1.1000E+0
689.9067E-3,3.7629E-3,000.0000E-3,-3.7631E-3,-1.1500E+0
714.7594E-3,3.9265E-3,000.0000E-3,-3.9267E-3,-1.2000E+0
739.5969E-3,4.0912E-3,000.0000E-3,-4.0913E-3,-1.2500E+0
764.4353E-3,4.2550E-3,000.0000E-3,-4.2552E-3,-1.3000E+0
789.2737E-3,4.4221E-3,000.0000E-3,-4.4222E-3,-1.3500E+0
814.1264E-3,4.5895E-3,000.0000E-3,-4.5897E-3,-1.4000E+0
838.9848E-3,4.7558E-3,000.0000E-3,-4.7560E-3,-1.4500E+0
863.8346E-3,4.9206E-3,000.0000E-3,-4.9207E-3,-1.5000E+0
888.6940E-3,5.0838E-3,000.0000E-3,-5.0840E-3,-1.5500E+0
913.5333E-3,5.2475E-3,000.0000E-3,-5.2476E-3,-1.6000E+0
938.3994E-3,5.4092E-3,000.0000E-3,-5.4094E-3,-1.6500E+0
963.2368E-3,5.5710E-3,000.0000E-3,-5.5711E-3,-1.7000E+0
988.1076E-3,5.7331E-3,000.0000E-3,-5.7333E-3,-1.7500E+0
1.0129E+0,5.8912E-3,000.0000E-3,-5.8913E-3,-1.8000E+0
1.0377E+0,6.0635E-3,000.0000E-3,-6.0637E-3,-1.8500E+0
1.0626E+0,6.2303E-3,000.0000E-3,-6.2305E-3,-1.9000E+0
1.0874E+0,6.3936E-3,000.0000E-3,-6.3938E-3,-1.9500E+0
1.1123E+0,6.5638E-3,000.0000E-3,-6.5640E-3,-2.0000E+0
1.1371E+0,6.7211E-3,000.0000E-3,-6.7212E-3,-2.0500E+0
1.1620E+0,6.8708E-3,000.0000E-3,-6.8710E-3,-2.1000E+0
1.1868E+0,6.9933E-3,000.0000E-3,-6.9935E-3,-2.1500E+0
1.2116E+0,7.1005E-3,000.0000E-3,-7.1007E-3,-2.2000E+0
1.2365E+0,7.2758E-3,000.0000E-3,-7.2761E-3,-2.2500E+0
1.2613E+0,7.4229E-3,000.0000E-3,-7.4231E-3,-2.3000E+0
1.2862E+0,7.4268E-3,000.0000E-3,-7.4270E-3,-2.3500E+0
1.3111E+0,7.6439E-3,000.0000E-3,-7.6441E-3,-2.4000E+0
1.3359E+0,7.7257E-3,000.0000E-3,-7.7259E-3,-2.4500E+0
1.3607E+0,1.2587E-3,000.0000E-3,-1.2565E-3,-2.5000E+0
1.4055E+0,-68.3808E-9,000.0000E-3,-113.2465E-9,-2.5500E+0
1.4500E+0,-69.8896E-9,000.0000E-3,-121.3368E-9,-2.6000E+0
1.4945E+0,-68.3808E-9,000.0000E-3,-123.3593E-9,-2.6500E+0
1.5391E+0,-65.3628E-9,000.0000E-3,-126.8987E-9,-2.7000E+0
1.5836E+0,-66.8718E-9,000.0000E-3,-119.8197E-9,-2.7500E+0
1.6281E+0,-72.9074E-9,000.0000E-3,-120.3254E-9,-2.8000E+0
1.6726E+0,313.3752E-9,000.0000E-3,-500.0604E-9,-2.8500E+0
1.7171E+0,-71.9015E-9,000.0000E-3,-114.2577E-9,-2.9000E+0
1.7617E+0,-67.8778E-9,000.0000E-3,-116.2803E-9,-2.9500E+0
1.8062E+0,-71.9015E-9,000.0000E-3,-116.2803E-9,-3.0000E+0
1.8507E+0,-68.8837E-9,000.0000E-3,-120.3254E-9,-3.0500E+0
