---
Set success. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
42.9865E-3,-503.1291E-12,000.0000E-3,-1.0522E-9,000.0000E-3
87.4448E-3,-493.0616E-12,000.0000E-3,-1.4671E-9,50.0000E-3
131.9269E-3,-467.8933E-12,000.0000E-3,-1.4823E-9,100.0000E-3
176.4337E-3,-513.1957E-12,000.0000E-3,-1.8466E-9,150.0000E-3
220.9301E-3,-523.2632E-12,000.0000E-3,-1.7606E-9,200.0000E-3
265.4369E-3,-503.1291E-12,000.0000E-3,-1.6695E-9,250.0000E-3
309.9524E-3,-543.3982E-12,000.0000E-3,-1.9225E-9,300.0000E-3
354.4506E-3,-538.3649E-12,000.0000E-3,-1.8011E-9,350.0000E-3
398.9632E-3,-493.0616E-12,000.0000E-3,-1.5683E-9,400.0000E-3
443.4586E-3,-467.8933E-12,000.0000E-3,-1.8263E-9,450.0000E-3
487.9598E-3,-503.1291E-12,000.0000E-3,-1.7606E-9,500.0000E-3
532.4638E-3,-533.3316E-12,000.0000E-3,-1.5379E-9,550.0000E-3
576.9506E-3,-654.1399E-12,000.0000E-3,-1.8365E-9,600.0000E-3
621.4498E-3,-654.1399E-12,000.0000E-3,-1.6189E-9,650.0000E-3
665.9643E-3,-588.7015E-12,000.0000E-3,-1.5683E-9,700.0000E-3
710.4626E-3,-583.6682E-12,000.0000E-3,-1.8871E-9,750.0000E-3
754.9656E-3,-568.5674E-12,000.0000E-3,-1.6189E-9,800.0000E-3
799.4620E-3,-628.9715E-12,000.0000E-3,-1.5329E-9,850.0000E-3
843.9507E-3,-654.1399E-12,000.0000E-3,-1.8112E-9,900.0000E-3
888.4433E-3,-694.4099E-12,000.0000E-3,-1.4469E-9,950.0000E-3
932.9416E-3,-880.6582E-12,000.0000E-3,-1.4722E-9,1.0000E+0
977.4141E-3,-1.0669E-9,000.0000E-3,-1.3052E-9,1.0500E+0
1.0219E+0,-785.0174E-12,000.0000E-3,-1.4519E-9,1.1000E+0
1.0664E+0,-880.6582E-12,000.0000E-3,-1.6290E-9,1.1500E+0
1.1109E+0,-815.2199E-12,000.0000E-3,-1.4418E-9,1.2000E+0
1.1554E+0,-905.8256E-12,000.0000E-3,-1.3052E-9,1.2500E+0
1.1999E+0,-1.0820E-9,000.0000E-3,-1.3912E-9,1.3000E+0
1.2444E+0,-1.0568E-9,000.0000E-3,-1.1281E-9,1.3500E+0
1.2888E+0,-1.9679E-9,000.0000E-3,-424.8388E-12,1.4000E+0
1.3333E+0,-2.9293E-9,000.0000E-3,642.7765E-12,1.4500E+0
1.3778E+0,-3.4126E-9,000.0000E-3,1.1740E-9,1.5000E+0
1.4223E+0,-3.6341E-9,000.0000E-3,1.1942E-9,1.5500E+0
1.4668E+0,-2.3505E-9,000.0000E-3,141.8572E-12,1.6000E+0
1.5113E+0,-5.9445E-9,000.0000E-3,3.4307E-9,1.6500E+0
1.5558E+0,-8.2198E-9,000.0000E-3,5.9049E-9,1.7000E+0
1.6003E+0,-2.1692E-9,000.0000E-3,-161.7302E-12,1.7500E+0
1.6448E+0,-2.8337E-9,000.0000E-3,339.1891E-12,1.8000E+0
1.6893E+0,-2.9344E-9,000.0000E-3,764.2109E-12,1.8500E+0
1.7338E+0,-3.2666E-9,000.0000E-3,971.6619E-12,1.9000E+0
1.7783E+0,-2.6726E-9,000.0000E-3,232.9337E-12,1.9500E+0
1.8228E+0,-2.8035E-9,000.0000E-3,394.8459E-12,2.0000E+0
1.8673E+0,-2.8186E-9,000.0000E-3,678.1944E-12,2.0500E+0
1.9118E+0,-1.7665E-9,000.0000E-3,-566.5131E-12,2.1000E+0
1.9563E+0,-1.9327E-9,000.0000E-3,-520.9753E-12,2.1500E+0
2.0008E+0,-1.7313E-9,000.0000E-3,-515.9153E-12,2.2000E+0
2.0453E+0,-1.7565E-9,000.0000E-3,-617.1108E-12,2.2500E+0
2.0898E+0,-1.6961E-9,000.0000E-3,-753.7251E-12,2.3000E+0
2.1343E+0,-1.8370E-9,000.0000E-3,-379.3001E-12,2.3500E+0
2.1788E+0,-1.7061E-9,000.0000E-3,-637.3497E-12,2.4000E+0
2.2233E+0,-2.0434E-9,000.0000E-3,-424.8388E-12,2.4500E+0
2.2679E+0,-1.8874E-9,000.0000E-3,-394.4800E-12,2.5000E+0
2.3124E+0,-1.8068E-9,000.0000E-3,-465.3167E-12,2.5500E+0
