---
Reset success. But not smooth. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
43.0218E-3,457.7283E-9,000.0000E-3,-641.1337E-9,000.0000E-3
87.5372E-3,123.8972E-6,000.0000E-3,-124.0833E-6,-50.0000E-3
130.9403E-3,246.8549E-6,000.0000E-3,-247.0310E-6,-100.0000E-3
174.4102E-3,370.7155E-6,000.0000E-3,-370.8908E-6,-150.0000E-3
217.8495E-3,493.6188E-6,000.0000E-3,-493.7945E-6,-200.0000E-3
261.3460E-3,617.3098E-6,000.0000E-3,-617.4819E-6,-250.0000E-3
304.8063E-3,740.0512E-6,000.0000E-3,-740.2183E-6,-300.0000E-3
329.3816E-3,863.6598E-6,000.0000E-3,-863.8228E-6,-350.0000E-3
354.2352E-3,986.2392E-6,000.0000E-3,-986.4018E-6,-400.0000E-3
379.0994E-3,1.1087E-3,000.0000E-3,-1.1089E-3,-450.0000E-3
403.9502E-3,1.2321E-3,000.0000E-3,-1.2322E-3,-500.0000E-3
428.8038E-3,1.3543E-3,000.0000E-3,-1.3545E-3,-550.0000E-3
453.6298E-3,1.4775E-3,000.0000E-3,-1.4777E-3,-600.0000E-3
478.4777E-3,1.5994E-3,000.0000E-3,-1.5995E-3,-650.0000E-3
503.3399E-3,1.7213E-3,000.0000E-3,-1.7214E-3,-700.0000E-3
528.1850E-3,1.8442E-3,000.0000E-3,-1.8443E-3,-750.0000E-3
553.0501E-3,1.9658E-3,000.0000E-3,-1.9660E-3,-800.0000E-3
577.8856E-3,2.0883E-3,000.0000E-3,-2.0884E-3,-850.0000E-3
602.7440E-3,2.2096E-3,000.0000E-3,-2.2098E-3,-900.0000E-3
627.5948E-3,2.3308E-3,000.0000E-3,-2.3310E-3,-950.0000E-3
652.4456E-3,2.4528E-3,000.0000E-3,-2.4529E-3,-1.0000E+0
677.3126E-3,2.5739E-3,000.0000E-3,-2.5740E-3,-1.0500E+0
702.1720E-3,2.6955E-3,000.0000E-3,-2.6957E-3,-1.1000E+0
727.0094E-3,2.8161E-3,000.0000E-3,-2.8162E-3,-1.1500E+0
751.8421E-3,2.9363E-3,000.0000E-3,-2.9364E-3,-1.2000E+0
776.6796E-3,3.0572E-3,000.0000E-3,-3.0574E-3,-1.2500E+0
801.5256E-3,3.1764E-3,000.0000E-3,-3.1766E-3,-1.3000E+0
826.3935E-3,3.2965E-3,000.0000E-3,-3.2966E-3,-1.3500E+0
851.2520E-3,3.4156E-3,000.0000E-3,-3.4157E-3,-1.4000E+0
876.0980E-3,3.5336E-3,000.0000E-3,-3.5338E-3,-1.4500E+0
900.9411E-3,3.6503E-3,000.0000E-3,-3.6504E-3,-1.5000E+0
925.7967E-3,3.7702E-3,000.0000E-3,-3.7704E-3,-1.5500E+0
950.6408E-3,3.8889E-3,000.0000E-3,-3.8890E-3,-1.6000E+0
975.5087E-3,4.0076E-3,000.0000E-3,-4.0078E-3,-1.6500E+0
