---
Set success. A: Copper, B: platinum
---
Time,BI,BV,AI,AV
43.5212E-3,-588.7015E-12,000.0000E-3,-1.3001E-9,000.0000E-3
87.9671E-3,-543.3982E-12,000.0000E-3,-1.4620E-9,50.0000E-3
132.4816E-3,-553.4657E-12,000.0000E-3,-1.6543E-9,100.0000E-3
176.9732E-3,-563.5341E-12,000.0000E-3,-1.8719E-9,150.0000E-3
221.4677E-3,-513.1957E-12,000.0000E-3,-1.7302E-9,200.0000E-3
266.0031E-3,-558.4990E-12,000.0000E-3,-1.6746E-9,250.0000E-3
310.4985E-3,-472.9266E-12,000.0000E-3,-1.8972E-9,300.0000E-3
355.0302E-3,-588.7015E-12,000.0000E-3,-1.9124E-9,350.0000E-3
399.5380E-3,-583.6682E-12,000.0000E-3,-1.7808E-9,400.0000E-3
444.0191E-3,-538.3649E-12,000.0000E-3,-1.7707E-9,450.0000E-3
488.5441E-3,-578.6349E-12,000.0000E-3,-1.9680E-9,500.0000E-3
533.0442E-3,-623.9373E-12,000.0000E-3,-1.8061E-9,550.0000E-3
577.5787E-3,-639.0390E-12,000.0000E-3,-1.5936E-9,600.0000E-3
622.0932E-3,-563.5341E-12,000.0000E-3,-1.6999E-9,650.0000E-3
666.5763E-3,-689.3766E-12,000.0000E-3,-1.9022E-9,700.0000E-3
711.1040E-3,-664.2074E-12,000.0000E-3,-1.6341E-9,750.0000E-3
755.6071E-3,-669.2416E-12,000.0000E-3,-1.5025E-9,800.0000E-3
800.1368E-3,-714.5449E-12,000.0000E-3,-1.6594E-9,850.0000E-3
844.6437E-3,-800.1182E-12,000.0000E-3,-1.7100E-9,900.0000E-3
889.1286E-3,-855.4890E-12,000.0000E-3,-1.4469E-9,950.0000E-3
933.6488E-3,-875.6231E-12,000.0000E-3,-1.4064E-9,1.0000E+0
978.1452E-3,-900.7923E-12,000.0000E-3,-1.6594E-9,1.0500E+0
1.0226E+0,-870.5898E-12,000.0000E-3,-1.5632E-9,1.1000E+0
1.0671E+0,-895.7590E-12,000.0000E-3,-1.3254E-9,1.1500E+0
1.1116E+0,-915.8940E-12,000.0000E-3,-1.4924E-9,1.2000E+0
1.1561E+0,-941.0623E-12,000.0000E-3,-1.5278E-9,1.2500E+0
1.2006E+0,-951.1298E-12,000.0000E-3,-1.2951E-9,1.3000E+0
1.2452E+0,-996.4332E-12,000.0000E-3,-1.2394E-9,1.3500E+0
1.2897E+0,-1.0266E-9,000.0000E-3,-1.4620E-9,1.4000E+0
1.3341E+0,-1.0518E-9,000.0000E-3,-1.1888E-9,1.4500E+0
1.3786E+0,-1.1675E-9,000.0000E-3,-1.0471E-9,1.5000E+0
1.4231E+0,-1.2380E-9,000.0000E-3,-1.1483E-9,1.5500E+0
1.4676E+0,-1.4595E-9,000.0000E-3,-677.8276E-12,1.6000E+0
1.5121E+0,-1.6508E-9,000.0000E-3,-536.1542E-12,1.6500E+0
1.5566E+0,-1.8974E-9,000.0000E-3,-551.3332E-12,1.7000E+0
