---
Successful reset, very smooth. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
43.0037E-3,276.6583E-9,000.0000E-3,-453.5416E-9,000.0000E-3
88.5304E-3,78.7134E-6,000.0000E-3,-78.8898E-6,-50.0000E-3
132.0079E-3,156.9173E-6,000.0000E-3,-157.0914E-6,-100.0000E-3
175.4768E-3,235.8300E-6,000.0000E-3,-236.0005E-6,-150.0000E-3
218.9180E-3,314.2230E-6,000.0000E-3,-314.3927E-6,-200.0000E-3
262.3849E-3,393.3081E-6,000.0000E-3,-393.4772E-6,-250.0000E-3
305.8671E-3,472.2026E-6,000.0000E-3,-472.3680E-6,-300.0000E-3
349.3236E-3,551.8461E-6,000.0000E-3,-552.0108E-6,-350.0000E-3
392.7706E-3,631.1007E-6,000.0000E-3,-631.2652E-6,-400.0000E-3
436.2375E-3,710.6823E-6,000.0000E-3,-710.8412E-6,-450.0000E-3
479.6673E-3,791.0681E-6,000.0000E-3,-791.2201E-6,-500.0000E-3
504.2111E-3,871.2579E-6,000.0000E-3,-871.4119E-6,-550.0000E-3
529.0553E-3,952.5723E-6,000.0000E-3,-952.7237E-6,-600.0000E-3
553.9013E-3,1.0334E-3,000.0000E-3,-1.0335E-3,-650.0000E-3
578.7387E-3,1.1147E-3,000.0000E-3,-1.1148E-3,-700.0000E-3
603.5800E-3,1.1968E-3,000.0000E-3,-1.1970E-3,-750.0000E-3
628.4088E-3,1.2790E-3,000.0000E-3,-1.2791E-3,-800.0000E-3
653.2520E-3,1.3612E-3,000.0000E-3,-1.3614E-3,-850.0000E-3
678.0923E-3,1.4437E-3,000.0000E-3,-1.4438E-3,-900.0000E-3
702.9184E-3,1.5265E-3,000.0000E-3,-1.5267E-3,-950.0000E-3
727.7710E-3,1.6100E-3,000.0000E-3,-1.6101E-3,-1.0000E+0
752.6171E-3,1.6940E-3,000.0000E-3,-1.6942E-3,-1.0500E+0
777.4612E-3,1.7783E-3,000.0000E-3,-1.7784E-3,-1.1000E+0
802.2910E-3,1.8612E-3,000.0000E-3,-1.8613E-3,-1.1500E+0
827.1360E-3,1.9451E-3,000.0000E-3,-1.9452E-3,-1.2000E+0
851.9630E-3,2.0301E-3,000.0000E-3,-2.0303E-3,-1.2500E+0
876.8014E-3,2.1145E-3,000.0000E-3,-2.1146E-3,-1.3000E+0
901.6408E-3,2.2005E-3,000.0000E-3,-2.2007E-3,-1.3500E+0
926.4877E-3,2.2831E-3,000.0000E-3,-2.2832E-3,-1.4000E+0
951.3271E-3,2.3672E-3,000.0000E-3,-2.3673E-3,-1.4500E+0
976.1626E-3,2.4475E-3,000.0000E-3,-2.4477E-3,-1.5000E+0
1.0009E+0,2.5321E-3,000.0000E-3,-2.5323E-3,-1.5500E+0
1.0258E+0,2.6181E-3,000.0000E-3,-2.6182E-3,-1.6000E+0
1.0506E+0,2.6973E-3,000.0000E-3,-2.6975E-3,-1.6500E+0
1.0754E+0,2.7746E-3,000.0000E-3,-2.7748E-3,-1.7000E+0
1.1003E+0,2.8485E-3,000.0000E-3,-2.8487E-3,-1.7500E+0
1.1251E+0,2.9324E-3,000.0000E-3,-2.9326E-3,-1.8000E+0
1.1500E+0,3.0220E-3,000.0000E-3,-3.0221E-3,-1.8500E+0
1.1748E+0,3.1099E-3,000.0000E-3,-3.1101E-3,-1.9000E+0
1.1997E+0,3.2053E-3,000.0000E-3,-3.2054E-3,-1.9500E+0
