---
Set sucess. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
43.0237E-3,-639.0390E-12,000.0000E-3,-1.0826E-9,000.0000E-3
87.4772E-3,-659.1740E-12,000.0000E-3,-1.4924E-9,50.0000E-3
131.9888E-3,-628.9715E-12,000.0000E-3,-1.6999E-9,100.0000E-3
176.4957E-3,-654.1399E-12,000.0000E-3,-1.6796E-9,150.0000E-3
221.0245E-3,-613.8707E-12,000.0000E-3,-1.6391E-9,200.0000E-3
265.5046E-3,-634.0057E-12,000.0000E-3,-1.8061E-9,250.0000E-3
310.0172E-3,-669.2416E-12,000.0000E-3,-1.8162E-9,300.0000E-3
354.5412E-3,-634.0057E-12,000.0000E-3,-1.6796E-9,350.0000E-3
399.0566E-3,-634.0057E-12,000.0000E-3,-1.6138E-9,400.0000E-3
443.5740E-3,-654.1399E-12,000.0000E-3,-1.8162E-9,450.0000E-3
488.0684E-3,-644.0732E-12,000.0000E-3,-1.8162E-9,500.0000E-3
532.5829E-3,-684.3424E-12,000.0000E-3,-1.6088E-9,550.0000E-3
577.0946E-3,-644.0732E-12,000.0000E-3,-1.7049E-9,600.0000E-3
621.5995E-3,-669.2416E-12,000.0000E-3,-1.8314E-9,650.0000E-3
666.1216E-3,-734.6790E-12,000.0000E-3,-1.8011E-9,700.0000E-3
710.6122E-3,-754.8149E-12,000.0000E-3,-1.4216E-9,750.0000E-3
755.1143E-3,-749.7807E-12,000.0000E-3,-1.5734E-9,800.0000E-3
799.6259E-3,-825.2865E-12,000.0000E-3,-1.7656E-9,850.0000E-3
844.1404E-3,-815.2199E-12,000.0000E-3,-1.5430E-9,900.0000E-3
888.6568E-3,-870.5898E-12,000.0000E-3,-1.3861E-9,950.0000E-3
933.1474E-3,-875.6231E-12,000.0000E-3,-1.6644E-9,1.0000E+0
977.6495E-3,-870.5898E-12,000.0000E-3,-1.6138E-9,1.0500E+0
1.0221E+0,-936.0281E-12,000.0000E-3,-1.4216E-9,1.1000E+0
1.0666E+0,-946.0956E-12,000.0000E-3,-1.3305E-9,1.1500E+0
1.1111E+0,-981.3315E-12,000.0000E-3,-1.5734E-9,1.2000E+0
1.1556E+0,-986.3657E-12,000.0000E-3,-1.4216E-9,1.2500E+0
1.2001E+0,-1.0115E-9,000.0000E-3,-1.2799E-9,1.3000E+0
1.2446E+0,-1.0316E-9,000.0000E-3,-1.4519E-9,1.3500E+0
1.2891E+0,-1.0165E-9,000.0000E-3,-1.5784E-9,1.4000E+0
1.3337E+0,-1.0920E-9,000.0000E-3,-1.3001E-9,1.4500E+0
1.3781E+0,-1.1826E-9,000.0000E-3,-1.2141E-9,1.5000E+0
1.4226E+0,-1.6306E-9,000.0000E-3,-956.1161E-12,1.5500E+0
1.4671E+0,-1.5048E-9,000.0000E-3,-1.0168E-9,1.6000E+0
1.5117E+0,-1.7414E-9,000.0000E-3,-632.2907E-12,1.6500E+0
1.5562E+0,-1.3940E-9,000.0000E-3,-1.0117E-9,1.7000E+0
1.6007E+0,-2.3001E-9,000.0000E-3,-242.6868E-12,1.7500E+0
1.6452E+0,-1.9176E-9,000.0000E-3,-672.7685E-12,1.8000E+0
1.6897E+0,-2.9444E-9,000.0000E-3,526.4003E-12,1.8500E+0
1.7342E+0,-1.8118E-9,000.0000E-3,-515.9153E-12,1.9000E+0
1.7788E+0,-2.3454E-9,000.0000E-3,-131.3714E-12,1.9500E+0
1.8233E+0,-8.0839E-9,000.0000E-3,5.4951E-9,2.0000E+0
1.8678E+0,-2.5770E-9,000.0000E-3,202.5740E-12,2.0500E+0
1.9123E+0,-2.4109E-9,000.0000E-3,76.0795E-12,2.1000E+0
1.9568E+0,-2.1541E-9,000.0000E-3,-262.9257E-12,2.1500E+0
2.0013E+0,-2.4159E-9,000.0000E-3,-187.0282E-12,2.2000E+0
2.0458E+0,-1.9327E-9,000.0000E-3,-475.4366E-12,2.2500E+0
2.0903E+0,-1.9025E-9,000.0000E-3,-369.1811E-12,2.3000E+0
2.1348E+0,-2.1642E-9,000.0000E-3,-445.0778E-12,2.3500E+0
2.1793E+0,-2.4713E-9,000.0000E-3,-45.3548E-12,2.4000E+0
2.2238E+0,-2.9444E-9,000.0000E-3,612.4168E-12,2.4500E+0
2.2683E+0,-2.5719E-9,000.0000E-3,197.5149E-12,2.5000E+0
2.3128E+0,-2.4109E-9,000.0000E-3,-141.4913E-12,2.5500E+0
2.3573E+0,-2.8136E-9,000.0000E-3,455.5636E-12,2.6000E+0
2.4019E+0,-2.9595E-9,000.0000E-3,743.9711E-12,2.6500E+0
2.4464E+0,-3.3975E-9,000.0000E-3,1.0374E-9,2.7000E+0
2.4909E+0,-3.3220E-9,000.0000E-3,850.2274E-12,2.7500E+0
2.5354E+0,-4.5200E-9,000.0000E-3,2.2163E-9,2.8000E+0
2.5799E+0,-5.2700E-9,000.0000E-3,3.0562E-9,2.8500E+0
2.6244E+0,-4.2683E-9,000.0000E-3,1.7862E-9,2.9000E+0
2.6689E+0,-3.5233E-9,000.0000E-3,1.0374E-9,2.9500E+0
2.7134E+0,-5.2297E-9,000.0000E-3,3.0461E-9,3.0000E+0
2.7579E+0,-5.0032E-9,000.0000E-3,2.5604E-9,3.0500E+0
2.8024E+0,-26.5173E-9,000.0000E-3,23.9992E-9,3.1000E+0
2.8469E+0,-11.1846E-9,000.0000E-3,8.9205E-9,3.1500E+0
2.8914E+0,-21.2974E-9,000.0000E-3,19.0152E-9,3.2000E+0
2.9359E+0,-20.0188E-9,000.0000E-3,17.5376E-9,3.2500E+0
2.9804E+0,-11.5370E-9,000.0000E-3,9.3203E-9,3.3000E+0
3.0249E+0,-11.3054E-9,000.0000E-3,9.0470E-9,3.3500E+0
3.0694E+0,-14.0237E-9,000.0000E-3,11.5213E-9,3.4000E+0
3.1139E+0,-11.1494E-9,000.0000E-3,8.6928E-9,3.4500E+0
3.1584E+0,-4.8119E-9,000.0000E-3,2.5148E-9,3.5000E+0
3.2029E+0,-4.3488E-9,000.0000E-3,1.7609E-9,3.5500E+0
3.2474E+0,-15.9365E-9,000.0000E-3,13.4138E-9,3.6000E+0
3.2919E+0,-8.9295E-9,000.0000E-3,6.5020E-9,3.6500E+0
3.3364E+0,-6.2768E-9,000.0000E-3,3.9721E-9,3.7000E+0
3.3809E+0,-9.5638E-9,000.0000E-3,7.0332E-9,3.7500E+0
3.4254E+0,-13.6914E-9,000.0000E-3,11.1469E-9,3.8000E+0
3.4700E+0,-4.8925E-9,000.0000E-3,2.6565E-9,3.8500E+0
3.5144E+0,-4.4344E-9,000.0000E-3,2.0038E-9,3.9000E+0
3.5590E+0,-4.7767E-9,000.0000E-3,2.2821E-9,3.9500E+0
3.6034E+0,-4.9126E-9,000.0000E-3,2.5553E-9,4.0000E+0
3.6480E+0,-7.9731E-9,000.0000E-3,5.7228E-9,4.0500E+0
3.6925E+0,-12.0605E-9,000.0000E-3,9.7605E-9,4.1000E+0
3.7370E+0,-135.5729E-9,000.0000E-3,132.9404E-9,4.1500E+0
3.7815E+0,-112.1711E-9,000.0000E-3,109.9630E-9,4.2000E+0
