---
Successful reset. A: Copper, B: Platinum
---
Time,BI,BV,AI,AV
43.0418E-3,247.4859E-9,000.0000E-3,-416.1242E-9,000.0000E-3
88.5371E-3,72.8194E-6,000.0000E-3,-72.9930E-6,-50.0000E-3
132.0146E-3,145.1801E-6,000.0000E-3,-145.3515E-6,-100.0000E-3
175.4758E-3,218.4367E-6,000.0000E-3,-218.6019E-6,-150.0000E-3
218.9361E-3,291.2626E-6,000.0000E-3,-291.4266E-6,-200.0000E-3
262.3868E-3,365.1046E-6,000.0000E-3,-365.2621E-6,-250.0000E-3
305.8300E-3,438.8305E-6,000.0000E-3,-438.9878E-6,-300.0000E-3
349.3055E-3,513.4023E-6,000.0000E-3,-513.5650E-6,-350.0000E-3
392.7677E-3,587.7226E-6,000.0000E-3,-587.8828E-6,-400.0000E-3
436.2594E-3,662.0762E-6,000.0000E-3,-662.2280E-6,-450.0000E-3
479.7226E-3,738.5593E-6,000.0000E-3,-738.7094E-6,-500.0000E-3
504.2827E-3,814.1940E-6,000.0000E-3,-814.3429E-6,-550.0000E-3
529.1296E-3,890.7134E-6,000.0000E-3,-890.8583E-6,-600.0000E-3
553.9871E-3,967.9475E-6,000.0000E-3,-968.0942E-6,-650.0000E-3
578.8283E-3,1.0460E-3,000.0000E-3,-1.0461E-3,-700.0000E-3
603.6686E-3,1.1248E-3,000.0000E-3,-1.1249E-3,-750.0000E-3
628.5194E-3,1.2034E-3,000.0000E-3,-1.2035E-3,-800.0000E-3
653.3664E-3,1.2814E-3,000.0000E-3,-1.2815E-3,-850.0000E-3
678.2191E-3,1.3603E-3,000.0000E-3,-1.3605E-3,-900.0000E-3
703.0603E-3,1.4403E-3,000.0000E-3,-1.4405E-3,-950.0000E-3
727.9159E-3,1.5204E-3,000.0000E-3,-1.5205E-3,-1.0000E+0
752.7429E-3,1.6016E-3,000.0000E-3,-1.6018E-3,-1.0500E+0
777.5984E-3,1.6841E-3,000.0000E-3,-1.6842E-3,-1.1000E+0
802.4368E-3,1.7655E-3,000.0000E-3,-1.7656E-3,-1.1500E+0
827.2828E-3,1.8473E-3,000.0000E-3,-1.8474E-3,-1.2000E+0
852.1107E-3,1.9308E-3,000.0000E-3,-1.9310E-3,-1.2500E+0
876.9644E-3,2.0133E-3,000.0000E-3,-2.0134E-3,-1.3000E+0
901.8047E-3,2.1006E-3,000.0000E-3,-2.1007E-3,-1.3500E+0
926.6555E-3,2.1832E-3,000.0000E-3,-2.1834E-3,-1.4000E+0
951.5282E-3,2.2682E-3,000.0000E-3,-2.2683E-3,-1.4500E+0
976.3590E-3,2.3531E-3,000.0000E-3,-2.3533E-3,-1.5000E+0
1.0012E+0,2.4390E-3,000.0000E-3,-2.4391E-3,-1.5500E+0
1.0260E+0,2.5254E-3,000.0000E-3,-2.5255E-3,-1.6000E+0
1.0508E+0,2.6088E-3,000.0000E-3,-2.6089E-3,-1.6500E+0
1.0757E+0,2.6887E-3,000.0000E-3,-2.6889E-3,-1.7000E+0
1.1006E+0,2.7721E-3,000.0000E-3,-2.7722E-3,-1.7500E+0
1.1254E+0,2.8637E-3,000.0000E-3,-2.8638E-3,-1.8000E+0
1.1502E+0,2.9539E-3,000.0000E-3,-2.9540E-3,-1.8500E+0
1.1751E+0,3.0414E-3,000.0000E-3,-3.0415E-3,-1.9000E+0
1.1999E+0,3.1296E-3,000.0000E-3,-3.1297E-3,-1.9500E+0
1.2248E+0,3.2202E-3,000.0000E-3,-3.2204E-3,-2.0000E+0
1.2496E+0,3.3136E-3,000.0000E-3,-3.3137E-3,-2.0500E+0
1.2745E+0,3.4064E-3,000.0000E-3,-3.4065E-3,-2.1000E+0
1.2993E+0,3.4977E-3,000.0000E-3,-3.4978E-3,-2.1500E+0
1.3242E+0,3.5926E-3,000.0000E-3,-3.5927E-3,-2.2000E+0
1.3490E+0,3.6880E-3,000.0000E-3,-3.6881E-3,-2.2500E+0
1.3739E+0,3.7820E-3,000.0000E-3,-3.7822E-3,-2.3000E+0
1.3987E+0,3.8790E-3,000.0000E-3,-3.8791E-3,-2.3500E+0
1.4236E+0,3.9803E-3,000.0000E-3,-3.9804E-3,-2.4000E+0
1.4484E+0,4.0771E-3,000.0000E-3,-4.0772E-3,-2.4500E+0
1.4733E+0,4.1822E-3,000.0000E-3,-4.1823E-3,-2.5000E+0
1.4981E+0,4.2817E-3,000.0000E-3,-4.2818E-3,-2.5500E+0
1.5229E+0,4.3851E-3,000.0000E-3,-4.3853E-3,-2.6000E+0
1.5478E+0,4.4929E-3,000.0000E-3,-4.4930E-3,-2.6500E+0
1.5726E+0,4.5846E-3,000.0000E-3,-4.5847E-3,-2.7000E+0
1.5975E+0,4.6690E-3,000.0000E-3,-4.6692E-3,-2.7500E+0
1.6223E+0,4.7734E-3,000.0000E-3,-4.7736E-3,-2.8000E+0
1.6472E+0,4.8700E-3,000.0000E-3,-4.8701E-3,-2.8500E+0
1.6721E+0,4.9732E-3,000.0000E-3,-4.9733E-3,-2.9000E+0
1.6969E+0,5.0754E-3,000.0000E-3,-5.0755E-3,-2.9500E+0
1.7217E+0,5.1872E-3,000.0000E-3,-5.1873E-3,-3.0000E+0
1.7466E+0,5.2643E-3,000.0000E-3,-5.2644E-3,-3.0500E+0
1.7714E+0,5.3661E-3,000.0000E-3,-5.3663E-3,-3.1000E+0
1.7963E+0,5.4925E-3,000.0000E-3,-5.4927E-3,-3.1500E+0
1.8211E+0,5.4654E-3,000.0000E-3,-5.4656E-3,-3.2000E+0
1.8649E+0,707.7056E-9,000.0000E-3,-888.8969E-9,-3.2500E+0
1.9094E+0,458.2313E-9,000.0000E-3,-635.5718E-9,-3.3000E+0
1.9539E+0,-52.2856E-9,000.0000E-3,-129.4270E-9,-3.3500E+0
1.9984E+0,-46.7530E-9,000.0000E-3,-134.4833E-9,-3.4000E+0
2.0430E+0,-28.6460E-9,000.0000E-3,-148.6413E-9,-3.4500E+0
2.0875E+0,-19.0895E-9,000.0000E-3,-154.7089E-9,-3.5000E+0
2.1320E+0,-15.0656E-9,000.0000E-3,-163.3047E-9,-3.5500E+0
2.1765E+0,-15.5687E-9,000.0000E-3,-164.8216E-9,-3.6000E+0
2.2210E+0,6.5621E-9,000.0000E-3,-185.5528E-9,-3.6500E+0
2.2655E+0,-45.2440E-9,000.0000E-3,-139.0341E-9,-3.7000E+0
2.3099E+0,-45.2440E-9,000.0000E-3,-132.4607E-9,-3.7500E+0
2.3545E+0,-45.7470E-9,000.0000E-3,-137.0115E-9,-3.8000E+0
2.3990E+0,-32.1667E-9,000.0000E-3,-144.0905E-9,-3.8500E+0
2.4435E+0,-7.0182E-9,000.0000E-3,-174.4289E-9,-3.9000E+0
2.4880E+0,-28.1430E-9,000.0000E-3,-152.6864E-9,-3.9500E+0
2.5325E+0,-22.6102E-9,000.0000E-3,-164.3160E-9,-4.0000E+0
2.5770E+0,-2.9942E-9,000.0000E-3,-170.3838E-9,-4.0500E+0
2.6215E+0,11.5918E-9,000.0000E-3,-197.1826E-9,-4.1000E+0
2.6660E+0,123.2517E-9,000.0000E-3,-300.3329E-9,-4.1500E+0
