---
Successful reset, but very janky. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
42.9980E-3,126.2695E-9,000.0000E-3,-313.4795E-9,000.0000E-3
88.5247E-3,45.3865E-6,000.0000E-3,-45.5616E-6,-50.0000E-3
132.0003E-3,90.5944E-6,000.0000E-3,-90.7738E-6,-100.0000E-3
175.4663E-3,136.2687E-6,000.0000E-3,-136.4609E-6,-150.0000E-3
218.9304E-3,181.8288E-6,000.0000E-3,-182.0058E-6,-200.0000E-3
262.4040E-3,227.7132E-6,000.0000E-3,-227.8946E-6,-250.0000E-3
305.8938E-3,273.9886E-6,000.0000E-3,-274.1611E-6,-300.0000E-3
349.3579E-3,320.2885E-6,000.0000E-3,-320.4634E-6,-350.0000E-3
392.8334E-3,366.3078E-6,000.0000E-3,-366.4751E-6,-400.0000E-3
436.2747E-3,411.8638E-6,000.0000E-3,-412.0413E-6,-450.0000E-3
479.7187E-3,455.5663E-6,000.0000E-3,-455.7371E-6,-500.0000E-3
523.1543E-3,494.3617E-6,000.0000E-3,-494.5267E-6,-550.0000E-3
566.6174E-3,525.9482E-6,000.0000E-3,-526.1135E-6,-600.0000E-3
610.0996E-3,535.8304E-6,000.0000E-3,-536.0098E-6,-650.0000E-3
653.5646E-3,478.9331E-6,000.0000E-3,-479.0991E-6,-700.0000E-3
697.0335E-3,437.5815E-6,000.0000E-3,-437.7576E-6,-750.0000E-3
740.5024E-3,427.5555E-6,000.0000E-3,-427.7201E-6,-800.0000E-3
783.9808E-3,488.0075E-6,000.0000E-3,-488.2805E-6,-850.0000E-3
827.4429E-3,486.5378E-6,000.0000E-3,-486.6882E-6,-900.0000E-3
870.9309E-3,359.7720E-6,000.0000E-3,-359.9442E-6,-950.0000E-3
914.3816E-3,255.1361E-6,000.0000E-3,-255.2820E-6,-1.0000E+0
957.8505E-3,228.7967E-6,000.0000E-3,-228.9675E-6,-1.0500E+0
1.0013E+0,228.7469E-6,000.0000E-3,-228.9564E-6,-1.1000E+0
1.0448E+0,213.6422E-6,000.0000E-3,-213.8161E-6,-1.1500E+0
1.0882E+0,206.9987E-6,000.0000E-3,-207.1831E-6,-1.2000E+0
1.1317E+0,179.7489E-6,000.0000E-3,-179.9251E-6,-1.2500E+0
1.1751E+0,186.2681E-6,000.0000E-3,-186.4529E-6,-1.3000E+0
1.2186E+0,170.4628E-6,000.0000E-3,-170.6522E-6,-1.3500E+0
