---
Successful set. A: Copper, B: Platinum. 
---
Time,BI,BV,AI,AV
43.0428E-3,-498.0949E-12,000.0000E-3,-1.1585E-9,000.0000E-3
87.4896E-3,-533.3316E-12,000.0000E-3,-1.4367E-9,50.0000E-3
132.0108E-3,-553.4657E-12,000.0000E-3,-1.4873E-9,100.0000E-3
176.5167E-3,-593.7357E-12,000.0000E-3,-1.7808E-9,150.0000E-3
221.0016E-3,-608.8365E-12,000.0000E-3,-1.9326E-9,200.0000E-3
265.5389E-3,-568.5674E-12,000.0000E-3,-1.7859E-9,250.0000E-3
310.0325E-3,-623.9373E-12,000.0000E-3,-1.6138E-9,300.0000E-3
354.5603E-3,-593.7357E-12,000.0000E-3,-1.8769E-9,350.0000E-3
399.0719E-3,-669.2416E-12,000.0000E-3,-1.9174E-9,400.0000E-3
443.5559E-3,-578.6349E-12,000.0000E-3,-1.7403E-9,450.0000E-3
488.0904E-3,-623.9373E-12,000.0000E-3,-1.5734E-9,500.0000E-3
532.5744E-3,-618.9040E-12,000.0000E-3,-1.7758E-9,550.0000E-3
577.1012E-3,-628.9715E-12,000.0000E-3,-1.8668E-9,600.0000E-3
621.6214E-3,-644.0732E-12,000.0000E-3,-1.6796E-9,650.0000E-3
666.1140E-3,-654.1399E-12,000.0000E-3,-1.5025E-9,700.0000E-3
710.6323E-3,-649.1065E-12,000.0000E-3,-1.7150E-9,750.0000E-3
755.1181E-3,-754.8149E-12,000.0000E-3,-1.7353E-9,800.0000E-3
799.6450E-3,-764.8815E-12,000.0000E-3,-1.4975E-9,850.0000E-3
844.1519E-3,-714.5449E-12,000.0000E-3,-1.4418E-9,900.0000E-3
888.6301E-3,-815.2199E-12,000.0000E-3,-1.7100E-9,950.0000E-3
933.1541E-3,-830.3207E-12,000.0000E-3,-1.5987E-9,1.0000E+0
977.6457E-3,-805.1515E-12,000.0000E-3,-1.4165E-9,1.0500E+0
1.0221E+0,-825.2865E-12,000.0000E-3,-1.5734E-9,1.1000E+0
1.0666E+0,-910.8598E-12,000.0000E-3,-1.5936E-9,1.1500E+0
1.1111E+0,-936.0281E-12,000.0000E-3,-1.2951E-9,1.2000E+0
1.1556E+0,-1.0971E-9,000.0000E-3,-1.3052E-9,1.2500E+0
1.2001E+0,-1.3387E-9,000.0000E-3,-1.1433E-9,1.3000E+0
1.2446E+0,-1.5602E-9,000.0000E-3,-753.7251E-12,1.3500E+0
1.2891E+0,-2.4763E-9,000.0000E-3,187.3950E-12,1.4000E+0
1.3336E+0,-4.5049E-9,000.0000E-3,2.0291E-9,1.4500E+0
1.3781E+0,-4.2633E-9,000.0000E-3,1.8217E-9,1.5000E+0
1.4226E+0,-5.0385E-9,000.0000E-3,2.8640E-9,1.5500E+0
1.4672E+0,-5.6173E-9,000.0000E-3,3.3649E-9,1.6000E+0
1.5117E+0,-8.9849E-9,000.0000E-3,6.4159E-9,1.6500E+0
1.5561E+0,-15.0858E-9,000.0000E-3,12.7206E-9,1.7000E+0
1.6006E+0,-9.1359E-9,000.0000E-3,6.7853E-9,1.7500E+0
1.6452E+0,-10.4245E-9,000.0000E-3,7.8124E-9,1.8000E+0
1.6897E+0,-14.2854E-9,000.0000E-3,11.9160E-9,1.8500E+0
1.7342E+0,-14.7888E-9,000.0000E-3,12.5080E-9,1.9000E+0
1.7787E+0,-18.4785E-9,000.0000E-3,16.0804E-9,1.9500E+0
1.8232E+0,-13.2988E-9,000.0000E-3,10.7725E-9,2.0000E+0
1.8677E+0,-40.4154E-9,000.0000E-3,38.0153E-9,2.0500E+0
1.9122E+0,-40.3198E-9,000.0000E-3,38.0862E-9,2.1000E+0
1.9567E+0,-78.7220E-9,000.0000E-3,76.2839E-9,2.1500E+0
2.0012E+0,-142.8869E-9,000.0000E-3,140.4797E-9,2.2000E+0
