---
Reset failed. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
43.3392E-3,612.6438E-9,000.0000E-3,-793.8368E-9,000.0000E-3
87.8508E-3,169.7712E-6,000.0000E-3,-169.9584E-6,-50.0000E-3
131.2730E-3,338.2939E-6,000.0000E-3,-338.4627E-6,-100.0000E-3
174.7085E-3,508.0565E-6,000.0000E-3,-508.2244E-6,-150.0000E-3
218.1612E-3,676.5687E-6,000.0000E-3,-676.7312E-6,-200.0000E-3
242.7136E-3,846.2303E-6,000.0000E-3,-846.3888E-6,-250.0000E-3
267.5406E-3,1.0146E-3,000.0000E-3,-1.0148E-3,-300.0000E-3
292.3809E-3,1.1843E-3,000.0000E-3,-1.1844E-3,-350.0000E-3
317.2231E-3,1.3527E-3,000.0000E-3,-1.3528E-3,-400.0000E-3
342.0500E-3,1.5211E-3,000.0000E-3,-1.5213E-3,-450.0000E-3
366.8875E-3,1.6907E-3,000.0000E-3,-1.6909E-3,-500.0000E-3
391.7249E-3,1.8591E-3,000.0000E-3,-1.8592E-3,-550.0000E-3
416.5738E-3,2.0286E-3,000.0000E-3,-2.0288E-3,-600.0000E-3
441.4227E-3,2.1967E-3,000.0000E-3,-2.1968E-3,-650.0000E-3
466.2477E-3,2.3650E-3,000.0000E-3,-2.3651E-3,-700.0000E-3
491.0719E-3,2.5344E-3,000.0000E-3,-2.5346E-3,-750.0000E-3
515.9007E-3,2.7024E-3,000.0000E-3,-2.7026E-3,-800.0000E-3
540.7477E-3,2.8717E-3,000.0000E-3,-2.8719E-3,-850.0000E-3
565.6013E-3,3.0398E-3,000.0000E-3,-3.0399E-3,-900.0000E-3
590.4331E-3,3.2078E-3,000.0000E-3,-3.2080E-3,-950.0000E-3
615.2858E-3,3.3768E-3,000.0000E-3,-3.3769E-3,-1.0000E+0
640.1032E-3,3.5447E-3,000.0000E-3,-3.5448E-3,-1.0500E+0
664.9377E-3,3.7136E-3,000.0000E-3,-3.7138E-3,-1.1000E+0
689.7838E-3,3.8813E-3,000.0000E-3,-3.8814E-3,-1.1500E+0
714.6374E-3,4.0490E-3,000.0000E-3,-4.0491E-3,-1.2000E+0
739.4634E-3,4.2177E-3,000.0000E-3,-4.2178E-3,-1.2500E+0
764.3009E-3,4.3852E-3,000.0000E-3,-4.3854E-3,-1.3000E+0
789.1469E-3,4.5539E-3,000.0000E-3,-4.5541E-3,-1.3500E+0
813.9862E-3,4.7213E-3,000.0000E-3,-4.7214E-3,-1.4000E+0
838.8342E-3,4.8887E-3,000.0000E-3,-4.8888E-3,-1.4500E+0
863.6516E-3,5.0569E-3,000.0000E-3,-5.0571E-3,-1.5000E+0
888.5015E-3,5.2242E-3,000.0000E-3,-5.2244E-3,-1.5500E+0
913.3465E-3,5.3925E-3,000.0000E-3,-5.3926E-3,-1.6000E+0
938.1945E-3,5.5594E-3,000.0000E-3,-5.5596E-3,-1.6500E+0
963.0319E-3,5.7263E-3,000.0000E-3,-5.7265E-3,-1.7000E+0
987.8541E-3,5.8943E-3,000.0000E-3,-5.8945E-3,-1.7500E+0
1.0126E+0,6.0610E-3,000.0000E-3,-6.0612E-3,-1.8000E+0
1.0375E+0,6.2288E-3,000.0000E-3,-6.2290E-3,-1.8500E+0
1.0623E+0,6.3956E-3,000.0000E-3,-6.3958E-3,-1.9000E+0
1.0871E+0,6.5618E-3,000.0000E-3,-6.5620E-3,-1.9500E+0
1.1120E+0,6.7292E-3,000.0000E-3,-6.7294E-3,-2.0000E+0
1.1368E+0,6.8955E-3,000.0000E-3,-6.8957E-3,-2.0500E+0
1.1617E+0,7.0626E-3,000.0000E-3,-7.0628E-3,-2.1000E+0
1.1865E+0,7.2286E-3,000.0000E-3,-7.2288E-3,-2.1500E+0
