---
Reset failed. Something wrong, cell is possibly burnt out (i.e. too strong of a filament. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
43.0332E-3,688.5926E-9,000.0000E-3,-874.2334E-9,000.0000E-3
87.5753E-3,169.7103E-6,000.0000E-3,-169.8962E-6,-50.0000E-3
131.0071E-3,338.2823E-6,000.0000E-3,-338.4561E-6,-100.0000E-3
174.4464E-3,508.0379E-6,000.0000E-3,-508.2143E-6,-150.0000E-3
217.8800E-3,676.5713E-6,000.0000E-3,-676.7388E-6,-200.0000E-3
242.4086E-3,846.2544E-6,000.0000E-3,-846.4197E-6,-250.0000E-3
267.2451E-3,1.0147E-3,000.0000E-3,-1.0148E-3,-300.0000E-3
292.1092E-3,1.1843E-3,000.0000E-3,-1.1845E-3,-350.0000E-3
316.9476E-3,1.3528E-3,000.0000E-3,-1.3530E-3,-400.0000E-3
341.8013E-3,1.5213E-3,000.0000E-3,-1.5214E-3,-450.0000E-3
366.6673E-3,1.6909E-3,000.0000E-3,-1.6910E-3,-500.0000E-3
391.4933E-3,1.8592E-3,000.0000E-3,-1.8593E-3,-550.0000E-3
416.3336E-3,2.0287E-3,000.0000E-3,-2.0289E-3,-600.0000E-3
441.1834E-3,2.1969E-3,000.0000E-3,-2.1970E-3,-650.0000E-3
466.0419E-3,2.3652E-3,000.0000E-3,-2.3653E-3,-700.0000E-3
490.8907E-3,2.5347E-3,000.0000E-3,-2.5348E-3,-750.0000E-3
515.7492E-3,2.7027E-3,000.0000E-3,-2.7028E-3,-800.0000E-3
540.5961E-3,2.8720E-3,000.0000E-3,-2.8721E-3,-850.0000E-3
565.4498E-3,3.0400E-3,000.0000E-3,-3.0401E-3,-900.0000E-3
590.2824E-3,3.2080E-3,000.0000E-3,-3.2081E-3,-950.0000E-3
615.1571E-3,3.3770E-3,000.0000E-3,-3.3771E-3,-1.0000E+0
640.0021E-3,3.5449E-3,000.0000E-3,-3.5451E-3,-1.0500E+0
664.8472E-3,3.7139E-3,000.0000E-3,-3.7140E-3,-1.1000E+0
689.6846E-3,3.8815E-3,000.0000E-3,-3.8817E-3,-1.1500E+0
714.5231E-3,4.0493E-3,000.0000E-3,-4.0494E-3,-1.2000E+0
739.3862E-3,4.2180E-3,000.0000E-3,-4.2182E-3,-1.2500E+0
764.2370E-3,4.3855E-3,000.0000E-3,-4.3857E-3,-1.3000E+0
789.0859E-3,4.5542E-3,000.0000E-3,-4.5543E-3,-1.3500E+0
813.9243E-3,4.7217E-3,000.0000E-3,-4.7218E-3,-1.4000E+0
838.7627E-3,4.8891E-3,000.0000E-3,-4.8893E-3,-1.4500E+0
863.5820E-3,5.0575E-3,000.0000E-3,-5.0576E-3,-1.5000E+0
888.4395E-3,5.2248E-3,000.0000E-3,-5.2249E-3,-1.5500E+0
913.2969E-3,5.3930E-3,000.0000E-3,-5.3932E-3,-1.6000E+0
938.1468E-3,5.5600E-3,000.0000E-3,-5.5601E-3,-1.6500E+0
962.9918E-3,5.7269E-3,000.0000E-3,-5.7270E-3,-1.7000E+0
987.8331E-3,5.8948E-3,000.0000E-3,-5.8950E-3,-1.7500E+0
1.0126E+0,6.0615E-3,000.0000E-3,-6.0617E-3,-1.8000E+0
1.0375E+0,6.2291E-3,000.0000E-3,-6.2293E-3,-1.8500E+0
1.0623E+0,6.3957E-3,000.0000E-3,-6.3959E-3,-1.9000E+0
1.0871E+0,6.5621E-3,000.0000E-3,-6.5623E-3,-1.9500E+0
1.1120E+0,6.7294E-3,000.0000E-3,-6.7296E-3,-2.0000E+0
1.1368E+0,6.8955E-3,000.0000E-3,-6.8957E-3,-2.0500E+0
1.1617E+0,7.0626E-3,000.0000E-3,-7.0629E-3,-2.1000E+0
1.1865E+0,7.2287E-3,000.0000E-3,-7.2289E-3,-2.1500E+0
1.2114E+0,7.3955E-3,000.0000E-3,-7.3957E-3,-2.2000E+0
1.2362E+0,7.5613E-3,000.0000E-3,-7.5615E-3,-2.2500E+0
1.2610E+0,7.7267E-3,000.0000E-3,-7.7269E-3,-2.3000E+0
1.2859E+0,7.8929E-3,000.0000E-3,-7.8931E-3,-2.3500E+0
1.3108E+0,8.0583E-3,000.0000E-3,-8.0585E-3,-2.4000E+0
1.3356E+0,8.2243E-3,000.0000E-3,-8.2246E-3,-2.4500E+0
1.3604E+0,8.3893E-3,000.0000E-3,-8.3896E-3,-2.5000E+0
1.3853E+0,8.5541E-3,000.0000E-3,-8.5543E-3,-2.5500E+0
1.4101E+0,8.7200E-3,000.0000E-3,-8.7203E-3,-2.6000E+0
1.4350E+0,8.8846E-3,000.0000E-3,-8.8848E-3,-2.6500E+0
1.4598E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-2.7000E+0
1.4848E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-2.7500E+0
1.5098E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-2.8000E+0
1.5348E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-2.8500E+0
1.5597E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-2.9000E+0
1.5847E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-2.9500E+0
1.6097E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.0000E+0
1.6347E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.0500E+0
1.6597E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.1000E+0
1.6847E+0,8.9996E-3,000.0000E-3,-8.9998E-3,-3.1500E+0
1.7096E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.2000E+0
1.7346E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.2500E+0
1.7596E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.3000E+0
1.7846E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.3500E+0
1.8096E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.4000E+0
1.8345E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.4500E+0
1.8595E+0,8.9996E-3,000.0000E-3,-8.9998E-3,-3.5000E+0
1.8845E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.5500E+0
1.9095E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.6000E+0
1.9345E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.6500E+0
1.9594E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.7000E+0
1.9844E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.7500E+0
2.0094E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.8000E+0
2.0344E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.8500E+0
2.0593E+0,8.9995E-3,000.0000E-3,-8.9998E-3,-3.9000E+0
