---
Reset failed. A: Copper, B: Platinum
---
Time,BI,BV,AI,AV
43.0361E-3,743.4132E-9,000.0000E-3,-836.8307E-9,000.0000E-3
87.5687E-3,169.5976E-6,000.0000E-3,-169.6964E-6,-50.0000E-3
131.0376E-3,338.0942E-6,000.0000E-3,-338.1828E-6,-100.0000E-3
174.4683E-3,507.8010E-6,000.0000E-3,-507.8829E-6,-150.0000E-3
217.9181E-3,676.2820E-6,000.0000E-3,-676.3617E-6,-200.0000E-3
242.4553E-3,845.9117E-6,000.0000E-3,-845.9828E-6,-250.0000E-3
267.3166E-3,1.0143E-3,000.0000E-3,-1.0144E-3,-300.0000E-3
292.1645E-3,1.1839E-3,000.0000E-3,-1.1840E-3,-350.0000E-3
316.9962E-3,1.3524E-3,000.0000E-3,-1.3524E-3,-400.0000E-3
341.8337E-3,1.5208E-3,000.0000E-3,-1.5209E-3,-450.0000E-3
366.6702E-3,1.6904E-3,000.0000E-3,-1.6905E-3,-500.0000E-3
391.5238E-3,1.8587E-3,000.0000E-3,-1.8588E-3,-550.0000E-3
416.3755E-3,2.0283E-3,000.0000E-3,-2.0284E-3,-600.0000E-3
441.2359E-3,2.1964E-3,000.0000E-3,-2.1965E-3,-650.0000E-3
466.0619E-3,2.3648E-3,000.0000E-3,-2.3648E-3,-700.0000E-3
490.8831E-3,2.5343E-3,000.0000E-3,-2.5343E-3,-750.0000E-3
515.7177E-3,2.7023E-3,000.0000E-3,-2.7024E-3,-800.0000E-3
540.5465E-3,2.8716E-3,000.0000E-3,-2.8717E-3,-850.0000E-3
565.3831E-3,3.0397E-3,000.0000E-3,-3.0398E-3,-900.0000E-3
590.2310E-3,3.2077E-3,000.0000E-3,-3.2078E-3,-950.0000E-3
615.0913E-3,3.3762E-3,000.0000E-3,-3.3762E-3,-1.0000E+0
639.9202E-3,3.5442E-3,000.0000E-3,-3.5443E-3,-1.0500E+0
664.7605E-3,3.7133E-3,000.0000E-3,-3.7133E-3,-1.1000E+0
689.5998E-3,3.8810E-3,000.0000E-3,-3.8811E-3,-1.1500E+0
714.4258E-3,4.0488E-3,000.0000E-3,-4.0488E-3,-1.2000E+0
739.2547E-3,4.2175E-3,000.0000E-3,-4.2176E-3,-1.2500E+0
764.1150E-3,4.3849E-3,000.0000E-3,-4.3850E-3,-1.3000E+0
788.9639E-3,4.5535E-3,000.0000E-3,-4.5536E-3,-1.3500E+0
813.7823E-3,4.7211E-3,000.0000E-3,-4.7211E-3,-1.4000E+0
838.6321E-3,4.8885E-3,000.0000E-3,-4.8886E-3,-1.4500E+0
863.4600E-3,5.0569E-3,000.0000E-3,-5.0570E-3,-1.5000E+0
888.2965E-3,5.2243E-3,000.0000E-3,-5.2243E-3,-1.5500E+0
913.1368E-3,5.3926E-3,000.0000E-3,-5.3927E-3,-1.6000E+0
937.9933E-3,5.5598E-3,000.0000E-3,-5.5599E-3,-1.6500E+0
962.8222E-3,5.7267E-3,000.0000E-3,-5.7268E-3,-1.7000E+0
987.6587E-3,5.8950E-3,000.0000E-3,-5.8951E-3,-1.7500E+0
1.0124E+0,6.0623E-3,000.0000E-3,-6.0624E-3,-1.8000E+0
1.0373E+0,6.2304E-3,000.0000E-3,-6.2305E-3,-1.8500E+0
1.0621E+0,6.3971E-3,000.0000E-3,-6.3972E-3,-1.9000E+0
1.0869E+0,6.5633E-3,000.0000E-3,-6.5634E-3,-1.9500E+0
1.1118E+0,6.7311E-3,000.0000E-3,-6.7312E-3,-2.0000E+0
1.1366E+0,6.8974E-3,000.0000E-3,-6.8975E-3,-2.0500E+0
1.1615E+0,7.0639E-3,000.0000E-3,-7.0640E-3,-2.1000E+0
1.1863E+0,7.2299E-3,000.0000E-3,-7.2300E-3,-2.1500E+0
1.2111E+0,7.3963E-3,000.0000E-3,-7.3965E-3,-2.2000E+0
1.2360E+0,7.5619E-3,000.0000E-3,-7.5620E-3,-2.2500E+0
1.2608E+0,7.7277E-3,000.0000E-3,-7.7278E-3,-2.3000E+0
1.2856E+0,7.8947E-3,000.0000E-3,-7.8949E-3,-2.3500E+0
1.3105E+0,8.0602E-3,000.0000E-3,-8.0603E-3,-2.4000E+0
1.3353E+0,8.2258E-3,000.0000E-3,-8.2260E-3,-2.4500E+0
1.3602E+0,8.3912E-3,000.0000E-3,-8.3914E-3,-2.5000E+0
1.3850E+0,8.5554E-3,000.0000E-3,-8.5556E-3,-2.5500E+0
1.4099E+0,8.7209E-3,000.0000E-3,-8.7210E-3,-2.6000E+0
1.4347E+0,8.8859E-3,000.0000E-3,-8.8861E-3,-2.6500E+0
1.4595E+0,9.0463E-3,000.0000E-3,-9.0465E-3,-2.7000E+0
1.4844E+0,9.2070E-3,000.0000E-3,-9.2072E-3,-2.7500E+0
1.5092E+0,9.3705E-3,000.0000E-3,-9.3707E-3,-2.8000E+0
1.5341E+0,9.5368E-3,000.0000E-3,-9.5370E-3,-2.8500E+0
1.5589E+0,9.6964E-3,000.0000E-3,-9.6966E-3,-2.9000E+0
1.5838E+0,9.8588E-3,000.0000E-3,-9.8590E-3,-2.9500E+0
1.6086E+0,9.9995E-3,000.0000E-3,-9.9998E-3,-3.0000E+0
1.6336E+0,9.9995E-3,000.0000E-3,-9.9998E-3,-3.0500E+0
1.6586E+0,9.9995E-3,000.0000E-3,-9.9998E-3,-3.1000E+0
1.6836E+0,9.9995E-3,000.0000E-3,-9.9998E-3,-3.1500E+0
1.7085E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-3.2000E+0
1.7336E+0,9.9995E-3,000.0000E-3,-9.9998E-3,-3.2500E+0
1.7585E+0,9.9995E-3,000.0000E-3,-9.9998E-3,-3.3000E+0
1.7835E+0,9.9995E-3,000.0000E-3,-9.9998E-3,-3.3500E+0
1.8085E+0,9.9995E-3,000.0000E-3,-9.9998E-3,-3.4000E+0
1.8335E+0,9.9995E-3,000.0000E-3,-9.9998E-3,-3.4500E+0
1.8584E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-3.5000E+0
1.8834E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-3.5500E+0
1.9084E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-3.6000E+0
1.9334E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-3.6500E+0
1.9584E+0,9.9984E-3,000.0000E-3,-9.9984E-3,-3.7000E+0
1.9834E+0,9.9996E-3,000.0000E-3,-9.9998E-3,-3.7500E+0
2.0084E+0,9.9996E-3,000.0000E-3,-9.9998E-3,-3.8000E+0
2.0334E+0,9.9996E-3,000.0000E-3,-9.9998E-3,-3.8500E+0
2.0583E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-3.9000E+0
2.0833E+0,9.9995E-3,000.0000E-3,-9.9998E-3,-3.9500E+0
2.1083E+0,9.9995E-3,000.0000E-3,-9.9998E-3,-4.0000E+0
2.1332E+0,9.9995E-3,000.0000E-3,-9.9998E-3,-4.0500E+0
2.1582E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-4.1000E+0
2.1832E+0,9.9996E-3,000.0000E-3,-9.9998E-3,-4.1500E+0
2.2082E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-4.2000E+0
2.2332E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-4.2500E+0
2.2582E+0,9.9995E-3,000.0000E-3,-9.9998E-3,-4.3000E+0
2.2832E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-4.3500E+0
2.3082E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-4.4000E+0
2.3331E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-4.4500E+0
2.3581E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-4.5000E+0
2.3831E+0,9.9995E-3,000.0000E-3,-9.9998E-3,-4.5500E+0
2.4081E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-4.6000E+0
2.4331E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-4.6500E+0
2.4580E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-4.7000E+0
2.4830E+0,9.9995E-3,000.0000E-3,-9.9998E-3,-4.7500E+0
2.5080E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-4.8000E+0
2.5330E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-4.8500E+0
2.5580E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-4.9000E+0
2.5829E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-4.9500E+0
2.6079E+0,9.9995E-3,000.0000E-3,-9.9997E-3,-5.0000E+0
