---
Failed reset again. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
42.8435E-3,772.5858E-9,000.0000E-3,-858.5734E-9,000.0000E-3
87.3571E-3,167.5555E-6,000.0000E-3,-167.6309E-6,-50.0000E-3
130.8126E-3,333.7302E-6,000.0000E-3,-333.8065E-6,-100.0000E-3
174.2643E-3,501.1534E-6,000.0000E-3,-501.2265E-6,-150.0000E-3
217.7208E-3,667.3211E-6,000.0000E-3,-667.3875E-6,-200.0000E-3
242.2408E-3,834.6725E-6,000.0000E-3,-834.7342E-6,-250.0000E-3
267.0745E-3,1.0008E-3,000.0000E-3,-1.0008E-3,-300.0000E-3
291.9072E-3,1.1681E-3,000.0000E-3,-1.1681E-3,-350.0000E-3
316.7665E-3,1.3342E-3,000.0000E-3,-1.3342E-3,-400.0000E-3
341.6221E-3,1.5003E-3,000.0000E-3,-1.5003E-3,-450.0000E-3
366.4834E-3,1.6676E-3,000.0000E-3,-1.6676E-3,-500.0000E-3
391.3208E-3,1.8336E-3,000.0000E-3,-1.8336E-3,-550.0000E-3
416.1668E-3,2.0008E-3,000.0000E-3,-2.0009E-3,-600.0000E-3
441.0033E-3,2.1667E-3,000.0000E-3,-2.1667E-3,-650.0000E-3
465.8550E-3,2.3327E-3,000.0000E-3,-2.3327E-3,-700.0000E-3
490.7058E-3,2.4999E-3,000.0000E-3,-2.4999E-3,-750.0000E-3
515.5347E-3,2.6657E-3,000.0000E-3,-2.6657E-3,-800.0000E-3
540.3702E-3,2.8327E-3,000.0000E-3,-2.8328E-3,-850.0000E-3
565.1838E-3,2.9986E-3,000.0000E-3,-2.9986E-3,-900.0000E-3
590.0185E-3,3.1644E-3,000.0000E-3,-3.1644E-3,-950.0000E-3
614.8444E-3,3.3311E-3,000.0000E-3,-3.3312E-3,-1.0000E+0
639.6895E-3,3.4970E-3,000.0000E-3,-3.4970E-3,-1.0500E+0
664.5279E-3,3.6638E-3,000.0000E-3,-3.6638E-3,-1.1000E+0
689.3749E-3,3.8292E-3,000.0000E-3,-3.8293E-3,-1.1500E+0
714.2056E-3,3.9948E-3,000.0000E-3,-3.9949E-3,-1.2000E+0
739.0345E-3,4.1614E-3,000.0000E-3,-4.1614E-3,-1.2500E+0
763.8634E-3,4.3268E-3,000.0000E-3,-4.3269E-3,-1.3000E+0
788.6913E-3,4.4935E-3,000.0000E-3,-4.4935E-3,-1.3500E+0
813.5373E-3,4.6589E-3,000.0000E-3,-4.6589E-3,-1.4000E+0
838.3576E-3,4.8243E-3,000.0000E-3,-4.8243E-3,-1.4500E+0
863.2217E-3,4.9906E-3,000.0000E-3,-4.9907E-3,-1.5000E+0
888.0487E-3,5.1559E-3,000.0000E-3,-5.1560E-3,-1.5500E+0
912.8976E-3,5.3222E-3,000.0000E-3,-5.3222E-3,-1.6000E+0
937.7417E-3,5.4872E-3,000.0000E-3,-5.4873E-3,-1.6500E+0
962.5763E-3,5.6523E-3,000.0000E-3,-5.6524E-3,-1.7000E+0
987.4280E-3,5.8183E-3,000.0000E-3,-5.8184E-3,-1.7500E+0
1.0122E+0,5.9832E-3,000.0000E-3,-5.9833E-3,-1.8000E+0
1.0371E+0,6.1490E-3,000.0000E-3,-6.1491E-3,-1.8500E+0
1.0619E+0,6.3138E-3,000.0000E-3,-6.3138E-3,-1.9000E+0
1.0868E+0,6.4784E-3,000.0000E-3,-6.4785E-3,-1.9500E+0
1.1116E+0,6.6439E-3,000.0000E-3,-6.6440E-3,-2.0000E+0
1.1364E+0,6.8085E-3,000.0000E-3,-6.8086E-3,-2.0500E+0
1.1613E+0,6.9740E-3,000.0000E-3,-6.9741E-3,-2.1000E+0
1.1862E+0,7.1384E-3,000.0000E-3,-7.1385E-3,-2.1500E+0
1.2110E+0,7.3035E-3,000.0000E-3,-7.3036E-3,-2.2000E+0
1.2358E+0,7.4677E-3,000.0000E-3,-7.4678E-3,-2.2500E+0
1.2607E+0,7.6319E-3,000.0000E-3,-7.6320E-3,-2.3000E+0
1.2855E+0,7.7968E-3,000.0000E-3,-7.7969E-3,-2.3500E+0
1.3104E+0,7.9607E-3,000.0000E-3,-7.9609E-3,-2.4000E+0
1.3352E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.4500E+0
1.3602E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.5000E+0
1.3852E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.5500E+0
1.4102E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.6000E+0
1.4352E+0,7.9997E-3,000.0000E-3,-7.9998E-3,-2.6500E+0
1.4602E+0,7.9997E-3,000.0000E-3,-7.9998E-3,-2.7000E+0
1.4851E+0,7.9997E-3,000.0000E-3,-7.9998E-3,-2.7500E+0
1.5101E+0,7.9997E-3,000.0000E-3,-7.9998E-3,-2.8000E+0
1.5351E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.8500E+0
1.5601E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.9000E+0
1.5851E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.9500E+0
1.6100E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.0000E+0
1.6350E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.0500E+0
1.6600E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.1000E+0
1.6850E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.1500E+0
1.7100E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.2000E+0
1.7350E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.2500E+0
1.7600E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.3000E+0
1.7849E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.3500E+0
1.8099E+0,7.9997E-3,000.0000E-3,-7.9998E-3,-3.4000E+0
1.8349E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.4500E+0
1.8599E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.5000E+0
1.8849E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.5500E+0
1.9099E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.6000E+0
1.9349E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.6500E+0
1.9598E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.7000E+0
1.9848E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.7500E+0
2.0098E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.8000E+0
2.0347E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.8500E+0
2.0597E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.9000E+0
2.0847E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.9500E+0
2.1097E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-4.0000E+0
2.1347E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-4.0500E+0
2.1597E+0,7.9997E-3,000.0000E-3,-7.9998E-3,-4.1000E+0
2.1847E+0,7.9997E-3,000.0000E-3,-7.9998E-3,-4.1500E+0
2.2096E+0,7.9997E-3,000.0000E-3,-7.9998E-3,-4.2000E+0
2.2346E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-4.2500E+0
2.2596E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-4.3000E+0
2.2846E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-4.3500E+0
2.3096E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-4.4000E+0
2.3346E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-4.4500E+0
2.3595E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-4.5000E+0
2.3845E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-4.5500E+0
2.4095E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-4.6000E+0
2.4345E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-4.6500E+0
2.4595E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-4.7000E+0
2.4845E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-4.7500E+0
2.5094E+0,7.9997E-3,000.0000E-3,-7.9998E-3,-4.8000E+0
2.5344E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-4.8500E+0
2.5593E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-4.9000E+0
2.5843E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-4.9500E+0
2.6094E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-5.0000E+0
