---
Reset fail. Cell damage confirmed. A: Copper, B: Platinum. 
---
Time,BI,BV,AI,AV
43.0199E-3,401.8511E-9,000.0000E-3,-1.1147E-6,000.0000E-3
88.5685E-3,168.0206E-6,000.0000E-3,-168.7192E-6,-50.0000E-3
133.0507E-3,334.2337E-6,000.0000E-3,-334.8962E-6,-100.0000E-3
177.4984E-3,501.6318E-6,000.0000E-3,-502.3897E-6,-150.0000E-3
221.9891E-3,667.8348E-6,000.0000E-3,-668.5364E-6,-200.0000E-3
265.4474E-3,835.1978E-6,000.0000E-3,-835.8887E-6,-250.0000E-3
308.9192E-3,1.0013E-3,000.0000E-3,-1.0020E-3,-300.0000E-3
352.3728E-3,1.1686E-3,000.0000E-3,-1.1693E-3,-350.0000E-3
395.8617E-3,1.3347E-3,000.0000E-3,-1.3354E-3,-400.0000E-3
439.3486E-3,1.5009E-3,000.0000E-3,-1.5015E-3,-450.0000E-3
482.8251E-3,1.6682E-3,000.0000E-3,-1.6688E-3,-500.0000E-3
526.2721E-3,1.8342E-3,000.0000E-3,-1.8348E-3,-550.0000E-3
569.7190E-3,2.0015E-3,000.0000E-3,-2.0021E-3,-600.0000E-3
613.1640E-3,2.1673E-3,000.0000E-3,-2.1679E-3,-650.0000E-3
656.6052E-3,2.3334E-3,000.0000E-3,-2.3339E-3,-700.0000E-3
700.0903E-3,2.5005E-3,000.0000E-3,-2.5011E-3,-750.0000E-3
743.5525E-3,2.6663E-3,000.0000E-3,-2.6669E-3,-800.0000E-3
787.0137E-3,2.8334E-3,000.0000E-3,-2.8339E-3,-850.0000E-3
830.4921E-3,2.9993E-3,000.0000E-3,-2.9998E-3,-900.0000E-3
873.9810E-3,3.1651E-3,000.0000E-3,-3.1656E-3,-950.0000E-3
917.4356E-3,3.3319E-3,000.0000E-3,-3.3324E-3,-1.0000E+0
960.8939E-3,3.4977E-3,000.0000E-3,-3.4982E-3,-1.0500E+0
1.0043E+0,3.6645E-3,000.0000E-3,-3.6649E-3,-1.1000E+0
1.0477E+0,3.8300E-3,000.0000E-3,-3.8304E-3,-1.1500E+0
1.0912E+0,3.9956E-3,000.0000E-3,-3.9960E-3,-1.2000E+0
1.1347E+0,4.1621E-3,000.0000E-3,-4.1626E-3,-1.2500E+0
1.1782E+0,4.3276E-3,000.0000E-3,-4.3280E-3,-1.3000E+0
1.2216E+0,4.4942E-3,000.0000E-3,-4.4947E-3,-1.3500E+0
1.2651E+0,4.6596E-3,000.0000E-3,-4.6601E-3,-1.4000E+0
1.3085E+0,4.8251E-3,000.0000E-3,-4.8255E-3,-1.4500E+0
1.3520E+0,4.9914E-3,000.0000E-3,-4.9918E-3,-1.5000E+0
1.3954E+0,5.1567E-3,000.0000E-3,-5.1571E-3,-1.5500E+0
1.4389E+0,5.3229E-3,000.0000E-3,-5.3233E-3,-1.6000E+0
1.4824E+0,5.4880E-3,000.0000E-3,-5.4884E-3,-1.6500E+0
1.5259E+0,5.6531E-3,000.0000E-3,-5.6534E-3,-1.7000E+0
1.5693E+0,5.8191E-3,000.0000E-3,-5.8195E-3,-1.7500E+0
1.6128E+0,5.9841E-3,000.0000E-3,-5.9844E-3,-1.8000E+0
