---
Reset at -1.9 V or -2.75 V, hard to say. Asymptotic towards reset condition in between those two points.
---
Time,BI,BV,AI,AV
43.0599E-3,193.6712E-9,000.0000E-3,-371.6243E-9,000.0000E-3
88.5933E-3,62.8364E-6,000.0000E-3,-63.0095E-6,-50.0000E-3
132.1108E-3,125.0949E-6,000.0000E-3,-125.2651E-6,-100.0000E-3
175.5597E-3,187.7880E-6,000.0000E-3,-187.9551E-6,-150.0000E-3
219.0705E-3,249.9912E-6,000.0000E-3,-250.1581E-6,-200.0000E-3
262.5346E-3,312.5957E-6,000.0000E-3,-312.7535E-6,-250.0000E-3
305.9930E-3,374.7325E-6,000.0000E-3,-374.8989E-6,-300.0000E-3
349.4704E-3,437.2319E-6,000.0000E-3,-437.4003E-6,-350.0000E-3
392.9211E-3,499.2394E-6,000.0000E-3,-499.4031E-6,-400.0000E-3
436.4024E-3,561.1976E-6,000.0000E-3,-561.3619E-6,-450.0000E-3
479.8646E-3,623.5934E-6,000.0000E-3,-623.7601E-6,-500.0000E-3
523.3229E-3,685.4238E-6,000.0000E-3,-685.5829E-6,-550.0000E-3
566.7832E-3,747.5294E-6,000.0000E-3,-747.6787E-6,-600.0000E-3
591.3262E-3,809.1808E-6,000.0000E-3,-809.3312E-6,-650.0000E-3
616.1712E-3,871.1355E-6,000.0000E-3,-871.2919E-6,-700.0000E-3
641.0258E-3,933.4508E-6,000.0000E-3,-933.6017E-6,-750.0000E-3
665.8795E-3,988.5489E-6,000.0000E-3,-988.6904E-6,-800.0000E-3
690.7522E-3,1.0509E-3,000.0000E-3,-1.0510E-3,-850.0000E-3
715.6001E-3,1.1164E-3,000.0000E-3,-1.1165E-3,-900.0000E-3
740.4347E-3,1.0381E-3,000.0000E-3,-1.0382E-3,-950.0000E-3
765.3017E-3,1.0485E-3,000.0000E-3,-1.0487E-3,-1.0000E+0
790.1334E-3,1.2387E-3,000.0000E-3,-1.2388E-3,-1.0500E+0
815.0119E-3,1.2881E-3,000.0000E-3,-1.2882E-3,-1.1000E+0
