---
Set at 1.7 V
---
Time,BI,BV,AI,AV
43.0008E-3,-493.0181E-12,000.0000E-3,-885.2483E-12,000.0000E-3
87.4714E-3,-603.7597E-12,000.0000E-3,-1.4266E-9,50.0000E-3
131.9640E-3,-498.0514E-12,000.0000E-3,-1.6391E-9,100.0000E-3
176.4671E-3,-578.5914E-12,000.0000E-3,-1.8010E-9,150.0000E-3
220.9577E-3,-513.1522E-12,000.0000E-3,-1.6745E-9,200.0000E-3
265.4817E-3,-563.4906E-12,000.0000E-3,-1.7251E-9,250.0000E-3
309.9895E-3,-608.7930E-12,000.0000E-3,-1.7960E-9,300.0000E-3
354.4897E-3,-644.0297E-12,000.0000E-3,-1.6644E-9,350.0000E-3
399.0033E-3,-603.7597E-12,000.0000E-3,-1.6644E-9,400.0000E-3
443.4891E-3,-623.8938E-12,000.0000E-3,-1.6695E-9,450.0000E-3
488.0170E-3,-714.5005E-12,000.0000E-3,-1.5278E-9,500.0000E-3
532.5209E-3,-709.4672E-12,000.0000E-3,-1.5278E-9,550.0000E-3
577.0164E-3,-724.5688E-12,000.0000E-3,-1.5632E-9,600.0000E-3
621.5308E-3,-714.5005E-12,000.0000E-3,-1.4823E-9,650.0000E-3
666.0139E-3,-769.8722E-12,000.0000E-3,-1.5227E-9,700.0000E-3
710.5417E-3,-749.7363E-12,000.0000E-3,-1.4873E-9,750.0000E-3
755.0505E-3,-820.2088E-12,000.0000E-3,-1.3760E-9,800.0000E-3
799.5468E-3,-875.5787E-12,000.0000E-3,-1.3811E-9,850.0000E-3
844.0632E-3,-784.9730E-12,000.0000E-3,-1.4013E-9,900.0000E-3
888.5453E-3,-885.6462E-12,000.0000E-3,-1.3558E-9,950.0000E-3
933.0607E-3,-1.0114E-9,000.0000E-3,-1.2697E-9,1.0000E+0
977.5542E-3,-941.0179E-12,000.0000E-3,-1.4317E-9,1.0500E+0
1.0220E+0,-1.0567E-9,000.0000E-3,-1.3760E-9,1.1000E+0
1.0665E+0,-1.1222E-9,000.0000E-3,-1.2748E-9,1.1500E+0
1.1110E+0,-1.2229E-9,000.0000E-3,-1.3052E-9,1.2000E+0
1.1555E+0,-1.3135E-9,000.0000E-3,-1.2799E-9,1.2500E+0
1.1999E+0,-1.4141E-9,000.0000E-3,-1.1078E-9,1.3000E+0
1.2444E+0,-1.6759E-9,000.0000E-3,-718.2761E-12,1.3500E+0
1.2889E+0,-1.5349E-9,000.0000E-3,-976.3239E-12,1.4000E+0
1.3335E+0,-6.0703E-9,000.0000E-3,3.5572E-9,1.4500E+0
