---
Failed reset.
---
Time,BI,BV,AI,AV
43.0361E-3,205.2378E-9,000.0000E-3,-349.3789E-9,000.0000E-3
88.5828E-3,57.1915E-6,000.0000E-3,-57.3303E-6,-50.0000E-3
132.0594E-3,113.9897E-6,000.0000E-3,-114.1312E-6,-100.0000E-3
175.5244E-3,171.2979E-6,000.0000E-3,-171.4560E-6,-150.0000E-3
218.9971E-3,228.3687E-6,000.0000E-3,-228.5087E-6,-200.0000E-3
262.4450E-3,286.0829E-6,000.0000E-3,-286.2168E-6,-250.0000E-3
305.9119E-3,343.5923E-6,000.0000E-3,-343.7301E-6,-300.0000E-3
349.3980E-3,401.7319E-6,000.0000E-3,-401.8564E-6,-350.0000E-3
392.8944E-3,459.6784E-6,000.0000E-3,-459.8087E-6,-400.0000E-3
436.3424E-3,518.0369E-6,000.0000E-3,-518.1634E-6,-450.0000E-3
479.8141E-3,577.2922E-6,000.0000E-3,-577.4187E-6,-500.0000E-3
523.2601E-3,636.2069E-6,000.0000E-3,-636.3347E-6,-550.0000E-3
566.7185E-3,695.6724E-6,000.0000E-3,-695.7928E-6,-600.0000E-3
610.1844E-3,755.1576E-6,000.0000E-3,-755.2762E-6,-650.0000E-3
634.7350E-3,815.2865E-6,000.0000E-3,-815.4041E-6,-700.0000E-3
659.5677E-3,875.8833E-6,000.0000E-3,-876.0060E-6,-750.0000E-3
684.4203E-3,936.6802E-6,000.0000E-3,-936.8020E-6,-800.0000E-3
709.2502E-3,998.1119E-6,000.0000E-3,-998.2300E-6,-850.0000E-3
734.1086E-3,1.0601E-3,000.0000E-3,-1.0602E-3,-900.0000E-3
758.9679E-3,1.1225E-3,000.0000E-3,-1.1226E-3,-950.0000E-3
783.8244E-3,1.1853E-3,000.0000E-3,-1.1854E-3,-1.0000E+0
808.6466E-3,1.2474E-3,000.0000E-3,-1.2475E-3,-1.0500E+0
833.4936E-3,1.3108E-3,000.0000E-3,-1.3109E-3,-1.1000E+0
858.3558E-3,1.3738E-3,000.0000E-3,-1.3739E-3,-1.1500E+0
883.1924E-3,1.4382E-3,000.0000E-3,-1.4383E-3,-1.2000E+0
908.0631E-3,1.5032E-3,000.0000E-3,-1.5033E-3,-1.2500E+0
932.9168E-3,1.5667E-3,000.0000E-3,-1.5668E-3,-1.3000E+0
957.7666E-3,1.6327E-3,000.0000E-3,-1.6328E-3,-1.3500E+0
982.5764E-3,1.6974E-3,000.0000E-3,-1.6975E-3,-1.4000E+0
1.0074E+0,1.7617E-3,000.0000E-3,-1.7618E-3,-1.4500E+0
1.0322E+0,1.8269E-3,000.0000E-3,-1.8270E-3,-1.5000E+0
1.0571E+0,1.8924E-3,000.0000E-3,-1.8925E-3,-1.5500E+0
1.0820E+0,1.9586E-3,000.0000E-3,-1.9587E-3,-1.6000E+0
1.1068E+0,2.0250E-3,000.0000E-3,-2.0251E-3,-1.6500E+0
1.1316E+0,2.0912E-3,000.0000E-3,-2.0913E-3,-1.7000E+0
1.1565E+0,2.1584E-3,000.0000E-3,-2.1585E-3,-1.7500E+0
1.1814E+0,2.2260E-3,000.0000E-3,-2.2261E-3,-1.8000E+0
1.2062E+0,2.2942E-3,000.0000E-3,-2.2943E-3,-1.8500E+0
1.2311E+0,2.3638E-3,000.0000E-3,-2.3639E-3,-1.9000E+0
1.2559E+0,2.4337E-3,000.0000E-3,-2.4338E-3,-1.9500E+0
1.2807E+0,2.5053E-3,000.0000E-3,-2.5054E-3,-2.0000E+0
1.3056E+0,2.5758E-3,000.0000E-3,-2.5759E-3,-2.0500E+0
1.3304E+0,2.6469E-3,000.0000E-3,-2.6470E-3,-2.1000E+0
1.3553E+0,2.7168E-3,000.0000E-3,-2.7169E-3,-2.1500E+0
1.3801E+0,2.7841E-3,000.0000E-3,-2.7841E-3,-2.2000E+0
1.4050E+0,2.8553E-3,000.0000E-3,-2.8553E-3,-2.2500E+0
1.4298E+0,2.9238E-3,000.0000E-3,-2.9239E-3,-2.3000E+0
1.4547E+0,2.9938E-3,000.0000E-3,-2.9939E-3,-2.3500E+0
1.4795E+0,3.0623E-3,000.0000E-3,-3.0624E-3,-2.4000E+0
