---
Form at 3.5 V
---
Time,BI,BV,AI,AV
42.9846E-3,-518.1873E-12,000.0000E-3,-1.1331E-9,000.0000E-3
87.4581E-3,-477.9173E-12,000.0000E-3,-1.5025E-9,50.0000E-3
131.9459E-3,-518.1873E-12,000.0000E-3,-1.6543E-9,100.0000E-3
176.4595E-3,-503.0856E-12,000.0000E-3,-1.6037E-9,150.0000E-3
220.9453E-3,-523.2206E-12,000.0000E-3,-1.6745E-9,200.0000E-3
265.4608E-3,-513.1522E-12,000.0000E-3,-1.5632E-9,250.0000E-3
309.9648E-3,-518.1873E-12,000.0000E-3,-1.5531E-9,300.0000E-3
354.4640E-3,-482.9506E-12,000.0000E-3,-1.4924E-9,350.0000E-3
398.9661E-3,-548.3889E-12,000.0000E-3,-1.5328E-9,400.0000E-3
443.4567E-3,-513.1522E-12,000.0000E-3,-1.4873E-9,450.0000E-3
487.9445E-3,-457.7823E-12,000.0000E-3,-1.6897E-9,500.0000E-3
532.4352E-3,-487.9848E-12,000.0000E-3,-1.7403E-9,550.0000E-3
576.9382E-3,-553.4222E-12,000.0000E-3,-1.8111E-9,600.0000E-3
621.4346E-3,-457.7823E-12,000.0000E-3,-1.9123E-9,650.0000E-3
665.9481E-3,-487.9848E-12,000.0000E-3,-1.9073E-9,700.0000E-3
710.4616E-3,-523.2206E-12,000.0000E-3,-1.6695E-9,750.0000E-3
754.9608E-3,-482.9506E-12,000.0000E-3,-1.5784E-9,800.0000E-3
799.4601E-3,-553.4222E-12,000.0000E-3,-1.5683E-9,850.0000E-3
843.9393E-3,-543.3547E-12,000.0000E-3,-1.5278E-9,900.0000E-3
888.4385E-3,-543.3547E-12,000.0000E-3,-1.4721E-9,950.0000E-3
932.9454E-3,-543.3547E-12,000.0000E-3,-1.5278E-9,1.0000E+0
977.4513E-3,-493.0181E-12,000.0000E-3,-1.6695E-9,1.0500E+0
1.0219E+0,-593.6913E-12,000.0000E-3,-1.8972E-9,1.1000E+0
1.0664E+0,-523.2206E-12,000.0000E-3,-1.8668E-9,1.1500E+0
1.1109E+0,-553.4222E-12,000.0000E-3,-1.8314E-9,1.2000E+0
1.1554E+0,-477.9173E-12,000.0000E-3,-1.7150E-9,1.2500E+0
1.1999E+0,-498.0514E-12,000.0000E-3,-1.6796E-9,1.3000E+0
1.2444E+0,-533.2881E-12,000.0000E-3,-1.6189E-9,1.3500E+0
1.2889E+0,-528.2539E-12,000.0000E-3,-1.4974E-9,1.4000E+0
1.3334E+0,-528.2539E-12,000.0000E-3,-1.4772E-9,1.4500E+0
1.3779E+0,-533.2881E-12,000.0000E-3,-1.5834E-9,1.5000E+0
1.4224E+0,-588.6580E-12,000.0000E-3,-1.6644E-9,1.5500E+0
1.4669E+0,-538.3214E-12,000.0000E-3,-1.8719E-9,1.6000E+0
1.5114E+0,-548.3889E-12,000.0000E-3,-1.8516E-9,1.6500E+0
1.5559E+0,-508.1189E-12,000.0000E-3,-1.7504E-9,1.7000E+0
1.6004E+0,-588.6580E-12,000.0000E-3,-1.7302E-9,1.7500E+0
1.6449E+0,-573.5572E-12,000.0000E-3,-1.7808E-9,1.8000E+0
1.6894E+0,-628.9280E-12,000.0000E-3,-1.6543E-9,1.8500E+0
1.7339E+0,-679.2646E-12,000.0000E-3,-1.6239E-9,1.9000E+0
1.7784E+0,-633.9613E-12,000.0000E-3,-1.6391E-9,1.9500E+0
1.8229E+0,-719.5338E-12,000.0000E-3,-1.4823E-9,2.0000E+0
1.8674E+0,-633.9613E-12,000.0000E-3,-1.3912E-9,2.0500E+0
1.9119E+0,-669.1971E-12,000.0000E-3,-1.4468E-9,2.1000E+0
1.9564E+0,-618.8605E-12,000.0000E-3,-1.5683E-9,2.1500E+0
2.0009E+0,-659.1305E-12,000.0000E-3,-1.6745E-9,2.2000E+0
2.0454E+0,-674.2313E-12,000.0000E-3,-1.7656E-9,2.2500E+0
2.0899E+0,-669.1971E-12,000.0000E-3,-1.7858E-9,2.3000E+0
2.1344E+0,-567.8262E-9,000.0000E-3,565.3736E-9,2.3500E+0
2.1789E+0,-21.0909E-9,000.0000E-3,18.6255E-9,2.4000E+0
2.2234E+0,-13.8574E-9,000.0000E-3,11.4859E-9,2.4500E+0
2.2679E+0,-11.7785E-9,000.0000E-3,9.5378E-9,2.5000E+0
2.3124E+0,-15.0303E-9,000.0000E-3,12.9432E-9,2.5500E+0
2.3569E+0,-19.0623E-9,000.0000E-3,17.0468E-9,2.6000E+0
2.4014E+0,-218.3868E-9,000.0000E-3,216.3381E-9,2.6500E+0
2.4458E+0,-294.1591E-9,000.0000E-3,291.9844E-9,2.7000E+0
2.4903E+0,-270.6215E-9,000.0000E-3,268.3696E-9,2.7500E+0
2.5348E+0,-313.3375E-9,000.0000E-3,311.0098E-9,2.8000E+0
2.5792E+0,-421.3657E-9,000.0000E-3,418.9487E-9,2.8500E+0
2.6237E+0,-388.8631E-9,000.0000E-3,386.5751E-9,2.9000E+0
2.6681E+0,-406.6472E-9,000.0000E-3,404.4621E-9,2.9500E+0
2.7126E+0,-415.6474E-9,000.0000E-3,413.6560E-9,3.0000E+0
2.7570E+0,-478.6895E-9,000.0000E-3,476.6322E-9,3.0500E+0
2.8015E+0,-490.2720E-9,000.0000E-3,488.1284E-9,3.1000E+0
2.8460E+0,-530.0081E-9,000.0000E-3,527.8642E-9,3.1500E+0
2.8895E+0,-1.8240E-6,000.0000E-3,1.8215E-6,3.2000E+0
2.9329E+0,-2.1340E-6,000.0000E-3,2.1319E-6,3.2500E+0
2.9764E+0,-2.6239E-6,000.0000E-3,2.6217E-6,3.3000E+0
3.0199E+0,-158.4757E-9,000.0000E-3,158.1639E-9,3.3500E+0
3.0643E+0,-519.4474E-9,000.0000E-3,515.0220E-9,3.4000E+0
3.0889E+0,-14.3710E-6,000.0000E-3,14.4030E-6,3.4500E+0
3.1139E+0,-19.9733E-6,000.0000E-3,19.9982E-6,3.5000E+0
3.1388E+0,-19.9737E-6,000.0000E-3,19.9977E-6,3.5500E+0
3.1638E+0,-19.9741E-6,000.0000E-3,19.9973E-6,3.6000E+0
3.1888E+0,-19.9745E-6,000.0000E-3,19.9968E-6,3.6500E+0
3.2137E+0,-19.9705E-6,000.0000E-3,19.9473E-6,3.7000E+0
3.2387E+0,-19.9706E-6,000.0000E-3,19.9530E-6,3.7500E+0
3.2637E+0,-19.9706E-6,000.0000E-3,19.9571E-6,3.8000E+0
3.2887E+0,-19.9705E-6,000.0000E-3,19.9600E-6,3.8500E+0
3.3137E+0,-19.9706E-6,000.0000E-3,19.9618E-6,3.9000E+0
3.3386E+0,-19.9706E-6,000.0000E-3,19.9631E-6,3.9500E+0
3.3636E+0,-19.9706E-6,000.0000E-3,19.9641E-6,4.0000E+0
3.3886E+0,-19.9706E-6,000.0000E-3,19.9648E-6,4.0500E+0
