---
Failed reset
---
Time,BI,BV,AI,AV
42.9894E-3,292.2534E-9,000.0000E-3,-455.5600E-9,000.0000E-3
87.5153E-3,86.3866E-6,000.0000E-3,-86.5499E-6,-50.0000E-3
130.9718E-3,171.9042E-6,000.0000E-3,-172.0776E-6,-100.0000E-3
174.4569E-3,258.0777E-6,000.0000E-3,-258.2276E-6,-150.0000E-3
217.9314E-3,343.5781E-6,000.0000E-3,-343.7299E-6,-200.0000E-3
261.3994E-3,429.6363E-6,000.0000E-3,-429.7803E-6,-250.0000E-3
304.8444E-3,515.0814E-6,000.0000E-3,-515.2275E-6,-300.0000E-3
348.3256E-3,601.1577E-6,000.0000E-3,-601.3002E-6,-350.0000E-3
391.7678E-3,686.4796E-6,000.0000E-3,-686.6215E-6,-400.0000E-3
435.2281E-3,771.8639E-6,000.0000E-3,-772.0055E-6,-450.0000E-3
459.7691E-3,857.8557E-6,000.0000E-3,-857.9962E-6,-500.0000E-3
484.6027E-3,943.0649E-6,000.0000E-3,-943.1962E-6,-550.0000E-3
509.4402E-3,1.0288E-3,000.0000E-3,-1.0289E-3,-600.0000E-3
534.2824E-3,1.1139E-3,000.0000E-3,-1.1140E-3,-650.0000E-3
559.1018E-3,1.1992E-3,000.0000E-3,-1.1993E-3,-700.0000E-3
583.9573E-3,1.2850E-3,000.0000E-3,-1.2852E-3,-750.0000E-3
608.7776E-3,1.3701E-3,000.0000E-3,-1.3702E-3,-800.0000E-3
633.6293E-3,1.4560E-3,000.0000E-3,-1.4561E-3,-850.0000E-3
658.4601E-3,1.5408E-3,000.0000E-3,-1.5409E-3,-900.0000E-3
683.3071E-3,1.6256E-3,000.0000E-3,-1.6257E-3,-950.0000E-3
708.1435E-3,1.7111E-3,000.0000E-3,-1.7112E-3,-1.0000E+0
732.9639E-3,1.7954E-3,000.0000E-3,-1.7955E-3,-1.0500E+0
757.8127E-3,1.8812E-3,000.0000E-3,-1.8813E-3,-1.1000E+0
782.6559E-3,1.9643E-3,000.0000E-3,-1.9645E-3,-1.1500E+0
807.4971E-3,2.0480E-3,000.0000E-3,-2.0481E-3,-1.2000E+0
832.3403E-3,2.1326E-3,000.0000E-3,-2.1327E-3,-1.2500E+0
857.1911E-3,2.2145E-3,000.0000E-3,-2.2146E-3,-1.3000E+0
882.0276E-3,2.2952E-3,000.0000E-3,-2.2953E-3,-1.3500E+0
906.8831E-3,2.3736E-3,000.0000E-3,-2.3737E-3,-1.4000E+0
931.7148E-3,2.4542E-3,000.0000E-3,-2.4544E-3,-1.4500E+0
956.5666E-3,2.5330E-3,000.0000E-3,-2.5331E-3,-1.5000E+0
981.4031E-3,2.6049E-3,000.0000E-3,-2.6050E-3,-1.5500E+0
1.0062E+0,1.7879E-3,000.0000E-3,-1.7873E-3,-1.6000E+0
1.0310E+0,936.4361E-6,000.0000E-3,-936.6001E-6,-1.6500E+0
1.0758E+0,29.4190E-6,000.0000E-3,-29.5711E-6,-1.7000E+0
1.1203E+0,24.6191E-6,000.0000E-3,-24.7848E-6,-1.7500E+0
1.1648E+0,25.4842E-6,000.0000E-3,-25.6929E-6,-1.8000E+0
1.2092E+0,19.2421E-6,000.0000E-3,-19.4048E-6,-1.8500E+0
1.2537E+0,12.0485E-6,000.0000E-3,-12.2217E-6,-1.9000E+0
1.2982E+0,10.7608E-6,000.0000E-3,-10.9313E-6,-1.9500E+0
1.3427E+0,8.3837E-6,000.0000E-3,-8.5482E-6,-2.0000E+0
1.3871E+0,8.2982E-6,000.0000E-3,-8.4684E-6,-2.0500E+0
1.4316E+0,7.5638E-6,000.0000E-3,-7.7342E-6,-2.1000E+0
1.4760E+0,11.6747E-6,000.0000E-3,-11.8511E-6,-2.1500E+0
1.5006E+0,2.1226E-3,000.0000E-3,-2.1220E-3,-2.2000E+0
1.5254E+0,2.3163E-3,000.0000E-3,-2.3165E-3,-2.2500E+0
1.5502E+0,2.3320E-3,000.0000E-3,-2.3321E-3,-2.3000E+0
1.5751E+0,2.4544E-3,000.0000E-3,-2.4545E-3,-2.3500E+0
1.5999E+0,2.4910E-3,000.0000E-3,-2.4911E-3,-2.4000E+0
1.6247E+0,2.5774E-3,000.0000E-3,-2.5775E-3,-2.4500E+0
