---
Failed reset. Suspect cell burned out so moved on to other cell.
---
Time,BI,BV,AI,AV
42.9856E-3,335.0059E-9,000.0000E-3,-508.6520E-9,000.0000E-3
87.5172E-3,90.6152E-6,000.0000E-3,-90.7846E-6,-50.0000E-3
130.9985E-3,180.5304E-6,000.0000E-3,-180.6941E-6,-100.0000E-3
174.4550E-3,271.1029E-6,000.0000E-3,-271.2740E-6,-150.0000E-3
217.9000E-3,360.9763E-6,000.0000E-3,-361.1380E-6,-200.0000E-3
261.3565E-3,451.4749E-6,000.0000E-3,-451.6355E-6,-250.0000E-3
304.8339E-3,541.2859E-6,000.0000E-3,-541.4413E-6,-300.0000E-3
348.3171E-3,631.7412E-6,000.0000E-3,-631.8999E-6,-350.0000E-3
391.7955E-3,721.5156E-6,000.0000E-3,-721.6692E-6,-400.0000E-3
416.3336E-3,811.2878E-6,000.0000E-3,-811.4366E-6,-450.0000E-3
441.1739E-3,901.6788E-6,000.0000E-3,-901.8325E-6,-500.0000E-3
466.0085E-3,991.3751E-6,000.0000E-3,-991.5259E-6,-550.0000E-3
490.8669E-3,1.0816E-3,000.0000E-3,-1.0818E-3,-600.0000E-3
515.7263E-3,1.1712E-3,000.0000E-3,-1.1713E-3,-650.0000E-3
540.5704E-3,1.2607E-3,000.0000E-3,-1.2608E-3,-700.0000E-3
565.4145E-3,1.3509E-3,000.0000E-3,-1.3511E-3,-750.0000E-3
590.2472E-3,1.4403E-3,000.0000E-3,-1.4405E-3,-800.0000E-3
615.1037E-3,1.5305E-3,000.0000E-3,-1.5306E-3,-850.0000E-3
639.9383E-3,1.6199E-3,000.0000E-3,-1.6201E-3,-900.0000E-3
664.7862E-3,1.7093E-3,000.0000E-3,-1.7095E-3,-950.0000E-3
689.6265E-3,1.7992E-3,000.0000E-3,-1.7993E-3,-1.0000E+0
714.4706E-3,1.8884E-3,000.0000E-3,-1.8886E-3,-1.0500E+0
739.3004E-3,1.9783E-3,000.0000E-3,-1.9785E-3,-1.1000E+0
764.1464E-3,2.0675E-3,000.0000E-3,-2.0676E-3,-1.1500E+0
788.9991E-3,2.1567E-3,000.0000E-3,-2.1568E-3,-1.2000E+0
813.8413E-3,2.2463E-3,000.0000E-3,-2.2464E-3,-1.2500E+0
838.6845E-3,2.3351E-3,000.0000E-3,-2.3352E-3,-1.3000E+0
863.5201E-3,2.4248E-3,000.0000E-3,-2.4249E-3,-1.3500E+0
888.3756E-3,2.5137E-3,000.0000E-3,-2.5138E-3,-1.4000E+0
913.2197E-3,2.6025E-3,000.0000E-3,-2.6026E-3,-1.4500E+0
938.0572E-3,2.6919E-3,000.0000E-3,-2.6921E-3,-1.5000E+0
962.8622E-3,2.7809E-3,000.0000E-3,-2.7810E-3,-1.5500E+0
987.7120E-3,2.8702E-3,000.0000E-3,-2.8703E-3,-1.6000E+0
1.0125E+0,2.9587E-3,000.0000E-3,-2.9588E-3,-1.6500E+0
1.0374E+0,3.0471E-3,000.0000E-3,-3.0472E-3,-1.7000E+0
1.0622E+0,3.1361E-3,000.0000E-3,-3.1363E-3,-1.7500E+0
1.0870E+0,3.2244E-3,000.0000E-3,-3.2245E-3,-1.8000E+0
1.1119E+0,3.3131E-3,000.0000E-3,-3.3132E-3,-1.8500E+0
1.1368E+0,3.4015E-3,000.0000E-3,-3.4016E-3,-1.9000E+0
1.1616E+0,3.4899E-3,000.0000E-3,-3.4900E-3,-1.9500E+0
1.1864E+0,3.5784E-3,000.0000E-3,-3.5785E-3,-2.0000E+0
1.2113E+0,3.6664E-3,000.0000E-3,-3.6665E-3,-2.0500E+0
1.2361E+0,3.7545E-3,000.0000E-3,-3.7546E-3,-2.1000E+0
1.2610E+0,3.8420E-3,000.0000E-3,-3.8421E-3,-2.1500E+0
1.2858E+0,3.9300E-3,000.0000E-3,-3.9301E-3,-2.2000E+0
1.3107E+0,4.0174E-3,000.0000E-3,-4.0176E-3,-2.2500E+0
1.3355E+0,4.1045E-3,000.0000E-3,-4.1046E-3,-2.3000E+0
1.3603E+0,4.1927E-3,000.0000E-3,-4.1928E-3,-2.3500E+0
1.3852E+0,4.2794E-3,000.0000E-3,-4.2795E-3,-2.4000E+0
1.4100E+0,4.3666E-3,000.0000E-3,-4.3667E-3,-2.4500E+0
1.4348E+0,4.4520E-3,000.0000E-3,-4.4521E-3,-2.5000E+0
1.4597E+0,4.5363E-3,000.0000E-3,-4.5364E-3,-2.5500E+0
1.4845E+0,4.6216E-3,000.0000E-3,-4.6217E-3,-2.6000E+0
1.5094E+0,4.7060E-3,000.0000E-3,-4.7061E-3,-2.6500E+0
1.5342E+0,4.7899E-3,000.0000E-3,-4.7900E-3,-2.7000E+0
1.5591E+0,4.8731E-3,000.0000E-3,-4.8732E-3,-2.7500E+0
1.5839E+0,4.9542E-3,000.0000E-3,-4.9544E-3,-2.8000E+0
1.6088E+0,5.0314E-3,000.0000E-3,-5.0315E-3,-2.8500E+0
1.6336E+0,5.1055E-3,000.0000E-3,-5.1057E-3,-2.9000E+0
1.6585E+0,5.1714E-3,000.0000E-3,-5.1715E-3,-2.9500E+0
1.6833E+0,5.2293E-3,000.0000E-3,-5.2295E-3,-3.0000E+0
1.7082E+0,5.2636E-3,000.0000E-3,-5.2637E-3,-3.0500E+0
1.7330E+0,4.9167E-3,000.0000E-3,-4.9167E-3,-3.1000E+0
1.7578E+0,4.1217E-3,000.0000E-3,-4.1212E-3,-3.1500E+0
