---
Forming Success. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
43.0056E-3,141.9641E-12,000.0000E-3,-344.5653E-12,000.0000E-3
87.4905E-3,122.3325E-12,000.0000E-3,-659.2867E-12,50.0000E-3
132.0079E-3,75.0149E-12,000.0000E-3,-904.1826E-12,100.0000E-3
176.5071E-3,86.0892E-12,000.0000E-3,-950.2272E-12,150.0000E-3
221.0225E-3,82.5656E-12,000.0000E-3,-966.4187E-12,200.0000E-3
265.5170E-3,62.4305E-12,000.0000E-3,-962.3708E-12,250.0000E-3
310.0544E-3,52.3630E-12,000.0000E-3,-1.0114E-9,300.0000E-3
354.5460E-3,55.3832E-12,000.0000E-3,-1.0397E-9,350.0000E-3
399.0357E-3,30.7177E-12,000.0000E-3,-1.0018E-9,400.0000E-3
443.5473E-3,42.2953E-12,000.0000E-3,-1.0377E-9,450.0000E-3
488.0322E-3,70.9878E-12,000.0000E-3,-1.0094E-9,500.0000E-3
532.5610E-3,108.7412E-12,000.0000E-3,-996.2717E-12,550.0000E-3
577.0555E-3,38.2683E-12,000.0000E-3,-1.0306E-9,600.0000E-3
621.5575E-3,70.9878E-12,000.0000E-3,-1.0144E-9,650.0000E-3
666.0463E-3,40.7852E-12,000.0000E-3,-951.7451E-12,700.0000E-3
710.5436E-3,98.1702E-12,000.0000E-3,-1.0033E-9,750.0000E-3
755.0505E-3,58.4035E-12,000.0000E-3,-992.2239E-12,800.0000E-3
799.5373E-3,63.9406E-12,000.0000E-3,-1.0165E-9,850.0000E-3
844.0375E-3,67.9676E-12,000.0000E-3,-967.4306E-12,900.0000E-3
888.5262E-3,44.3088E-12,000.0000E-3,-999.8136E-12,950.0000E-3
933.0359E-3,39.2751E-12,000.0000E-3,-1.0362E-9,1.0000E+0
977.5389E-3,-8.0423E-12,000.0000E-3,-993.2357E-12,1.0500E+0
1.0209E+0,-294.7582E-9,000.0000E-3,293.7758E-9,1.1000E+0
1.0644E+0,-539.0432E-9,000.0000E-3,538.0238E-9,1.1500E+0
1.1079E+0,-332.0312E-9,000.0000E-3,331.0160E-9,1.2000E+0
1.1514E+0,-173.5796E-9,000.0000E-3,172.6451E-9,1.2500E+0
1.1948E+0,-90.8596E-9,000.0000E-3,89.8982E-9,1.3000E+0
1.2383E+0,-71.1317E-9,000.0000E-3,70.2329E-9,1.3500E+0
1.2817E+0,-70.3892E-9,000.0000E-3,69.4446E-9,1.4000E+0
1.3262E+0,-42.4367E-9,000.0000E-3,41.5052E-9,1.4500E+0
1.3707E+0,-42.0677E-9,000.0000E-3,41.1986E-9,1.5000E+0
1.4141E+0,-386.2626E-9,000.0000E-3,385.2786E-9,1.5500E+0
1.4576E+0,-77.5538E-9,000.0000E-3,76.6576E-9,1.6000E+0
1.5011E+0,-108.6142E-9,000.0000E-3,107.6255E-9,1.6500E+0
1.5456E+0,-75.9576E-9,000.0000E-3,75.0642E-9,1.7000E+0
1.5900E+0,-142.6254E-9,000.0000E-3,141.7608E-9,1.7500E+0
1.6335E+0,-116.6260E-9,000.0000E-3,115.9052E-9,1.8000E+0
1.6770E+0,-174.3437E-9,000.0000E-3,173.4745E-9,1.8500E+0
1.7204E+0,-151.5735E-9,000.0000E-3,150.6452E-9,1.9000E+0
1.7639E+0,-411.6041E-9,000.0000E-3,410.6915E-9,1.9500E+0
1.8073E+0,-105.5663E-9,000.0000E-3,104.6770E-9,2.0000E+0
1.8508E+0,-118.8731E-9,000.0000E-3,117.9464E-9,2.0500E+0
1.8943E+0,-176.4161E-9,000.0000E-3,175.4853E-9,2.1000E+0
1.9378E+0,-183.7010E-9,000.0000E-3,182.8077E-9,2.1500E+0
1.9813E+0,-236.5914E-9,000.0000E-3,235.6585E-9,2.2000E+0
2.0247E+0,-285.9495E-9,000.0000E-3,285.1308E-9,2.2500E+0
2.0682E+0,-273.5786E-9,000.0000E-3,272.6240E-9,2.3000E+0
2.1116E+0,-297.2333E-9,000.0000E-3,296.2886E-9,2.3500E+0
2.1361E+0,-7.7162E-6,000.0000E-3,7.7203E-6,2.4000E+0
2.1612E+0,-9.9968E-6,000.0000E-3,9.9998E-6,2.4500E+0
2.1861E+0,-9.9968E-6,000.0000E-3,9.9998E-6,2.5000E+0
2.2111E+0,-9.9968E-6,000.0000E-3,9.9998E-6,2.5500E+0
2.2361E+0,-9.9969E-6,000.0000E-3,9.9998E-6,2.6000E+0
2.2610E+0,-9.9969E-6,000.0000E-3,9.9998E-6,2.6500E+0
2.2860E+0,-9.9969E-6,000.0000E-3,9.9998E-6,2.7000E+0
2.3110E+0,-9.9969E-6,000.0000E-3,9.9998E-6,2.7500E+0
2.3360E+0,-9.9969E-6,000.0000E-3,9.9998E-6,2.8000E+0
2.3610E+0,-9.9969E-6,000.0000E-3,9.9998E-6,2.8500E+0
2.3859E+0,-9.9969E-6,000.0000E-3,9.9960E-6,2.9000E+0
2.4109E+0,-9.9967E-6,000.0000E-3,9.9855E-6,2.9500E+0
2.4359E+0,-9.9967E-6,000.0000E-3,9.9874E-6,3.0000E+0
2.4609E+0,-9.9967E-6,000.0000E-3,9.9896E-6,3.0500E+0
2.4858E+0,-9.9968E-6,000.0000E-3,9.9913E-6,3.1000E+0
2.5108E+0,-9.9968E-6,000.0000E-3,9.9924E-6,3.1500E+0
2.5358E+0,-9.9968E-6,000.0000E-3,9.9931E-6,3.2000E+0
2.5607E+0,-9.9968E-6,000.0000E-3,9.9936E-6,3.2500E+0
2.5857E+0,-9.9968E-6,000.0000E-3,9.9940E-6,3.3000E+0
2.6107E+0,-9.9968E-6,000.0000E-3,9.9943E-6,3.3500E+0
2.6357E+0,-9.9968E-6,000.0000E-3,9.9945E-6,3.4000E+0
2.6607E+0,-9.9968E-6,000.0000E-3,9.9946E-6,3.4500E+0
2.6856E+0,-9.9968E-6,000.0000E-3,9.9947E-6,3.5000E+0
2.7106E+0,-9.9968E-6,000.0000E-3,9.9948E-6,3.5500E+0
2.7356E+0,-9.9968E-6,000.0000E-3,9.9948E-6,3.6000E+0
2.7605E+0,-9.9968E-6,000.0000E-3,9.9948E-6,3.6500E+0
2.7855E+0,-9.9968E-6,000.0000E-3,9.9949E-6,3.7000E+0
2.8105E+0,-9.9968E-6,000.0000E-3,9.9950E-6,3.7500E+0
2.8355E+0,-9.9968E-6,000.0000E-3,9.9948E-6,3.8000E+0
2.8604E+0,-9.9968E-6,000.0000E-3,9.9948E-6,3.8500E+0
2.8854E+0,-9.9968E-6,000.0000E-3,9.9949E-6,3.9000E+0
2.9104E+0,-9.9968E-6,000.0000E-3,9.9949E-6,3.9500E+0
2.9353E+0,-9.9968E-6,000.0000E-3,9.9949E-6,4.0000E+0
2.9603E+0,-9.9968E-6,000.0000E-3,9.9948E-6,4.0500E+0
2.9853E+0,-9.9968E-6,000.0000E-3,9.9949E-6,4.1000E+0
