---
Failure to reset. A: Copper, B: Platinum.
---
Time,BI,BV,AI,AV
42.9350E-3,484.8818E-9,000.0000E-3,-571.3695E-9,000.0000E-3
87.4676E-3,110.6000E-6,000.0000E-3,-110.6869E-6,-50.0000E-3
130.9270E-3,220.9988E-6,000.0000E-3,-221.0857E-6,-100.0000E-3
174.3978E-3,333.5444E-6,000.0000E-3,-333.6253E-6,-150.0000E-3
217.8485E-3,446.8188E-6,000.0000E-3,-446.8971E-6,-200.0000E-3
261.3469E-3,562.7505E-6,000.0000E-3,-562.8236E-6,-250.0000E-3
304.8120E-3,679.6092E-6,000.0000E-3,-679.6758E-6,-300.0000E-3
329.3692E-3,800.2414E-6,000.0000E-3,-800.3032E-6,-350.0000E-3
354.2295E-3,923.0802E-6,000.0000E-3,-923.1449E-6,-400.0000E-3
379.0746E-3,1.0486E-3,000.0000E-3,-1.0487E-3,-450.0000E-3
403.9063E-3,1.1793E-3,000.0000E-3,-1.1794E-3,-500.0000E-3
428.7581E-3,1.3129E-3,000.0000E-3,-1.3129E-3,-550.0000E-3
453.5964E-3,1.4506E-3,000.0000E-3,-1.4506E-3,-600.0000E-3
478.4377E-3,1.5894E-3,000.0000E-3,-1.5894E-3,-650.0000E-3
503.2876E-3,1.7306E-3,000.0000E-3,-1.7306E-3,-700.0000E-3
528.1240E-3,1.8823E-3,000.0000E-3,-1.8823E-3,-750.0000E-3
552.9710E-3,2.0362E-3,000.0000E-3,-2.0363E-3,-800.0000E-3
577.7989E-3,2.1940E-3,000.0000E-3,-2.1940E-3,-850.0000E-3
602.6421E-3,2.3571E-3,000.0000E-3,-2.3571E-3,-900.0000E-3
627.4843E-3,2.5229E-3,000.0000E-3,-2.5229E-3,-950.0000E-3
652.3455E-3,2.6927E-3,000.0000E-3,-2.6927E-3,-1.0000E+0
677.1792E-3,2.8652E-3,000.0000E-3,-2.8652E-3,-1.0500E+0
702.0128E-3,3.0396E-3,000.0000E-3,-3.0396E-3,-1.1000E+0
726.8684E-3,3.2187E-3,000.0000E-3,-3.2187E-3,-1.1500E+0
751.7125E-3,3.3948E-3,000.0000E-3,-3.3949E-3,-1.2000E+0
776.5766E-3,3.5888E-3,000.0000E-3,-3.5888E-3,-1.2500E+0
801.4103E-3,3.7854E-3,000.0000E-3,-3.7855E-3,-1.3000E+0
826.2639E-3,3.9923E-3,000.0000E-3,-3.9924E-3,-1.3500E+0
851.0928E-3,4.1956E-3,000.0000E-3,-4.1957E-3,-1.4000E+0
875.9493E-3,4.4310E-3,000.0000E-3,-4.4310E-3,-1.4500E+0
900.7886E-3,4.6513E-3,000.0000E-3,-4.6514E-3,-1.5000E+0
925.6337E-3,4.8536E-3,000.0000E-3,-4.8536E-3,-1.5500E+0
950.4578E-3,5.0499E-3,000.0000E-3,-5.0500E-3,-1.6000E+0
975.3000E-3,5.2643E-3,000.0000E-3,-5.2644E-3,-1.6500E+0
1.0001E+0,5.5184E-3,000.0000E-3,-5.5185E-3,-1.7000E+0
1.0249E+0,5.8522E-3,000.0000E-3,-5.8523E-3,-1.7500E+0
1.0498E+0,6.4516E-3,000.0000E-3,-6.4518E-3,-1.8000E+0
1.0746E+0,7.0432E-3,000.0000E-3,-7.0434E-3,-1.8500E+0
1.0995E+0,7.9900E-3,000.0000E-3,-7.9902E-3,-1.9000E+0
1.1245E+0,7.9997E-3,000.0000E-3,-7.9998E-3,-1.9500E+0
1.1495E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.0000E+0
1.1745E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.0500E+0
1.1995E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.1000E+0
1.2244E+0,7.9996E-3,000.0000E-3,-7.9997E-3,-2.1500E+0
1.2494E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.2000E+0
1.2744E+0,7.9997E-3,000.0000E-3,-7.9998E-3,-2.2500E+0
1.2994E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.3000E+0
1.3244E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.3500E+0
1.3494E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.4000E+0
1.3744E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.4500E+0
1.3994E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.5000E+0
1.4243E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.5500E+0
1.4493E+0,7.9997E-3,000.0000E-3,-7.9998E-3,-2.6000E+0
1.4743E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.6500E+0
1.4993E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.7000E+0
1.5243E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.7500E+0
1.5493E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.8000E+0
1.5743E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.8500E+0
1.5992E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.9000E+0
1.6242E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-2.9500E+0
1.6492E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.0000E+0
1.6742E+0,7.9996E-3,000.0000E-3,-7.9997E-3,-3.0500E+0
1.6992E+0,7.9996E-3,000.0000E-3,-7.9998E-3,-3.1000E+0
1.7241E+0,7.9997E-3,000.0000E-3,-7.9998E-3,-3.1500E+0
1.7491E+0,7.9997E-3,000.0000E-3,-7.9998E-3,-3.2000E+0
1.7741E+0,7.9999E-3,000.0000E-3,-8.0001E-3,-3.2500E+0
1.7991E+0,7.9997E-3,000.0000E-3,-7.9998E-3,-3.3000E+0
1.8241E+0,7.9993E-3,000.0000E-3,-7.9995E-3,-3.3500E+0
1.8491E+0,7.9998E-3,000.0000E-3,-8.0000E-3,-3.4000E+0
1.8740E+0,7.9999E-3,000.0000E-3,-8.0000E-3,-3.4500E+0
1.8990E+0,7.9992E-3,000.0000E-3,-7.9994E-3,-3.5000E+0
1.9240E+0,7.9998E-3,000.0000E-3,-7.9999E-3,-3.5500E+0
1.9490E+0,7.9995E-3,000.0000E-3,-7.9997E-3,-3.6000E+0
1.9740E+0,7.9999E-3,000.0000E-3,-8.0000E-3,-3.6500E+0
1.9990E+0,7.9987E-3,000.0000E-3,-7.9990E-3,-3.7000E+0
2.0240E+0,7.9999E-3,000.0000E-3,-8.0000E-3,-3.7500E+0
2.0489E+0,7.9998E-3,000.0000E-3,-7.9999E-3,-3.8000E+0
2.0739E+0,7.9999E-3,000.0000E-3,-8.0000E-3,-3.8500E+0
2.0989E+0,7.9998E-3,000.0000E-3,-8.0000E-3,-3.9000E+0
2.1239E+0,7.9990E-3,000.0000E-3,-7.9992E-3,-3.9500E+0
2.1489E+0,7.9999E-3,000.0000E-3,-8.0000E-3,-4.0000E+0
