---
Cell did not conduct
---
Time,BI,BV,AI,AV
43.0180E-3,-44.7389E-9,000.0000E-3,-74.8171E-9,000.0000E-3
88.5580E-3,-45.2419E-9,000.0000E-3,-69.7608E-9,-50.0000E-3
133.0907E-3,-43.7330E-9,000.0000E-3,-74.8171E-9,-100.0000E-3
177.5747E-3,-41.2181E-9,000.0000E-3,-80.8848E-9,-150.0000E-3
222.1006E-3,-34.1766E-9,000.0000E-3,-85.9411E-9,-200.0000E-3
266.6456E-3,-14.5606E-9,000.0000E-3,-105.6612E-9,-250.0000E-3
311.1486E-3,55.3523E-9,000.0000E-3,-172.9111E-9,-300.0000E-3
355.6669E-3,125.2654E-9,000.0000E-3,-245.7230E-9,-350.0000E-3
400.1251E-3,259.5587E-9,000.0000E-3,-380.2230E-9,-400.0000E-3
444.6282E-3,598.0585E-9,000.0000E-3,-720.5178E-9,-450.0000E-3
489.1598E-3,1.1256E-6,000.0000E-3,-1.2438E-6,-500.0000E-3
533.6571E-3,1.5200E-6,000.0000E-3,-1.6458E-6,-550.0000E-3
578.1602E-3,2.2196E-6,000.0000E-3,-2.3350E-6,-600.0000E-3
622.6241E-3,2.8584E-6,000.0000E-3,-2.9872E-6,-650.0000E-3
667.1224E-3,96.1427E-6,000.0000E-3,-96.2720E-6,-700.0000E-3
711.5854E-3,3.6863E-6,000.0000E-3,-3.8114E-6,-750.0000E-3
756.0418E-3,5.0177E-6,000.0000E-3,-5.1423E-6,-800.0000E-3
800.5248E-3,456.0896E-6,000.0000E-3,-456.1685E-6,-850.0000E-3
843.9917E-3,563.8565E-9,000.0000E-3,-690.1794E-9,-900.0000E-3
888.5167E-3,777.1164E-9,000.0000E-3,-901.0309E-9,-950.0000E-3
933.0093E-3,1.4023E-6,000.0000E-3,-1.5229E-6,-1.0000E+0
977.5152E-3,1.5587E-6,000.0000E-3,-1.6842E-6,-1.0500E+0
1.0220E+0,4.1566E-6,000.0000E-3,-4.2797E-6,-1.1000E+0
1.0664E+0,1.5783E-6,000.0000E-3,-1.6989E-6,-1.1500E+0
1.1109E+0,722.7954E-9,000.0000E-3,-846.4219E-9,-1.2000E+0
1.1554E+0,1.2931E-6,000.0000E-3,-1.4147E-6,-1.2500E+0
1.1999E+0,1.3434E-6,000.0000E-3,-1.4693E-6,-1.3000E+0
1.2444E+0,162.9883E-9,000.0000E-3,-290.7249E-9,-1.3500E+0
1.2889E+0,3.5490E-6,000.0000E-3,-3.6769E-6,-1.4000E+0
1.3334E+0,348.5847E-9,000.0000E-3,-465.1702E-9,-1.4500E+0
1.3779E+0,149.9110E-9,000.0000E-3,-273.0275E-9,-1.5000E+0
1.4224E+0,108.6672E-9,000.0000E-3,-236.1159E-9,-1.5500E+0
1.4669E+0,104.1406E-9,000.0000E-3,-232.0708E-9,-1.6000E+0
1.5114E+0,61.3880E-9,000.0000E-3,-187.5746E-9,-1.6500E+0
1.5560E+0,1.5344E-9,000.0000E-3,-122.8529E-9,-1.7000E+0
1.6005E+0,-19.5904E-9,000.0000E-3,-109.2006E-9,-1.7500E+0
1.6450E+0,-26.6320E-9,000.0000E-3,-95.0427E-9,-1.8000E+0
1.6895E+0,-13.0518E-9,000.0000E-3,-114.2570E-9,-1.8500E+0
1.7340E+0,-35.6855E-9,000.0000E-3,-85.4354E-9,-1.9000E+0
1.7786E+0,-22.1052E-9,000.0000E-3,-103.6386E-9,-1.9500E+0
1.8231E+0,-3.4953E-9,000.0000E-3,-128.4149E-9,-2.0000E+0
1.8676E+0,-32.1647E-9,000.0000E-3,-92.5145E-9,-2.0500E+0
1.9121E+0,-39.2062E-9,000.0000E-3,-85.4354E-9,-2.1000E+0
1.9566E+0,-47.7567E-9,000.0000E-3,-80.8848E-9,-2.1500E+0
2.0012E+0,-49.7686E-9,000.0000E-3,-79.8735E-9,-2.2000E+0
2.0457E+0,-48.7627E-9,000.0000E-3,-79.8735E-9,-2.2500E+0
2.0902E+0,-48.2597E-9,000.0000E-3,-87.4580E-9,-2.3000E+0
2.1347E+0,-50.7747E-9,000.0000E-3,-81.8960E-9,-2.3500E+0
2.1793E+0,-52.2835E-9,000.0000E-3,-74.8171E-9,-2.4000E+0
2.2238E+0,-48.2597E-9,000.0000E-3,-74.3115E-9,-2.4500E+0
2.2683E+0,-49.2657E-9,000.0000E-3,-74.3115E-9,-2.5000E+0
2.3128E+0,-49.7686E-9,000.0000E-3,-78.3566E-9,-2.5500E+0
2.3573E+0,-50.7747E-9,000.0000E-3,-74.8171E-9,-2.6000E+0
2.4018E+0,-55.3013E-9,000.0000E-3,-75.8285E-9,-2.6500E+0
2.4464E+0,-50.7747E-9,000.0000E-3,-71.2777E-9,-2.7000E+0
2.4909E+0,-49.7686E-9,000.0000E-3,-74.3115E-9,-2.7500E+0
2.5354E+0,-50.7747E-9,000.0000E-3,-73.8058E-9,-2.8000E+0
2.5799E+0,-53.2895E-9,000.0000E-3,-69.7608E-9,-2.8500E+0
2.6244E+0,-56.3072E-9,000.0000E-3,-79.8735E-9,-2.9000E+0
2.6690E+0,-52.2835E-9,000.0000E-3,-70.7720E-9,-2.9500E+0
2.7135E+0,-48.2597E-9,000.0000E-3,-71.2777E-9,-3.0000E+0
2.7580E+0,-55.3013E-9,000.0000E-3,-74.3115E-9,-3.0500E+0
