---
Form* at 2.3 V. Too flimsy and reset after due to bad probe connection
---
Time,BI,BV,AI,AV
43.1562E-3,-256.4562E-12,000.0000E-3,-591.8039E-12,000.0000E-3
87.5935E-3,-326.9278E-12,000.0000E-3,-1.2951E-9,50.0000E-3
132.0632E-3,-261.4895E-12,000.0000E-3,-1.5430E-9,100.0000E-3
176.5767E-3,-331.9611E-12,000.0000E-3,-1.6341E-9,150.0000E-3
221.0845E-3,-321.8945E-12,000.0000E-3,-1.6745E-9,200.0000E-3
265.5847E-3,-296.7253E-12,000.0000E-3,-1.6189E-9,250.0000E-3
310.0906E-3,-377.2644E-12,000.0000E-3,-1.7150E-9,300.0000E-3
354.5879E-3,-357.1303E-12,000.0000E-3,-1.5784E-9,350.0000E-3
399.1072E-3,-402.4336E-12,000.0000E-3,-1.6088E-9,400.0000E-3
443.6197E-3,-377.2644E-12,000.0000E-3,-1.6847E-9,450.0000E-3
488.1170E-3,-342.0286E-12,000.0000E-3,-1.6240E-9,500.0000E-3
532.6296E-3,-422.5678E-12,000.0000E-3,-1.6088E-9,550.0000E-3
577.1288E-3,-377.2644E-12,000.0000E-3,-1.6341E-9,600.0000E-3
621.6490E-3,-372.2311E-12,000.0000E-3,-1.6745E-9,650.0000E-3
666.1616E-3,-457.8036E-12,000.0000E-3,-1.6644E-9,700.0000E-3
710.6561E-3,-422.5678E-12,000.0000E-3,-1.5430E-9,750.0000E-3
755.1649E-3,-503.1078E-12,000.0000E-3,-1.5885E-9,800.0000E-3
799.6631E-3,-498.0736E-12,000.0000E-3,-1.5835E-9,850.0000E-3
844.1814E-3,-462.8378E-12,000.0000E-3,-1.5683E-9,900.0000E-3
888.6930E-3,-503.1078E-12,000.0000E-3,-1.6037E-9,950.0000E-3
933.1923E-3,-538.3427E-12,000.0000E-3,-1.6189E-9,1.0000E+0
977.6943E-3,-447.7370E-12,000.0000E-3,-1.5025E-9,1.0500E+0
1.0221E+0,-523.2428E-12,000.0000E-3,-1.5177E-9,1.1000E+0
1.0667E+0,-523.2428E-12,000.0000E-3,-1.4975E-9,1.1500E+0
1.1112E+0,-568.5452E-12,000.0000E-3,-1.4317E-9,1.2000E+0
1.1556E+0,-623.9169E-12,000.0000E-3,-1.3052E-9,1.2500E+0
1.2001E+0,-618.8836E-12,000.0000E-3,-1.2900E-9,1.3000E+0
1.2446E+0,-633.9844E-12,000.0000E-3,-1.1888E-9,1.3500E+0
1.2891E+0,-613.8494E-12,000.0000E-3,-1.0370E-9,1.4000E+0
