---
Wild reset graph. Probe connection issues
---
Time,BI,BV,AI,AV
42.9446E-3,2.5403E-9,000.0000E-3,-139.5389E-9,000.0000E-3
88.4990E-3,14.9914E-6,000.0000E-3,-15.1322E-6,-50.0000E-3
132.9725E-3,-60.3311E-9,000.0000E-3,-87.4580E-9,-100.0000E-3
177.5003E-3,-56.3072E-9,000.0000E-3,-84.4243E-9,-150.0000E-3
222.0024E-3,-49.7686E-9,000.0000E-3,-86.4468E-9,-200.0000E-3
266.5331E-3,-47.2538E-9,000.0000E-3,-91.5031E-9,-250.0000E-3
311.0695E-3,-41.7212E-9,000.0000E-3,-102.1216E-9,-300.0000E-3
355.5830E-3,-1.4835E-9,000.0000E-3,-139.5389E-9,-350.0000E-3
400.0975E-3,30.7068E-9,000.0000E-3,-175.4392E-9,-400.0000E-3
444.5900E-3,113.6971E-9,000.0000E-3,-256.3415E-9,-450.0000E-3
489.1074E-3,260.0617E-9,000.0000E-3,-400.4485E-9,-500.0000E-3
533.6247E-3,400.8937E-9,000.0000E-3,-542.0274E-9,-550.0000E-3
578.1268E-3,627.2309E-9,000.0000E-3,-764.0028E-9,-600.0000E-3
622.6365E-3,831.9403E-9,000.0000E-3,-975.3597E-9,-650.0000E-3
667.1262E-3,1.1040E-6,000.0000E-3,-1.2468E-6,-700.0000E-3
711.6512E-3,1.4988E-6,000.0000E-3,-1.6478E-6,-750.0000E-3
756.1418E-3,111.8068E-6,000.0000E-3,-111.9246E-6,-800.0000E-3
800.6201E-3,38.8420E-6,000.0000E-3,-38.9837E-6,-850.0000E-3
845.1155E-3,46.1328E-6,000.0000E-3,-46.2674E-6,-900.0000E-3
889.6043E-3,25.0562E-6,000.0000E-3,-25.2040E-6,-950.0000E-3
934.1025E-3,20.7290E-6,000.0000E-3,-20.8778E-6,-1.0000E+0
978.5655E-3,11.4736E-6,000.0000E-3,-11.6104E-6,-1.0500E+0
1.0230E+0,7.4970E-6,000.0000E-3,-7.6356E-6,-1.1000E+0
1.0675E+0,10.5697E-6,000.0000E-3,-10.7078E-6,-1.1500E+0
1.1119E+0,9.5889E-6,000.0000E-3,-9.7360E-6,-1.2000E+0
1.1564E+0,6.6550E-6,000.0000E-3,-6.8018E-6,-1.2500E+0
1.2009E+0,54.4794E-6,000.0000E-3,-54.6246E-6,-1.3000E+0
1.2454E+0,48.3273E-6,000.0000E-3,-48.4745E-6,-1.3500E+0
1.2898E+0,17.8504E-6,000.0000E-3,-17.9976E-6,-1.4000E+0
1.3343E+0,15.0669E-6,000.0000E-3,-15.2096E-6,-1.4500E+0
1.3788E+0,15.9491E-6,000.0000E-3,-16.0969E-6,-1.5000E+0
1.4233E+0,11.7547E-6,000.0000E-3,-11.8976E-6,-1.5500E+0
1.4678E+0,7.4190E-6,000.0000E-3,-7.5744E-6,-1.6000E+0
1.5123E+0,4.9267E-6,000.0000E-3,-5.0740E-6,-1.6500E+0
1.5568E+0,5.4770E-6,000.0000E-3,-5.6231E-6,-1.7000E+0
1.6012E+0,7.5719E-6,000.0000E-3,-7.7170E-6,-1.7500E+0
1.6457E+0,6.4160E-6,000.0000E-3,-6.5682E-6,-1.8000E+0
1.6902E+0,1.0492E-6,000.0000E-3,-1.2059E-6,-1.8500E+0
1.7347E+0,850.5502E-9,000.0000E-3,-993.5629E-9,-1.9000E+0
1.7792E+0,769.5718E-9,000.0000E-3,-912.1548E-9,-1.9500E+0
1.8237E+0,1.6276E-6,000.0000E-3,-1.7773E-6,-2.0000E+0
1.8682E+0,116.7148E-9,000.0000E-3,-258.8696E-9,-2.0500E+0
1.9127E+0,-23.1112E-9,000.0000E-3,-115.7740E-9,-2.1000E+0
1.9572E+0,-31.6617E-9,000.0000E-3,-114.7626E-9,-2.1500E+0
2.0017E+0,-56.3072E-9,000.0000E-3,-89.9862E-9,-2.2000E+0
2.0462E+0,-50.7747E-9,000.0000E-3,-88.4694E-9,-2.2500E+0
2.0907E+0,-54.7984E-9,000.0000E-3,-84.4243E-9,-2.3000E+0
2.1353E+0,-60.3311E-9,000.0000E-3,-90.9976E-9,-2.3500E+0
2.1798E+0,-52.7866E-9,000.0000E-3,-88.4694E-9,-2.4000E+0
2.2243E+0,-53.2895E-9,000.0000E-3,-83.9186E-9,-2.4500E+0
2.2689E+0,-57.3132E-9,000.0000E-3,-91.5031E-9,-2.5000E+0
2.3134E+0,-55.3013E-9,000.0000E-3,-88.4694E-9,-2.5500E+0
2.3579E+0,-56.3072E-9,000.0000E-3,-85.9411E-9,-2.6000E+0
2.4024E+0,-59.3252E-9,000.0000E-3,-84.4243E-9,-2.6500E+0
2.4470E+0,-56.8103E-9,000.0000E-3,-86.9525E-9,-2.7000E+0
2.4915E+0,-60.3311E-9,000.0000E-3,-89.9862E-9,-2.7500E+0
2.5360E+0,-58.8221E-9,000.0000E-3,-90.4919E-9,-2.8000E+0
2.5805E+0,-54.2954E-9,000.0000E-3,-87.4580E-9,-2.8500E+0
2.6250E+0,-55.3013E-9,000.0000E-3,-90.4919E-9,-2.9000E+0
2.6696E+0,-58.8221E-9,000.0000E-3,-84.9299E-9,-2.9500E+0
2.7141E+0,-54.2954E-9,000.0000E-3,-89.9862E-9,-3.0000E+0
2.7586E+0,-58.3191E-9,000.0000E-3,-87.9637E-9,-3.0500E+0
2.8032E+0,-56.8103E-9,000.0000E-3,-86.9525E-9,-3.1000E+0
2.8477E+0,-55.3013E-9,000.0000E-3,-89.9862E-9,-3.1500E+0
2.8922E+0,-55.8043E-9,000.0000E-3,-90.9976E-9,-3.2000E+0
2.9367E+0,-25.6260E-9,000.0000E-3,-118.3021E-9,-3.2500E+0
2.9812E+0,-53.2895E-9,000.0000E-3,-81.8960E-9,-3.3000E+0
3.0257E+0,-57.8162E-9,000.0000E-3,-87.4580E-9,-3.3500E+0
3.0703E+0,-55.8043E-9,000.0000E-3,-83.9186E-9,-3.4000E+0
