---
Reset at -1.05 V, but had non-ohmic behavior leading up to reset
---
Time,BI,BV,AI,AV
43.3516E-3,-61.3371E-9,000.0000E-3,-77.3453E-9,000.0000E-3
88.9431E-3,-63.8518E-9,000.0000E-3,-78.3566E-9,-50.0000E-3
133.4424E-3,-64.8578E-9,000.0000E-3,-80.3792E-9,-100.0000E-3
177.9750E-3,-57.3132E-9,000.0000E-3,-81.3904E-9,-150.0000E-3
222.5133E-3,-59.8281E-9,000.0000E-3,-87.4580E-9,-200.0000E-3
267.0392E-3,-50.7747E-9,000.0000E-3,-87.4580E-9,-250.0000E-3
311.5699E-3,-24.1171E-9,000.0000E-3,-114.2570E-9,-300.0000E-3
356.0243E-3,4.5522E-9,000.0000E-3,-140.5502E-9,-350.0000E-3
400.5245E-3,79.4949E-9,000.0000E-3,-221.4525E-9,-400.0000E-3
445.0495E-3,193.6695E-9,000.0000E-3,-332.1873E-9,-450.0000E-3
489.5763E-3,423.5274E-9,000.0000E-3,-560.7361E-9,-500.0000E-3
534.0918E-3,686.5815E-9,000.0000E-3,-826.1963E-9,-550.0000E-3
578.5633E-3,1.1246E-6,000.0000E-3,-1.2610E-6,-600.0000E-3
623.0683E-3,1.3967E-6,000.0000E-3,-1.5381E-6,-650.0000E-3
667.5628E-3,1.8348E-6,000.0000E-3,-1.9709E-6,-700.0000E-3
712.0610E-3,2.5209E-6,000.0000E-3,-2.6667E-6,-750.0000E-3
756.5450E-3,3.5923E-6,000.0000E-3,-3.7341E-6,-800.0000E-3
801.0128E-3,3.6526E-6,000.0000E-3,-3.7973E-6,-850.0000E-3
845.4796E-3,4.3639E-6,000.0000E-3,-4.5067E-6,-900.0000E-3
889.9445E-3,5.1299E-6,000.0000E-3,-5.2722E-6,-950.0000E-3
934.4276E-3,4.7934E-6,000.0000E-3,-4.9385E-6,-1.0000E+0
977.9202E-3,-59.8281E-9,000.0000E-3,-83.4130E-9,-1.0500E+0
1.0224E+0,-60.8341E-9,000.0000E-3,-80.8848E-9,-1.1000E+0
1.0669E+0,-62.8459E-9,000.0000E-3,-79.8735E-9,-1.1500E+0
1.1114E+0,-62.3430E-9,000.0000E-3,-84.4243E-9,-1.2000E+0
1.1559E+0,-61.8400E-9,000.0000E-3,-80.3792E-9,-1.2500E+0
1.2005E+0,-63.8518E-9,000.0000E-3,-82.9074E-9,-1.3000E+0
1.2450E+0,-60.3311E-9,000.0000E-3,-78.8623E-9,-1.3500E+0
1.2895E+0,-62.3430E-9,000.0000E-3,-80.8848E-9,-1.4000E+0
1.3340E+0,-59.8281E-9,000.0000E-3,-80.8848E-9,-1.4500E+0
1.3785E+0,-59.3252E-9,000.0000E-3,-79.8735E-9,-1.5000E+0
1.4231E+0,-60.3311E-9,000.0000E-3,-83.9186E-9,-1.5500E+0
1.4676E+0,-61.3371E-9,000.0000E-3,-79.3679E-9,-1.6000E+0
1.5121E+0,-59.3252E-9,000.0000E-3,-76.3340E-9,-1.6500E+0
1.5566E+0,-61.3371E-9,000.0000E-3,-81.3904E-9,-1.7000E+0
1.6011E+0,-63.3489E-9,000.0000E-3,-81.8960E-9,-1.7500E+0
1.6457E+0,-60.3311E-9,000.0000E-3,-78.3566E-9,-1.8000E+0
1.6902E+0,-58.3191E-9,000.0000E-3,-77.8509E-9,-1.8500E+0
1.7347E+0,-58.3191E-9,000.0000E-3,-83.4130E-9,-1.9000E+0
1.7792E+0,-58.8221E-9,000.0000E-3,-83.9186E-9,-1.9500E+0
1.8238E+0,-55.8043E-9,000.0000E-3,-84.9299E-9,-2.0000E+0
1.8683E+0,-56.3072E-9,000.0000E-3,-90.9976E-9,-2.0500E+0
1.9128E+0,-56.8103E-9,000.0000E-3,-90.9976E-9,-2.1000E+0
1.9573E+0,-46.2479E-9,000.0000E-3,-96.0539E-9,-2.1500E+0
2.0019E+0,-49.7686E-9,000.0000E-3,-96.0539E-9,-2.2000E+0
2.0464E+0,-50.2717E-9,000.0000E-3,-96.0539E-9,-2.2500E+0
2.0909E+0,-54.2954E-9,000.0000E-3,-78.8623E-9,-2.3000E+0
2.1355E+0,-60.3311E-9,000.0000E-3,-84.9299E-9,-2.3500E+0
2.1800E+0,-56.3072E-9,000.0000E-3,-89.4806E-9,-2.4000E+0
2.2245E+0,-57.3132E-9,000.0000E-3,-92.0088E-9,-2.4500E+0
2.2690E+0,-62.3430E-9,000.0000E-3,-81.8960E-9,-2.5000E+0
2.3135E+0,-61.8400E-9,000.0000E-3,-85.9411E-9,-2.5500E+0
2.3581E+0,-61.8400E-9,000.0000E-3,-81.8960E-9,-2.6000E+0
2.4026E+0,-59.3252E-9,000.0000E-3,-80.3792E-9,-2.6500E+0
2.4471E+0,-60.8341E-9,000.0000E-3,-80.8848E-9,-2.7000E+0
2.4916E+0,-60.3311E-9,000.0000E-3,-80.8848E-9,-2.7500E+0
2.5361E+0,-65.3608E-9,000.0000E-3,-81.3904E-9,-2.8000E+0
2.5807E+0,-61.3371E-9,000.0000E-3,-82.4017E-9,-2.8500E+0
2.6252E+0,-58.3191E-9,000.0000E-3,-84.4243E-9,-2.9000E+0
2.6697E+0,-13.5547E-9,000.0000E-3,-129.4262E-9,-2.9500E+0
2.7142E+0,-7.0160E-9,000.0000E-3,-132.9657E-9,-3.0000E+0
