---
Form* at 0.25 V, very early
---
Time,BI,BV,AI,AV
43.0170E-3,-266.5228E-12,000.0000E-3,-1.0067E-9,000.0000E-3
87.4848E-3,-689.3552E-12,000.0000E-3,-1.0927E-9,50.0000E-3
131.9459E-3,-1.1121E-9,000.0000E-3,-758.7770E-12,100.0000E-3
176.4661E-3,-106.6741E-9,000.0000E-3,104.6854E-9,150.0000E-3
200.9948E-3,-18.3491E-6,000.0000E-3,18.3544E-6,200.0000E-3
225.8446E-3,-29.9753E-6,000.0000E-3,29.9738E-6,250.0000E-3
250.8412E-3,-29.9752E-6,000.0000E-3,29.9726E-6,300.0000E-3
275.8045E-3,-29.9751E-6,000.0000E-3,29.9714E-6,350.0000E-3
300.8001E-3,-29.9751E-6,000.0000E-3,29.9716E-6,400.0000E-3
325.7691E-3,-29.9751E-6,000.0000E-3,29.9712E-6,450.0000E-3
350.7429E-3,-29.9750E-6,000.0000E-3,29.9708E-6,500.0000E-3
375.7071E-3,-29.9751E-6,000.0000E-3,29.9715E-6,550.0000E-3
400.6799E-3,-29.9751E-6,000.0000E-3,29.9712E-6,600.0000E-3
425.6574E-3,-29.9750E-6,000.0000E-3,29.9706E-6,650.0000E-3
450.6254E-3,-29.9751E-6,000.0000E-3,29.9711E-6,700.0000E-3
475.6078E-3,-29.9750E-6,000.0000E-3,29.9710E-6,750.0000E-3
500.5662E-3,-29.9751E-6,000.0000E-3,29.9712E-6,800.0000E-3
525.5543E-3,-29.9751E-6,000.0000E-3,29.9710E-6,850.0000E-3
550.5328E-3,-29.9751E-6,000.0000E-3,29.9712E-6,900.0000E-3
575.4942E-3,-29.9751E-6,000.0000E-3,29.9709E-6,950.0000E-3
600.4927E-3,-29.9750E-6,000.0000E-3,29.9710E-6,1.0000E+0
625.4436E-3,-29.9750E-6,000.0000E-3,29.9709E-6,1.0500E+0
650.4230E-3,-29.9750E-6,000.0000E-3,29.9711E-6,1.1000E+0
675.3920E-3,-29.9750E-6,000.0000E-3,29.9709E-6,1.1500E+0
700.3591E-3,-29.9749E-6,000.0000E-3,29.9711E-6,1.2000E+0
725.3528E-3,-29.9750E-6,000.0000E-3,29.9709E-6,1.2500E+0
750.3189E-3,-29.9750E-6,000.0000E-3,29.9712E-6,1.3000E+0
775.2975E-3,-29.9750E-6,000.0000E-3,29.9709E-6,1.3500E+0
800.2531E-3,-29.9750E-6,000.0000E-3,29.9712E-6,1.4000E+0
825.2192E-3,-29.9749E-6,000.0000E-3,29.9708E-6,1.4500E+0
850.2015E-3,-29.9749E-6,000.0000E-3,29.9710E-6,1.5000E+0
875.1610E-3,-29.9749E-6,000.0000E-3,29.9708E-6,1.5500E+0
900.1510E-3,-29.9749E-6,000.0000E-3,29.9711E-6,1.6000E+0
925.1075E-3,-29.9749E-6,000.0000E-3,29.9707E-6,1.6500E+0
950.0889E-3,-29.9749E-6,000.0000E-3,29.9709E-6,1.7000E+0
975.0541E-3,-29.9749E-6,000.0000E-3,29.9709E-6,1.7500E+0
1.0000E+0,-29.9749E-6,000.0000E-3,29.9710E-6,1.8000E+0
1.0250E+0,-29.9749E-6,000.0000E-3,29.9707E-6,1.8500E+0
1.0499E+0,-29.9749E-6,000.0000E-3,29.9710E-6,1.9000E+0
1.0749E+0,-29.9749E-6,000.0000E-3,29.9707E-6,1.9500E+0
1.0998E+0,-29.9748E-6,000.0000E-3,29.9710E-6,2.0000E+0
1.1248E+0,-29.9749E-6,000.0000E-3,29.9708E-6,2.0500E+0
1.1498E+0,-29.9748E-6,000.0000E-3,29.9709E-6,2.1000E+0
1.1747E+0,-29.9749E-6,000.0000E-3,29.9709E-6,2.1500E+0
1.1997E+0,-29.9748E-6,000.0000E-3,29.9708E-6,2.2000E+0
1.2247E+0,-29.9748E-6,000.0000E-3,29.9708E-6,2.2500E+0
1.2497E+0,-29.9748E-6,000.0000E-3,29.9710E-6,2.3000E+0
1.2746E+0,-29.9748E-6,000.0000E-3,29.9708E-6,2.3500E+0
1.2996E+0,-29.9747E-6,000.0000E-3,29.9707E-6,2.4000E+0
1.3246E+0,-29.9748E-6,000.0000E-3,29.9708E-6,2.4500E+0
1.3495E+0,-29.9748E-6,000.0000E-3,29.9707E-6,2.5000E+0
1.3745E+0,-29.9748E-6,000.0000E-3,29.9713E-6,2.5500E+0
1.3994E+0,-29.9748E-6,000.0000E-3,29.9707E-6,2.6000E+0
1.4244E+0,-29.9747E-6,000.0000E-3,29.9708E-6,2.6500E+0
1.4494E+0,-29.9747E-6,000.0000E-3,29.9706E-6,2.7000E+0
1.4743E+0,-29.9747E-6,000.0000E-3,29.9707E-6,2.7500E+0
1.4993E+0,-29.9747E-6,000.0000E-3,29.9705E-6,2.8000E+0
1.5243E+0,-29.9747E-6,000.0000E-3,29.9707E-6,2.8500E+0
1.5492E+0,-29.9747E-6,000.0000E-3,29.9706E-6,2.9000E+0
1.5742E+0,-29.9747E-6,000.0000E-3,29.9704E-6,2.9500E+0
1.5992E+0,-29.9747E-6,000.0000E-3,29.9706E-6,3.0000E+0
1.6241E+0,-29.9747E-6,000.0000E-3,29.9705E-6,3.0500E+0
1.6491E+0,-29.9747E-6,000.0000E-3,29.9706E-6,3.1000E+0
1.6741E+0,-29.9747E-6,000.0000E-3,29.9705E-6,3.1500E+0
1.6990E+0,-29.9747E-6,000.0000E-3,29.9707E-6,3.2000E+0
1.7240E+0,-29.9746E-6,000.0000E-3,29.9706E-6,3.2500E+0
1.7490E+0,-29.9747E-6,000.0000E-3,29.9708E-6,3.3000E+0
1.7739E+0,-29.9747E-6,000.0000E-3,29.9705E-6,3.3500E+0
1.7989E+0,-29.9747E-6,000.0000E-3,29.9708E-6,3.4000E+0
1.8238E+0,-29.9747E-6,000.0000E-3,29.9706E-6,3.4500E+0
1.8488E+0,-29.9747E-6,000.0000E-3,29.9708E-6,3.5000E+0
1.8738E+0,-29.9747E-6,000.0000E-3,29.9706E-6,3.5500E+0
1.8988E+0,-29.9746E-6,000.0000E-3,29.9704E-6,3.6000E+0
1.9237E+0,-29.9747E-6,000.0000E-3,29.9705E-6,3.6500E+0
1.9487E+0,-29.9747E-6,000.0000E-3,29.9707E-6,3.7000E+0
1.9737E+0,-29.9747E-6,000.0000E-3,29.9704E-6,3.7500E+0
1.9986E+0,-29.9747E-6,000.0000E-3,29.9707E-6,3.8000E+0
2.0236E+0,-29.9747E-6,000.0000E-3,29.9707E-6,3.8500E+0
2.0486E+0,-29.9746E-6,000.0000E-3,29.9705E-6,3.9000E+0
2.0735E+0,-29.9747E-6,000.0000E-3,29.9707E-6,3.9500E+0
2.0985E+0,-29.9747E-6,000.0000E-3,29.9708E-6,4.0000E+0
2.1234E+0,-29.9747E-6,000.0000E-3,29.9708E-6,4.0500E+0
2.1484E+0,-29.9747E-6,000.0000E-3,29.9707E-6,4.1000E+0
2.1734E+0,-29.9747E-6,000.0000E-3,29.9708E-6,4.1500E+0
2.1984E+0,-29.9747E-6,000.0000E-3,29.9705E-6,4.2000E+0
2.2233E+0,-29.9747E-6,000.0000E-3,29.9708E-6,4.2500E+0
2.2483E+0,-29.9747E-6,000.0000E-3,29.9707E-6,4.3000E+0
2.2732E+0,-29.9747E-6,000.0000E-3,29.9708E-6,4.3500E+0
2.2982E+0,-29.9747E-6,000.0000E-3,29.9709E-6,4.4000E+0
2.3232E+0,-29.9746E-6,000.0000E-3,29.9707E-6,4.4500E+0
2.3481E+0,-29.9747E-6,000.0000E-3,29.9707E-6,4.5000E+0
2.3731E+0,-29.9746E-6,000.0000E-3,29.9706E-6,4.5500E+0
2.3981E+0,-29.9747E-6,000.0000E-3,29.9706E-6,4.6000E+0
2.4230E+0,-29.9747E-6,000.0000E-3,29.9706E-6,4.6500E+0
2.4480E+0,-29.9748E-6,000.0000E-3,29.9710E-6,4.7000E+0
2.4729E+0,-29.9747E-6,000.0000E-3,29.9705E-6,4.7500E+0
2.4979E+0,-29.9748E-6,000.0000E-3,29.9710E-6,4.8000E+0
2.5229E+0,-29.9747E-6,000.0000E-3,29.9705E-6,4.8500E+0
2.5478E+0,-29.9747E-6,000.0000E-3,29.9706E-6,4.9000E+0
2.5728E+0,-29.9747E-6,000.0000E-3,29.9705E-6,4.9500E+0
2.5978E+0,-29.9747E-6,000.0000E-3,29.9708E-6,5.0000E+0
