---
Form at 1.05 V after replacing probes
---
Time,BI,BV,AI,AV
43.0189E-3,-402.4336E-12,000.0000E-3,-1.0674E-9,000.0000E-3
87.4591E-3,-387.3328E-12,000.0000E-3,-1.2596E-9,50.0000E-3
131.9669E-3,-377.2644E-12,000.0000E-3,-1.4671E-9,100.0000E-3
176.4537E-3,-377.2644E-12,000.0000E-3,-1.5025E-9,150.0000E-3
220.9768E-3,-362.1636E-12,000.0000E-3,-1.5278E-9,200.0000E-3
265.4817E-3,-342.0286E-12,000.0000E-3,-1.6745E-9,250.0000E-3
309.9829E-3,-387.3328E-12,000.0000E-3,-1.6442E-9,300.0000E-3
354.5050E-3,-422.5678E-12,000.0000E-3,-1.6391E-9,350.0000E-3
398.9947E-3,-357.1303E-12,000.0000E-3,-1.6745E-9,400.0000E-3
443.5216E-3,-362.1636E-12,000.0000E-3,-1.6847E-9,450.0000E-3
488.0408E-3,-452.7703E-12,000.0000E-3,-1.6897E-9,500.0000E-3
532.5400E-3,-382.2986E-12,000.0000E-3,-1.8263E-9,550.0000E-3
577.0516E-3,-422.5678E-12,000.0000E-3,-1.7656E-9,600.0000E-3
621.5442E-3,-402.4336E-12,000.0000E-3,-1.7555E-9,650.0000E-3
666.0682E-3,-372.2311E-12,000.0000E-3,-1.7049E-9,700.0000E-3
710.5865E-3,-412.5011E-12,000.0000E-3,-1.8010E-9,750.0000E-3
755.0800E-3,-412.5011E-12,000.0000E-3,-1.7707E-9,800.0000E-3
799.5954E-3,-457.8036E-12,000.0000E-3,-1.7302E-9,850.0000E-3
844.0861E-3,-472.9053E-12,000.0000E-3,-1.7454E-9,900.0000E-3
888.6044E-3,-493.0403E-12,000.0000E-3,-1.5936E-9,950.0000E-3
933.1236E-3,-543.3778E-12,000.0000E-3,-1.5885E-9,1.0000E+0
976.7164E-3,-19.9734E-6,000.0000E-3,19.9985E-6,1.0500E+0
1.0014E+0,-19.9715E-6,000.0000E-3,19.9698E-6,1.1000E+0
1.0264E+0,-19.9707E-6,000.0000E-3,19.9617E-6,1.1500E+0
1.0513E+0,-19.9707E-6,000.0000E-3,19.9633E-6,1.2000E+0
1.0763E+0,-19.9707E-6,000.0000E-3,19.9642E-6,1.2500E+0
1.1013E+0,-19.9707E-6,000.0000E-3,19.9650E-6,1.3000E+0
1.1262E+0,-19.9706E-6,000.0000E-3,19.9654E-6,1.3500E+0
1.1512E+0,-19.9707E-6,000.0000E-3,19.9659E-6,1.4000E+0
1.1762E+0,-19.9706E-6,000.0000E-3,19.9660E-6,1.4500E+0
1.2012E+0,-19.9707E-6,000.0000E-3,19.9662E-6,1.5000E+0
1.2261E+0,-19.9706E-6,000.0000E-3,19.9663E-6,1.5500E+0
1.2511E+0,-19.9706E-6,000.0000E-3,19.9664E-6,1.6000E+0
1.2761E+0,-19.9706E-6,000.0000E-3,19.9664E-6,1.6500E+0
1.3011E+0,-19.9706E-6,000.0000E-3,19.9666E-6,1.7000E+0
1.3260E+0,-19.9706E-6,000.0000E-3,19.9665E-6,1.7500E+0
1.3510E+0,-19.9706E-6,000.0000E-3,19.9665E-6,1.8000E+0
1.3759E+0,-19.9706E-6,000.0000E-3,19.9664E-6,1.8500E+0
1.4009E+0,-19.9706E-6,000.0000E-3,19.9666E-6,1.9000E+0
1.4259E+0,-19.9705E-6,000.0000E-3,19.9664E-6,1.9500E+0
1.4509E+0,-19.9705E-6,000.0000E-3,19.9666E-6,2.0000E+0
1.4758E+0,-19.9706E-6,000.0000E-3,19.9664E-6,2.0500E+0
1.5008E+0,-19.9706E-6,000.0000E-3,19.9667E-6,2.1000E+0
1.5258E+0,-19.9705E-6,000.0000E-3,19.9664E-6,2.1500E+0
1.5507E+0,-19.9705E-6,000.0000E-3,19.9666E-6,2.2000E+0
1.5757E+0,-19.9705E-6,000.0000E-3,19.9665E-6,2.2500E+0
1.6007E+0,-19.9705E-6,000.0000E-3,19.9666E-6,2.3000E+0
1.6257E+0,-19.9705E-6,000.0000E-3,19.9663E-6,2.3500E+0
1.6506E+0,-19.9704E-6,000.0000E-3,19.9665E-6,2.4000E+0
1.6756E+0,-19.9705E-6,000.0000E-3,19.9664E-6,2.4500E+0
1.7005E+0,-19.9705E-6,000.0000E-3,19.9664E-6,2.5000E+0
1.7255E+0,-19.9705E-6,000.0000E-3,19.9665E-6,2.5500E+0
1.7505E+0,-19.9705E-6,000.0000E-3,19.9664E-6,2.6000E+0
1.7755E+0,-19.9705E-6,000.0000E-3,19.9665E-6,2.6500E+0
1.8004E+0,-19.9705E-6,000.0000E-3,19.9664E-6,2.7000E+0
1.8254E+0,-19.9705E-6,000.0000E-3,19.9666E-6,2.7500E+0
1.8504E+0,-19.9704E-6,000.0000E-3,19.9663E-6,2.8000E+0
1.8754E+0,-19.9704E-6,000.0000E-3,19.9666E-6,2.8500E+0
1.9003E+0,-19.9704E-6,000.0000E-3,19.9663E-6,2.9000E+0
1.9253E+0,-19.9704E-6,000.0000E-3,19.9666E-6,2.9500E+0
1.9503E+0,-19.9704E-6,000.0000E-3,19.9663E-6,3.0000E+0
1.9752E+0,-19.9704E-6,000.0000E-3,19.9665E-6,3.0500E+0
2.0002E+0,-19.9704E-6,000.0000E-3,19.9664E-6,3.1000E+0
2.0251E+0,-19.9704E-6,000.0000E-3,19.9664E-6,3.1500E+0
2.0501E+0,-19.9704E-6,000.0000E-3,19.9664E-6,3.2000E+0
2.0751E+0,-19.9704E-6,000.0000E-3,19.9663E-6,3.2500E+0
2.1001E+0,-19.9704E-6,000.0000E-3,19.9665E-6,3.3000E+0
2.1250E+0,-19.9704E-6,000.0000E-3,19.9664E-6,3.3500E+0
2.1500E+0,-19.9704E-6,000.0000E-3,19.9666E-6,3.4000E+0
2.1750E+0,-19.9704E-6,000.0000E-3,19.9665E-6,3.4500E+0
