---
Form* at 3.85 V
---
Time,BI,BV,AI,AV
43.1419E-3,-367.1978E-12,000.0000E-3,-854.9135E-12,000.0000E-3
87.6201E-3,-397.4003E-12,000.0000E-3,-1.4216E-9,50.0000E-3
132.0994E-3,-352.0970E-12,000.0000E-3,-1.5632E-9,100.0000E-3
176.6253E-3,-382.2986E-12,000.0000E-3,-1.6644E-9,150.0000E-3
221.1265E-3,-407.4669E-12,000.0000E-3,-1.6948E-9,200.0000E-3
265.6524E-3,-432.6361E-12,000.0000E-3,-1.7201E-9,250.0000E-3
310.1630E-3,-382.2986E-12,000.0000E-3,-1.6745E-9,300.0000E-3
354.6499E-3,-367.1978E-12,000.0000E-3,-1.6492E-9,350.0000E-3
399.1758E-3,-437.6695E-12,000.0000E-3,-1.6492E-9,400.0000E-3
443.6788E-3,-407.4669E-12,000.0000E-3,-1.6594E-9,450.0000E-3
488.2095E-3,-372.2311E-12,000.0000E-3,-1.6037E-9,500.0000E-3
532.7211E-3,-417.5345E-12,000.0000E-3,-1.6391E-9,550.0000E-3
577.2194E-3,-377.2644E-12,000.0000E-3,-1.5835E-9,600.0000E-3
621.7396E-3,-422.5678E-12,000.0000E-3,-1.6341E-9,650.0000E-3
666.2436E-3,-372.2311E-12,000.0000E-3,-1.6290E-9,700.0000E-3
710.7590E-3,-432.6361E-12,000.0000E-3,-1.5632E-9,750.0000E-3
755.2659E-3,-462.8378E-12,000.0000E-3,-1.6037E-9,800.0000E-3
799.7594E-3,-452.7703E-12,000.0000E-3,-1.5379E-9,850.0000E-3
844.2796E-3,-417.5345E-12,000.0000E-3,-1.5987E-9,900.0000E-3
888.7836E-3,-472.9053E-12,000.0000E-3,-1.6341E-9,950.0000E-3
933.3000E-3,-427.6020E-12,000.0000E-3,-1.5784E-9,1.0000E+0
977.8097E-3,-452.7703E-12,000.0000E-3,-1.5278E-9,1.0500E+0
1.0222E+0,-472.9053E-12,000.0000E-3,-1.5329E-9,1.1000E+0
1.0668E+0,-538.3427E-12,000.0000E-3,-1.5430E-9,1.1500E+0
