---
Reset at -0.55 V
---
Time,BI,BV,AI,AV
42.9350E-3,313.3779E-9,000.0000E-3,-496.0111E-9,000.0000E-3
87.4762E-3,89.4162E-6,000.0000E-3,-89.5929E-6,-50.0000E-3
130.9394E-3,177.9089E-6,000.0000E-3,-178.0876E-6,-100.0000E-3
174.4178E-3,267.0093E-6,000.0000E-3,-267.1794E-6,-150.0000E-3
217.8609E-3,355.4013E-6,000.0000E-3,-355.5740E-6,-200.0000E-3
261.3088E-3,444.1375E-6,000.0000E-3,-444.2966E-6,-250.0000E-3
304.7557E-3,532.1061E-6,000.0000E-3,-532.2691E-6,-300.0000E-3
348.2122E-3,620.4559E-6,000.0000E-3,-620.6201E-6,-350.0000E-3
391.6868E-3,707.8497E-6,000.0000E-3,-708.0180E-6,-400.0000E-3
435.1681E-3,794.0709E-6,000.0000E-3,-794.2338E-6,-450.0000E-3
459.7443E-3,878.5905E-6,000.0000E-3,-878.7481E-6,-500.0000E-3
504.5286E-3,880.2259E-9,000.0000E-3,-1.0613E-6,-550.0000E-3
549.0230E-3,1.6186E-6,000.0000E-3,-1.7914E-6,-600.0000E-3
593.4841E-3,2.9726E-6,000.0000E-3,-3.1607E-6,-650.0000E-3
638.0043E-3,1.6397E-6,000.0000E-3,-1.8197E-6,-700.0000E-3
682.4683E-3,3.9539E-6,000.0000E-3,-4.1350E-6,-750.0000E-3
726.9151E-3,29.8255E-6,000.0000E-3,-30.0004E-6,-800.0000E-3
771.3876E-3,36.1148E-6,000.0000E-3,-36.2698E-6,-850.0000E-3
815.8821E-3,19.4081E-6,000.0000E-3,-19.5777E-6,-900.0000E-3
860.3689E-3,32.1885E-6,000.0000E-3,-32.3628E-6,-950.0000E-3
904.8215E-3,10.6215E-6,000.0000E-3,-10.8054E-6,-1.0000E+0
949.3388E-3,11.3101E-6,000.0000E-3,-11.5047E-6,-1.0500E+0
993.8199E-3,11.9584E-6,000.0000E-3,-12.1342E-6,-1.1000E+0
1.0382E+0,7.9577E-6,000.0000E-3,-8.1382E-6,-1.1500E+0
1.0827E+0,2.7498E-6,000.0000E-3,-2.9261E-6,-1.2000E+0
1.1272E+0,2.4113E-6,000.0000E-3,-2.5893E-6,-1.2500E+0
1.1717E+0,2.0466E-6,000.0000E-3,-2.2298E-6,-1.3000E+0
1.2161E+0,2.1683E-6,000.0000E-3,-2.3501E-6,-1.3500E+0
1.2607E+0,2.3358E-6,000.0000E-3,-2.5210E-6,-1.4000E+0
1.3051E+0,2.3781E-6,000.0000E-3,-2.5615E-6,-1.4500E+0
1.3496E+0,4.7406E-6,000.0000E-3,-4.9441E-6,-1.5000E+0
1.3941E+0,-58.8204E-9,000.0000E-3,-121.3336E-9,-1.5500E+0
1.4386E+0,-65.8619E-9,000.0000E-3,-118.2997E-9,-1.6000E+0
1.4832E+0,-61.3353E-9,000.0000E-3,-115.7716E-9,-1.6500E+0
1.5277E+0,-46.7490E-9,000.0000E-3,-135.4913E-9,-1.7000E+0
1.5722E+0,-61.8382E-9,000.0000E-3,-120.8280E-9,-1.7500E+0
1.6167E+0,-47.2520E-9,000.0000E-3,-124.8731E-9,-1.8000E+0
1.6612E+0,-58.3173E-9,000.0000E-3,-124.8731E-9,-1.8500E+0
1.7058E+0,26.6845E-9,000.0000E-3,-204.2581E-9,-1.9000E+0
1.7503E+0,656.4039E-9,000.0000E-3,-834.7882E-9,-1.9500E+0
1.7948E+0,843.0061E-9,000.0000E-3,-1.0223E-6,-2.0000E+0
1.8393E+0,-62.3412E-9,000.0000E-3,-113.2433E-9,-2.0500E+0
1.8838E+0,-46.7490E-9,000.0000E-3,-131.4463E-9,-2.1000E+0
1.9283E+0,736.8793E-9,000.0000E-3,-920.2410E-9,-2.1500E+0
1.9728E+0,-73.9095E-9,000.0000E-3,-110.7152E-9,-2.2000E+0
2.0173E+0,-73.9095E-9,000.0000E-3,-109.7039E-9,-2.2500E+0
2.0619E+0,-73.9095E-9,000.0000E-3,-110.2096E-9,-2.3000E+0
2.1064E+0,-73.4065E-9,000.0000E-3,-106.1645E-9,-2.3500E+0
2.1509E+0,-77.9332E-9,000.0000E-3,-106.1645E-9,-2.4000E+0
2.1954E+0,-73.4065E-9,000.0000E-3,-105.6588E-9,-2.4500E+0
2.2399E+0,-74.9154E-9,000.0000E-3,-112.2320E-9,-2.5000E+0
2.2845E+0,-74.4124E-9,000.0000E-3,-109.1982E-9,-2.5500E+0
2.3290E+0,-73.4065E-9,000.0000E-3,-109.1982E-9,-2.6000E+0
2.3735E+0,-75.9213E-9,000.0000E-3,-112.7377E-9,-2.6500E+0
2.4180E+0,-73.4065E-9,000.0000E-3,-108.1870E-9,-2.7000E+0
2.4625E+0,-72.4005E-9,000.0000E-3,-108.1870E-9,-2.7500E+0
2.5071E+0,-70.8917E-9,000.0000E-3,-115.7716E-9,-2.8000E+0
2.5516E+0,19.1400E-9,000.0000E-3,-195.6623E-9,-2.8500E+0
2.5961E+0,-68.3768E-9,000.0000E-3,-110.7152E-9,-2.9000E+0
2.6406E+0,-69.8858E-9,000.0000E-3,-115.7716E-9,-2.9500E+0
2.6851E+0,-69.8858E-9,000.0000E-3,-113.2433E-9,-3.0000E+0
2.7297E+0,-72.9036E-9,000.0000E-3,-115.7716E-9,-3.0500E+0
2.7742E+0,-64.8560E-9,000.0000E-3,-116.2772E-9,-3.1000E+0
2.8187E+0,-67.3708E-9,000.0000E-3,-110.2096E-9,-3.1500E+0
2.8632E+0,-71.3946E-9,000.0000E-3,-118.2997E-9,-3.2000E+0
2.9078E+0,-72.4005E-9,000.0000E-3,-118.2997E-9,-3.2500E+0
2.9523E+0,-67.8738E-9,000.0000E-3,-112.7377E-9,-3.3000E+0
2.9968E+0,-63.3471E-9,000.0000E-3,-113.2433E-9,-3.3500E+0
3.0413E+0,-63.8500E-9,000.0000E-3,-123.3561E-9,-3.4000E+0
3.0858E+0,-57.3114E-9,000.0000E-3,-118.2997E-9,-3.4500E+0
3.1304E+0,-50.7728E-9,000.0000E-3,-119.8167E-9,-3.5000E+0
3.1749E+0,-51.2758E-9,000.0000E-3,-120.3223E-9,-3.5500E+0
3.2194E+0,-47.7549E-9,000.0000E-3,-131.9519E-9,-3.6000E+0
3.2639E+0,-40.2104E-9,000.0000E-3,-138.5253E-9,-3.6500E+0
3.3084E+0,-27.6361E-9,000.0000E-3,-150.6606E-9,-3.7000E+0
3.3529E+0,-13.0501E-9,000.0000E-3,-164.8185E-9,-3.7500E+0
3.3974E+0,530.2354E-12,000.0000E-3,-174.4256E-9,-3.8000E+0
3.4419E+0,24.6727E-9,000.0000E-3,-196.1679E-9,-3.8500E+0
3.4864E+0,55.3538E-9,000.0000E-3,-235.1020E-9,-3.9000E+0
3.5309E+0,115.7105E-9,000.0000E-3,-293.2504E-9,-3.9500E+0
3.5754E+0,163.4927E-9,000.0000E-3,-336.2296E-9,-4.0000E+0
