---
Failed reset. Amrita is determined this cell will reset
---
Time,BI,BV,AI,AV
42.9522E-3,435.5998E-9,000.0000E-3,-618.3753E-9,000.0000E-3
88.4761E-3,55.7855E-6,000.0000E-3,-55.9700E-6,-25.0000E-3
131.9593E-3,110.6844E-6,000.0000E-3,-110.8722E-6,-50.0000E-3
175.4281E-3,165.6496E-6,000.0000E-3,-165.8339E-6,-75.0000E-3
218.9256E-3,220.5208E-6,000.0000E-3,-220.6976E-6,-100.0000E-3
262.3735E-3,276.1958E-6,000.0000E-3,-276.3810E-6,-125.0000E-3
305.8519E-3,331.0981E-6,000.0000E-3,-331.2796E-6,-150.0000E-3
349.2874E-3,385.9537E-6,000.0000E-3,-386.1322E-6,-175.0000E-3
392.7715E-3,440.8887E-6,000.0000E-3,-441.0646E-6,-200.0000E-3
436.2575E-3,496.4882E-6,000.0000E-3,-496.6661E-6,-225.0000E-3
479.7292E-3,551.4353E-6,000.0000E-3,-551.6082E-6,-250.0000E-3
523.1991E-3,606.2557E-6,000.0000E-3,-606.4233E-6,-275.0000E-3
566.6794E-3,661.1646E-6,000.0000E-3,-661.3416E-6,-300.0000E-3
610.1415E-3,716.0966E-6,000.0000E-3,-716.2670E-6,-325.0000E-3
653.5856E-3,771.5970E-6,000.0000E-3,-771.7678E-6,-350.0000E-3
678.1295E-3,826.5079E-6,000.0000E-3,-826.6770E-6,-375.0000E-3
702.9622E-3,881.3157E-6,000.0000E-3,-881.4816E-6,-400.0000E-3
727.8110E-3,936.3735E-6,000.0000E-3,-936.5394E-6,-425.0000E-3
752.6618E-3,991.1013E-6,000.0000E-3,-991.2722E-6,-450.0000E-3
777.5250E-3,1.0467E-3,000.0000E-3,-1.0469E-3,-475.0000E-3
802.3672E-3,1.1015E-3,000.0000E-3,-1.1017E-3,-500.0000E-3
827.2066E-3,1.1563E-3,000.0000E-3,-1.1565E-3,-525.0000E-3
852.0535E-3,1.2111E-3,000.0000E-3,-1.2113E-3,-550.0000E-3
876.8996E-3,1.2659E-3,000.0000E-3,-1.2661E-3,-575.0000E-3
901.7656E-3,1.3215E-3,000.0000E-3,-1.3217E-3,-600.0000E-3
926.6374E-3,1.3763E-3,000.0000E-3,-1.3764E-3,-625.0000E-3
951.5024E-3,1.4310E-3,000.0000E-3,-1.4311E-3,-650.0000E-3
976.3475E-3,1.4859E-3,000.0000E-3,-1.4860E-3,-675.0000E-3
1.0011E+0,1.5405E-3,000.0000E-3,-1.5407E-3,-700.0000E-3
1.0260E+0,1.5961E-3,000.0000E-3,-1.5962E-3,-725.0000E-3
1.0508E+0,1.6509E-3,000.0000E-3,-1.6510E-3,-750.0000E-3
1.0757E+0,1.7054E-3,000.0000E-3,-1.7056E-3,-775.0000E-3
1.1005E+0,1.7604E-3,000.0000E-3,-1.7605E-3,-800.0000E-3
1.1254E+0,1.8151E-3,000.0000E-3,-1.8153E-3,-825.0000E-3
1.1502E+0,1.8706E-3,000.0000E-3,-1.8708E-3,-850.0000E-3
1.1750E+0,1.9253E-3,000.0000E-3,-1.9254E-3,-875.0000E-3
1.1999E+0,1.9801E-3,000.0000E-3,-1.9803E-3,-900.0000E-3
1.2248E+0,2.0349E-3,000.0000E-3,-2.0350E-3,-925.0000E-3
1.2496E+0,2.0898E-3,000.0000E-3,-2.0899E-3,-950.0000E-3
1.2745E+0,2.1453E-3,000.0000E-3,-2.1454E-3,-975.0000E-3
1.2993E+0,2.1996E-3,000.0000E-3,-2.1997E-3,-1.0000E+0
1.3241E+0,2.2549E-3,000.0000E-3,-2.2550E-3,-1.0250E+0
1.3490E+0,2.3098E-3,000.0000E-3,-2.3099E-3,-1.0500E+0
1.3738E+0,2.3639E-3,000.0000E-3,-2.3640E-3,-1.0750E+0
1.3987E+0,2.4191E-3,000.0000E-3,-2.4192E-3,-1.1000E+0
1.4235E+0,2.4743E-3,000.0000E-3,-2.4744E-3,-1.1250E+0
1.4484E+0,2.5288E-3,000.0000E-3,-2.5290E-3,-1.1500E+0
1.4732E+0,2.5829E-3,000.0000E-3,-2.5830E-3,-1.1750E+0
1.4981E+0,2.6371E-3,000.0000E-3,-2.6373E-3,-1.2000E+0
1.5229E+0,2.6918E-3,000.0000E-3,-2.6920E-3,-1.2250E+0
1.5478E+0,2.7464E-3,000.0000E-3,-2.7466E-3,-1.2500E+0
1.5726E+0,2.8015E-3,000.0000E-3,-2.8016E-3,-1.2750E+0
1.5974E+0,2.8558E-3,000.0000E-3,-2.8559E-3,-1.3000E+0
1.6223E+0,2.9105E-3,000.0000E-3,-2.9107E-3,-1.3250E+0
1.6471E+0,2.9670E-3,000.0000E-3,-2.9671E-3,-1.3500E+0
1.6720E+0,3.0221E-3,000.0000E-3,-3.0223E-3,-1.3750E+0
1.6968E+0,3.0767E-3,000.0000E-3,-3.0768E-3,-1.4000E+0
1.7216E+0,3.1307E-3,000.0000E-3,-3.1308E-3,-1.4250E+0
1.7465E+0,3.1852E-3,000.0000E-3,-3.1853E-3,-1.4500E+0
1.7713E+0,3.2399E-3,000.0000E-3,-3.2400E-3,-1.4750E+0
1.7962E+0,3.2943E-3,000.0000E-3,-3.2945E-3,-1.5000E+0
1.8210E+0,3.3482E-3,000.0000E-3,-3.3484E-3,-1.5250E+0
1.8459E+0,3.4023E-3,000.0000E-3,-3.4024E-3,-1.5500E+0
1.8707E+0,3.4577E-3,000.0000E-3,-3.4579E-3,-1.5750E+0
1.8956E+0,3.5144E-3,000.0000E-3,-3.5145E-3,-1.6000E+0
1.9204E+0,3.5686E-3,000.0000E-3,-3.5687E-3,-1.6250E+0
1.9453E+0,3.6231E-3,000.0000E-3,-3.6232E-3,-1.6500E+0
1.9701E+0,3.6764E-3,000.0000E-3,-3.6766E-3,-1.6750E+0
1.9949E+0,3.7304E-3,000.0000E-3,-3.7305E-3,-1.7000E+0
2.0198E+0,3.7857E-3,000.0000E-3,-3.7859E-3,-1.7250E+0
2.0446E+0,3.8395E-3,000.0000E-3,-3.8396E-3,-1.7500E+0
2.0695E+0,3.8937E-3,000.0000E-3,-3.8938E-3,-1.7750E+0
2.0944E+0,3.9472E-3,000.0000E-3,-3.9474E-3,-1.8000E+0
2.1192E+0,4.0010E-3,000.0000E-3,-4.0011E-3,-1.8250E+0
2.1440E+0,4.0550E-3,000.0000E-3,-4.0551E-3,-1.8500E+0
2.1689E+0,4.1107E-3,000.0000E-3,-4.1108E-3,-1.8750E+0
2.1937E+0,4.1648E-3,000.0000E-3,-4.1650E-3,-1.9000E+0
2.2186E+0,4.2189E-3,000.0000E-3,-4.2191E-3,-1.9250E+0
2.2434E+0,4.2741E-3,000.0000E-3,-4.2742E-3,-1.9500E+0
2.2683E+0,4.3292E-3,000.0000E-3,-4.3294E-3,-1.9750E+0
2.2931E+0,4.3803E-3,000.0000E-3,-4.3805E-3,-2.0000E+0
2.3180E+0,4.4371E-3,000.0000E-3,-4.4373E-3,-2.0250E+0
2.3428E+0,4.4930E-3,000.0000E-3,-4.4931E-3,-2.0500E+0
2.3677E+0,4.5442E-3,000.0000E-3,-4.5444E-3,-2.0750E+0
2.3926E+0,4.5971E-3,000.0000E-3,-4.5972E-3,-2.1000E+0
2.4174E+0,4.6516E-3,000.0000E-3,-4.6517E-3,-2.1250E+0
2.4422E+0,4.7086E-3,000.0000E-3,-4.7087E-3,-2.1500E+0
2.4671E+0,4.7544E-3,000.0000E-3,-4.7545E-3,-2.1750E+0
2.4919E+0,4.8118E-3,000.0000E-3,-4.8119E-3,-2.2000E+0
2.5168E+0,4.8744E-3,000.0000E-3,-4.8745E-3,-2.2250E+0
2.5416E+0,4.9245E-3,000.0000E-3,-4.9246E-3,-2.2500E+0
2.5664E+0,4.9768E-3,000.0000E-3,-4.9770E-3,-2.2750E+0
2.5913E+0,5.0272E-3,000.0000E-3,-5.0274E-3,-2.3000E+0
2.6161E+0,5.0686E-3,000.0000E-3,-5.0687E-3,-2.3250E+0
2.6410E+0,5.1173E-3,000.0000E-3,-5.1175E-3,-2.3500E+0
2.6659E+0,5.1811E-3,000.0000E-3,-5.1812E-3,-2.3750E+0
2.6907E+0,5.2355E-3,000.0000E-3,-5.2357E-3,-2.4000E+0
2.7155E+0,5.3038E-3,000.0000E-3,-5.3039E-3,-2.4250E+0
2.7404E+0,5.3497E-3,000.0000E-3,-5.3498E-3,-2.4500E+0
2.7652E+0,5.4105E-3,000.0000E-3,-5.4107E-3,-2.4750E+0
2.7901E+0,5.4546E-3,000.0000E-3,-5.4547E-3,-2.5000E+0
2.8149E+0,5.4898E-3,000.0000E-3,-5.4900E-3,-2.5250E+0
2.8398E+0,5.5701E-3,000.0000E-3,-5.5702E-3,-2.5500E+0
2.8646E+0,5.6730E-3,000.0000E-3,-5.6731E-3,-2.5750E+0
