---
Failed to set
---
Time,BI,BV,AI,AV
43.0361E-3,-558.5825E-12,000.0000E-3,-951.0970E-12,000.0000E-3
87.5048E-3,-634.0892E-12,000.0000E-3,-1.3052E-9,50.0000E-3
131.9945E-3,-603.8867E-12,000.0000E-3,-1.4874E-9,100.0000E-3
176.5290E-3,-639.1225E-12,000.0000E-3,-1.5380E-9,150.0000E-3
221.0388E-3,-583.7517E-12,000.0000E-3,-1.6847E-9,200.0000E-3
265.5246E-3,-654.2233E-12,000.0000E-3,-1.5380E-9,250.0000E-3
310.0439E-3,-689.4609E-12,000.0000E-3,-1.5430E-9,300.0000E-3
354.5469E-3,-699.5275E-12,000.0000E-3,-1.6594E-9,350.0000E-3
399.0690E-3,-649.1900E-12,000.0000E-3,-1.6847E-9,400.0000E-3
443.6007E-3,-669.3250E-12,000.0000E-3,-1.6797E-9,450.0000E-3
488.1028E-3,-649.1900E-12,000.0000E-3,-1.7859E-9,500.0000E-3
532.6220E-3,-593.8183E-12,000.0000E-3,-1.6493E-9,550.0000E-3
577.1307E-3,-634.0892E-12,000.0000E-3,-1.6544E-9,600.0000E-3
621.6538E-3,-644.1567E-12,000.0000E-3,-1.7201E-9,650.0000E-3
666.1893E-3,-649.1900E-12,000.0000E-3,-1.5835E-9,700.0000E-3
710.7133E-3,-634.0892E-12,000.0000E-3,-1.6645E-9,750.0000E-3
755.2211E-3,-664.2917E-12,000.0000E-3,-1.6645E-9,800.0000E-3
799.7336E-3,-669.3250E-12,000.0000E-3,-1.6544E-9,850.0000E-3
844.2243E-3,-674.3592E-12,000.0000E-3,-1.6240E-9,900.0000E-3
888.7559E-3,-669.3250E-12,000.0000E-3,-1.6797E-9,950.0000E-3
933.2704E-3,-664.2917E-12,000.0000E-3,-1.5329E-9,1.0000E+0
977.7935E-3,-659.2584E-12,000.0000E-3,-1.6038E-9,1.0500E+0
1.0223E+0,-659.2584E-12,000.0000E-3,-1.6493E-9,1.1000E+0
1.0667E+0,-694.4942E-12,000.0000E-3,-1.5582E-9,1.1500E+0
1.1113E+0,-669.3250E-12,000.0000E-3,-1.6392E-9,1.2000E+0
1.1558E+0,-664.2917E-12,000.0000E-3,-1.7050E-9,1.2500E+0
1.2003E+0,-654.2233E-12,000.0000E-3,-1.6797E-9,1.3000E+0
1.2448E+0,-689.4609E-12,000.0000E-3,-1.5936E-9,1.3500E+0
1.2893E+0,-669.3250E-12,000.0000E-3,-1.6746E-9,1.4000E+0
1.3339E+0,-694.4942E-12,000.0000E-3,-1.5430E-9,1.4500E+0
1.3784E+0,-669.3250E-12,000.0000E-3,-1.5936E-9,1.5000E+0
1.4229E+0,-699.5275E-12,000.0000E-3,-1.6645E-9,1.5500E+0
1.4674E+0,-659.2584E-12,000.0000E-3,-1.5532E-9,1.6000E+0
1.5119E+0,-704.5617E-12,000.0000E-3,-1.5886E-9,1.6500E+0
1.5564E+0,-709.5959E-12,000.0000E-3,-1.6493E-9,1.7000E+0
1.6009E+0,-724.6967E-12,000.0000E-3,-1.5532E-9,1.7500E+0
1.6454E+0,-699.5275E-12,000.0000E-3,-1.6240E-9,1.8000E+0
1.6899E+0,-719.6626E-12,000.0000E-3,-1.6544E-9,1.8500E+0
1.7345E+0,-734.7634E-12,000.0000E-3,-1.5936E-9,1.9000E+0
1.7790E+0,-764.9659E-12,000.0000E-3,-1.5481E-9,1.9500E+0
1.8235E+0,-780.0676E-12,000.0000E-3,-1.5734E-9,2.0000E+0
1.8680E+0,-795.1693E-12,000.0000E-3,-1.6038E-9,2.0500E+0
1.9125E+0,-790.1351E-12,000.0000E-3,-1.5683E-9,2.1000E+0
1.9570E+0,-800.2035E-12,000.0000E-3,-1.6038E-9,2.1500E+0
2.0015E+0,-830.4060E-12,000.0000E-3,-1.5430E-9,2.2000E+0
2.0460E+0,-875.7084E-12,000.0000E-3,-1.5430E-9,2.2500E+0
2.0905E+0,-795.1693E-12,000.0000E-3,-1.5380E-9,2.3000E+0
2.1351E+0,-825.3718E-12,000.0000E-3,-1.4823E-9,2.3500E+0
2.1796E+0,-840.4726E-12,000.0000E-3,-1.3761E-9,2.4000E+0
2.2241E+0,-830.4060E-12,000.0000E-3,-1.4975E-9,2.4500E+0
2.2686E+0,-931.0801E-12,000.0000E-3,-1.5380E-9,2.5000E+0
2.3131E+0,-915.9793E-12,000.0000E-3,-1.3963E-9,2.5500E+0
2.3576E+0,-915.9793E-12,000.0000E-3,-1.4874E-9,2.6000E+0
2.4021E+0,-966.3168E-12,000.0000E-3,-1.4671E-9,2.6500E+0
2.4466E+0,-1.0116E-9,000.0000E-3,-1.3103E-9,2.7000E+0
2.4912E+0,-1.0317E-9,000.0000E-3,-1.3103E-9,2.7500E+0
2.5357E+0,-1.0468E-9,000.0000E-3,-1.3913E-9,2.8000E+0
2.5802E+0,-1.0518E-9,000.0000E-3,-1.2395E-9,2.8500E+0
2.6247E+0,-1.1475E-9,000.0000E-3,-1.2192E-9,2.9000E+0
2.6692E+0,-1.1827E-9,000.0000E-3,-1.1990E-9,2.9500E+0
2.7137E+0,-1.2230E-9,000.0000E-3,-1.1636E-9,3.0000E+0
2.7582E+0,-1.2431E-9,000.0000E-3,-1.0573E-9,3.0500E+0
2.8027E+0,-1.3539E-9,000.0000E-3,-1.0016E-9,3.1000E+0
2.8472E+0,-1.3740E-9,000.0000E-3,-1.0067E-9,3.1500E+0
2.8917E+0,-1.3891E-9,000.0000E-3,-971.3359E-12,3.2000E+0
