Time,BI,BV,AI,AV
43.0323E-3,1.7041E-6,000.0000E-3,-1.8865E-6,000.0000E-3
87.5563E-3,219.9361E-6,000.0000E-3,-220.1172E-6,-25.0000E-3
130.9918E-3,436.0328E-6,000.0000E-3,-436.2049E-6,-50.0000E-3
174.4531E-3,652.1759E-6,000.0000E-3,-652.3427E-6,-75.0000E-3
199.0065E-3,867.9719E-6,000.0000E-3,-868.1382E-6,-100.0000E-3
223.8706E-3,1.0867E-3,000.0000E-3,-1.0869E-3,-125.0000E-3
248.6899E-3,1.3027E-3,000.0000E-3,-1.3029E-3,-150.0000E-3
273.5378E-3,1.5184E-3,000.0000E-3,-1.5185E-3,-175.0000E-3
298.3810E-3,1.7341E-3,000.0000E-3,-1.7342E-3,-200.0000E-3
323.2394E-3,1.9523E-3,000.0000E-3,-1.9524E-3,-225.0000E-3
348.0959E-3,2.1676E-3,000.0000E-3,-2.1677E-3,-250.0000E-3
372.9420E-3,2.3826E-3,000.0000E-3,-2.3827E-3,-275.0000E-3
397.7622E-3,2.5975E-3,000.0000E-3,-2.5977E-3,-300.0000E-3
422.6016E-3,2.8124E-3,000.0000E-3,-2.8125E-3,-325.0000E-3
447.4390E-3,3.0297E-3,000.0000E-3,-3.0299E-3,-350.0000E-3
472.2755E-3,3.2441E-3,000.0000E-3,-3.2442E-3,-375.0000E-3
497.1187E-3,3.4580E-3,000.0000E-3,-3.4581E-3,-400.0000E-3
521.9628E-3,3.6721E-3,000.0000E-3,-3.6722E-3,-425.0000E-3
546.8165E-3,3.8852E-3,000.0000E-3,-3.8853E-3,-450.0000E-3
571.6625E-3,4.1012E-3,000.0000E-3,-4.1013E-3,-475.0000E-3
596.5219E-3,4.3143E-3,000.0000E-3,-4.3144E-3,-500.0000E-3
621.3707E-3,4.5270E-3,000.0000E-3,-4.5271E-3,-525.0000E-3
646.2177E-3,4.7392E-3,000.0000E-3,-4.7394E-3,-550.0000E-3
671.0504E-3,4.9515E-3,000.0000E-3,-4.9516E-3,-575.0000E-3
695.9002E-3,4.9998E-3,000.0000E-3,-5.0000E-3,-600.0000E-3
720.9092E-3,4.9999E-3,000.0000E-3,-5.0000E-3,-625.0000E-3
745.9239E-3,4.9999E-3,000.0000E-3,-5.0000E-3,-650.0000E-3
770.8958E-3,4.9998E-3,000.0000E-3,-5.0000E-3,-675.0000E-3
795.9144E-3,4.9998E-3,000.0000E-3,-4.9999E-3,-700.0000E-3
820.9186E-3,4.9998E-3,000.0000E-3,-5.0000E-3,-725.0000E-3
845.9152E-3,4.9998E-3,000.0000E-3,-5.0000E-3,-750.0000E-3
870.9233E-3,4.9998E-3,000.0000E-3,-4.9999E-3,-775.0000E-3
895.9056E-3,4.9998E-3,000.0000E-3,-4.9999E-3,-800.0000E-3
920.8965E-3,4.9999E-3,000.0000E-3,-5.0000E-3,-825.0000E-3
945.8798E-3,4.9999E-3,000.0000E-3,-5.0000E-3,-850.0000E-3
970.8650E-3,4.9998E-3,000.0000E-3,-4.9999E-3,-875.0000E-3
995.8739E-3,4.9998E-3,000.0000E-3,-5.0000E-3,-900.0000E-3
1.0208E+0,4.9998E-3,000.0000E-3,-5.0000E-3,-925.0000E-3
1.0458E+0,4.9998E-3,000.0000E-3,-5.0000E-3,-950.0000E-3
1.0708E+0,4.9998E-3,000.0000E-3,-5.0000E-3,-975.0000E-3
1.0958E+0,4.9999E-3,000.0000E-3,-5.0000E-3,-1.0000E+0
1.1208E+0,4.9999E-3,000.0000E-3,-5.0000E-3,-1.0250E+0
1.1458E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.0500E+0
1.1708E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.0750E+0
1.1958E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.1000E+0
1.2208E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.1250E+0
1.2458E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.1500E+0
1.2708E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.1750E+0
1.2958E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.2000E+0
1.3208E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.2250E+0
1.3458E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.2500E+0
1.3707E+0,4.9998E-3,000.0000E-3,-5.0000E-3,-1.2750E+0
1.3957E+0,4.9998E-3,000.0000E-3,-5.0000E-3,-1.3000E+0
1.4207E+0,4.9999E-3,000.0000E-3,-5.0000E-3,-1.3250E+0
1.4457E+0,4.9999E-3,000.0000E-3,-5.0000E-3,-1.3500E+0
1.4707E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.3750E+0
1.4957E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.4000E+0
1.5207E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.4250E+0
1.5457E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.4500E+0
1.5707E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.4750E+0
1.5957E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.5000E+0
1.6207E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.5250E+0
1.6456E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.5500E+0
1.6706E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.5750E+0
1.6956E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.6000E+0
1.7206E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.6250E+0
1.7456E+0,4.9999E-3,000.0000E-3,-5.0000E-3,-1.6500E+0
1.7706E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.6750E+0
1.7955E+0,4.9998E-3,000.0000E-3,-5.0000E-3,-1.7000E+0
1.8205E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.7250E+0
1.8455E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.7500E+0
1.8705E+0,4.9998E-3,000.0000E-3,-5.0000E-3,-1.7750E+0
1.8956E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.8000E+0
1.9205E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.8250E+0
1.9455E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.8500E+0
1.9705E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.8750E+0
1.9955E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.9000E+0
2.0205E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.9250E+0
2.0455E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.9500E+0
2.0705E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-1.9750E+0
2.0955E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.0000E+0
2.1205E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.0250E+0
2.1455E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.0500E+0
2.1705E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.0750E+0
2.1955E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.1000E+0
2.2205E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.1250E+0
2.2454E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.1500E+0
2.2704E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.1750E+0
2.2954E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.2000E+0
2.3205E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.2250E+0
2.3455E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.2500E+0
2.3704E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.2750E+0
2.3954E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.3000E+0
2.4204E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.3250E+0
2.4455E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.3500E+0
2.4704E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.3750E+0
2.4954E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.4000E+0
2.5204E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.4250E+0
2.5454E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.4500E+0
2.5704E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.4750E+0
2.5954E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.5000E+0
2.6204E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.5250E+0
2.6454E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.5500E+0
2.6704E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.5750E+0
2.6954E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.6000E+0
2.7203E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.6250E+0
2.7453E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.6500E+0
2.7703E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.6750E+0
2.7953E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.7000E+0
2.8203E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.7250E+0
2.8453E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.7500E+0
2.8703E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.7750E+0
2.8953E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.8000E+0
2.9203E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.8250E+0
2.9453E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.8500E+0
2.9703E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.8750E+0
2.9953E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.9000E+0
3.0203E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.9250E+0
3.0453E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.9500E+0
3.0703E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-2.9750E+0
3.0953E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.0000E+0
3.1202E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.0250E+0
3.1453E+0,4.9999E-3,000.0000E-3,-4.9999E-3,-3.0500E+0
3.1703E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.0750E+0
3.1953E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.1000E+0
3.2203E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.1250E+0
3.2453E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.1500E+0
3.2703E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.1750E+0
3.2953E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.2000E+0
3.3203E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.2250E+0
3.3453E+0,4.9999E-3,000.0000E-3,-5.0000E-3,-3.2500E+0
3.3703E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.2750E+0
3.3952E+0,4.9999E-3,000.0000E-3,-4.9999E-3,-3.3000E+0
3.4202E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.3250E+0
3.4452E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.3500E+0
3.4702E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.3750E+0
3.4952E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.4000E+0
3.5202E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.4250E+0
3.5452E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.4500E+0
3.5702E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.4750E+0
3.5952E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.5000E+0
3.6202E+0,4.9999E-3,000.0000E-3,-4.9999E-3,-3.5250E+0
3.6451E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.5500E+0
3.6702E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.5750E+0
3.6951E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.6000E+0
3.7201E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.6250E+0
3.7451E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.6500E+0
3.7701E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.6750E+0
3.7951E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.7000E+0
3.8201E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.7250E+0
3.8451E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.7500E+0
3.8700E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.7750E+0
3.8950E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.8000E+0
3.9200E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.8250E+0
3.9450E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.8500E+0
3.9700E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.8750E+0
3.9950E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.9000E+0
4.0200E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.9250E+0
4.0450E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.9500E+0
4.0701E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-3.9750E+0
4.0950E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-4.0000E+0
4.1201E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-4.0250E+0
4.1450E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-4.0500E+0
4.1700E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-4.0750E+0
4.1950E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-4.1000E+0
4.2200E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-4.1250E+0
4.2450E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-4.1500E+0
4.2700E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-4.1750E+0
4.2950E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-4.2000E+0
4.3200E+0,4.9999E-3,000.0000E-3,-4.9999E-3,-4.2250E+0
4.3449E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-4.2500E+0
4.3699E+0,4.9999E-3,000.0000E-3,-4.9999E-3,-4.2750E+0
4.3950E+0,4.9998E-3,000.0000E-3,-4.9999E-3,-4.3000E+0
