---
Formed at 4.25V
---
Time,BI,BV,AI,AV
43.0199E-3,-654.2233E-12,000.0000E-3,-1.0067E-9,000.0000E-3
87.5058E-3,-624.0208E-12,000.0000E-3,-1.3862E-9,50.0000E-3
132.0327E-3,-603.8867E-12,000.0000E-3,-1.4621E-9,100.0000E-3
176.5376E-3,-603.8867E-12,000.0000E-3,-1.6139E-9,150.0000E-3
221.0588E-3,-689.4609E-12,000.0000E-3,-1.6442E-9,200.0000E-3
265.5618E-3,-659.2584E-12,000.0000E-3,-1.4924E-9,250.0000E-3
310.0916E-3,-578.7175E-12,000.0000E-3,-1.6746E-9,300.0000E-3
354.6127E-3,-583.7517E-12,000.0000E-3,-1.5886E-9,350.0000E-3
399.1272E-3,-563.6167E-12,000.0000E-3,-1.5785E-9,400.0000E-3
443.6445E-3,-568.6500E-12,000.0000E-3,-1.6442E-9,450.0000E-3
488.1476E-3,-608.9200E-12,000.0000E-3,-1.5734E-9,500.0000E-3
532.6449E-3,-553.5492E-12,000.0000E-3,-1.6088E-9,550.0000E-3
577.1784E-3,-603.8867E-12,000.0000E-3,-1.7151E-9,600.0000E-3
621.6710E-3,-548.5159E-12,000.0000E-3,-1.5987E-9,650.0000E-3
666.1959E-3,-548.5159E-12,000.0000E-3,-1.6038E-9,700.0000E-3
710.7047E-3,-649.1900E-12,000.0000E-3,-1.6948E-9,750.0000E-3
755.2020E-3,-704.5617E-12,000.0000E-3,-1.6442E-9,800.0000E-3
799.7403E-3,-664.2917E-12,000.0000E-3,-1.6392E-9,850.0000E-3
844.2548E-3,-644.1567E-12,000.0000E-3,-1.7353E-9,900.0000E-3
888.7674E-3,-654.2233E-12,000.0000E-3,-1.6038E-9,950.0000E-3
933.2780E-3,-644.1567E-12,000.0000E-3,-1.6999E-9,1.0000E+0
977.7668E-3,-639.1225E-12,000.0000E-3,-1.7960E-9,1.0500E+0
1.0223E+0,-583.7517E-12,000.0000E-3,-1.6442E-9,1.1000E+0
1.0668E+0,-714.6292E-12,000.0000E-3,-1.7201E-9,1.1500E+0
1.1113E+0,-629.0559E-12,000.0000E-3,-1.6695E-9,1.2000E+0
1.1558E+0,-583.7517E-12,000.0000E-3,-1.6493E-9,1.2500E+0
1.2003E+0,-644.1567E-12,000.0000E-3,-1.7606E-9,1.3000E+0
1.2448E+0,-644.1567E-12,000.0000E-3,-1.6898E-9,1.3500E+0
1.2893E+0,-664.2917E-12,000.0000E-3,-1.5481E-9,1.4000E+0
1.3338E+0,-598.8525E-12,000.0000E-3,-1.6442E-9,1.4500E+0
1.3783E+0,-629.0559E-12,000.0000E-3,-1.5987E-9,1.5000E+0
1.4228E+0,-624.0208E-12,000.0000E-3,-1.4924E-9,1.5500E+0
1.4674E+0,-639.1225E-12,000.0000E-3,-1.6088E-9,1.6000E+0
1.5119E+0,-654.2233E-12,000.0000E-3,-1.6746E-9,1.6500E+0
1.5564E+0,-709.5959E-12,000.0000E-3,-1.6088E-9,1.7000E+0
1.6009E+0,-679.3925E-12,000.0000E-3,-1.6645E-9,1.7500E+0
1.6454E+0,-709.5959E-12,000.0000E-3,-1.5329E-9,1.8000E+0
1.6899E+0,-719.6626E-12,000.0000E-3,-1.5936E-9,1.8500E+0
1.7344E+0,-724.6967E-12,000.0000E-3,-1.6392E-9,1.9000E+0
1.7790E+0,-780.0676E-12,000.0000E-3,-1.4975E-9,1.9500E+0
1.8235E+0,-764.9659E-12,000.0000E-3,-1.5785E-9,2.0000E+0
1.8680E+0,-800.2035E-12,000.0000E-3,-1.4975E-9,2.0500E+0
1.9125E+0,-835.4393E-12,000.0000E-3,-1.5177E-9,2.1000E+0
1.9570E+0,-780.0676E-12,000.0000E-3,-1.5987E-9,2.1500E+0
2.0015E+0,-775.0343E-12,000.0000E-3,-1.4520E-9,2.2000E+0
2.0461E+0,-865.6418E-12,000.0000E-3,-1.4165E-9,2.2500E+0
2.0906E+0,-931.0801E-12,000.0000E-3,-1.4975E-9,2.3000E+0
2.1351E+0,-915.9793E-12,000.0000E-3,-1.3913E-9,2.3500E+0
2.1796E+0,-941.1485E-12,000.0000E-3,-1.3710E-9,2.4000E+0
2.2241E+0,-986.4518E-12,000.0000E-3,-1.4570E-9,2.4500E+0
2.2686E+0,-1.0468E-9,000.0000E-3,-1.3761E-9,2.5000E+0
2.3131E+0,-1.0569E-9,000.0000E-3,-1.2749E-9,2.5500E+0
2.3576E+0,-1.0468E-9,000.0000E-3,-1.3508E-9,2.6000E+0
2.4021E+0,-1.0770E-9,000.0000E-3,-1.3407E-9,2.6500E+0
2.4466E+0,-1.1072E-9,000.0000E-3,-1.1787E-9,2.7000E+0
2.4911E+0,-1.1676E-9,000.0000E-3,-1.1939E-9,2.7500E+0
2.5356E+0,-1.2582E-9,000.0000E-3,-1.2040E-9,2.8000E+0
2.5801E+0,-1.2834E-9,000.0000E-3,-1.0674E-9,2.8500E+0
2.6246E+0,-1.2935E-9,000.0000E-3,-1.0118E-9,2.9000E+0
2.6691E+0,-1.3539E-9,000.0000E-3,-1.0269E-9,2.9500E+0
2.7136E+0,-1.3337E-9,000.0000E-3,-956.1569E-12,3.0000E+0
2.7581E+0,-1.4998E-9,000.0000E-3,-809.4228E-12,3.0500E+0
2.8026E+0,-1.5602E-9,000.0000E-3,-743.6451E-12,3.1000E+0
2.8471E+0,-1.6358E-9,000.0000E-3,-738.5852E-12,3.1500E+0
2.8917E+0,-1.7515E-9,000.0000E-3,-470.4157E-12,3.2000E+0
2.9362E+0,-1.7616E-9,000.0000E-3,-500.7745E-12,3.2500E+0
2.9807E+0,-1.8824E-9,000.0000E-3,-389.4591E-12,3.3000E+0
3.0252E+0,-2.0435E-9,000.0000E-3,-374.2793E-12,3.3500E+0
3.0697E+0,-2.1089E-9,000.0000E-3,-298.3827E-12,3.4000E+0
3.1142E+0,-2.1693E-9,000.0000E-3,-15.0333E-12,3.4500E+0
