---
Reset at 1.05V
---
Time,BI,BV,AI,AV
43.1514E-3,658.9140E-9,000.0000E-3,-848.9582E-9,000.0000E-3
87.6897E-3,188.4192E-6,000.0000E-3,-188.6001E-6,-50.0000E-3
131.1729E-3,375.3098E-6,000.0000E-3,-375.4885E-6,-100.0000E-3
174.6618E-3,563.3960E-6,000.0000E-3,-563.5627E-6,-150.0000E-3
218.1421E-3,749.9697E-6,000.0000E-3,-750.1317E-6,-200.0000E-3
242.6717E-3,937.6446E-6,000.0000E-3,-937.8039E-6,-250.0000E-3
267.5282E-3,1.1236E-3,000.0000E-3,-1.1237E-3,-300.0000E-3
292.3771E-3,1.3104E-3,000.0000E-3,-1.3105E-3,-350.0000E-3
317.2278E-3,1.4957E-3,000.0000E-3,-1.4958E-3,-400.0000E-3
342.0720E-3,1.6805E-3,000.0000E-3,-1.6806E-3,-450.0000E-3
366.8903E-3,1.8658E-3,000.0000E-3,-1.8659E-3,-500.0000E-3
391.7421E-3,2.0475E-3,000.0000E-3,-2.0476E-3,-550.0000E-3
416.5757E-3,2.2319E-3,000.0000E-3,-2.2320E-3,-600.0000E-3
441.4217E-3,2.4153E-3,000.0000E-3,-2.4154E-3,-650.0000E-3
466.2525E-3,2.6060E-3,000.0000E-3,-2.6061E-3,-700.0000E-3
491.1004E-3,2.7950E-3,000.0000E-3,-2.7951E-3,-750.0000E-3
515.9379E-3,2.9936E-3,000.0000E-3,-2.9937E-3,-800.0000E-3
540.7753E-3,3.1861E-3,000.0000E-3,-3.1862E-3,-850.0000E-3
565.6213E-3,3.3457E-3,000.0000E-3,-3.3458E-3,-900.0000E-3
590.4426E-3,3.4758E-3,000.0000E-3,-3.4760E-3,-950.0000E-3
615.2934E-3,3.2220E-3,000.0000E-3,-3.2212E-3,-1.0000E+0
660.0718E-3,-70.4009E-9,000.0000E-3,-114.2618E-9,-1.0500E+0
704.5978E-3,-75.4307E-9,000.0000E-3,-106.1715E-9,-1.1000E+0
749.1180E-3,-73.4188E-9,000.0000E-3,-112.7449E-9,-1.1500E+0
793.6172E-3,-76.4366E-9,000.0000E-3,-112.7449E-9,-1.2000E+0
838.1431E-3,-74.9278E-9,000.0000E-3,-115.7786E-9,-1.2500E+0
882.6624E-3,-80.9634E-9,000.0000E-3,-111.2278E-9,-1.3000E+0
927.1845E-3,-76.9397E-9,000.0000E-3,-111.7335E-9,-1.3500E+0
971.7018E-3,-78.9515E-9,000.0000E-3,-114.7674E-9,-1.4000E+0
1.0162E+0,-81.4664E-9,000.0000E-3,-111.7335E-9,-1.4500E+0
1.0607E+0,-72.4128E-9,000.0000E-3,-120.8351E-9,-1.5000E+0
1.1052E+0,-61.3474E-9,000.0000E-3,-129.4310E-9,-1.5500E+0
1.1497E+0,27.6793E-9,000.0000E-3,-224.9972E-9,-1.6000E+0
1.1931E+0,-78.9515E-9,000.0000E-3,-110.2166E-9,-1.6500E+0
1.2377E+0,-77.9456E-9,000.0000E-3,-111.7335E-9,-1.7000E+0
1.2822E+0,-77.4426E-9,000.0000E-3,-111.2278E-9,-1.7500E+0
1.3267E+0,-76.9397E-9,000.0000E-3,-115.2731E-9,-1.8000E+0
1.3712E+0,-78.9515E-9,000.0000E-3,-113.7561E-9,-1.8500E+0
1.4158E+0,-79.4544E-9,000.0000E-3,-115.2731E-9,-1.9000E+0
1.4603E+0,-77.4426E-9,000.0000E-3,-109.2054E-9,-1.9500E+0
1.5048E+0,-74.9278E-9,000.0000E-3,-112.2392E-9,-2.0000E+0
1.5493E+0,-78.4485E-9,000.0000E-3,-113.7561E-9,-2.0500E+0
1.5938E+0,-79.4544E-9,000.0000E-3,-109.7110E-9,-2.1000E+0
1.6384E+0,-69.8979E-9,000.0000E-3,-113.2505E-9,-2.1500E+0
1.6829E+0,-77.4426E-9,000.0000E-3,-116.7900E-9,-2.2000E+0
1.7274E+0,-77.9456E-9,000.0000E-3,-117.2957E-9,-2.2500E+0
1.7719E+0,-75.9337E-9,000.0000E-3,-111.2278E-9,-2.3000E+0
1.8164E+0,-76.4366E-9,000.0000E-3,-119.8238E-9,-2.3500E+0
1.8609E+0,-72.9157E-9,000.0000E-3,-120.3294E-9,-2.4000E+0
1.9054E+0,-69.3950E-9,000.0000E-3,-118.8126E-9,-2.4500E+0
1.9499E+0,-59.3354E-9,000.0000E-3,-133.4761E-9,-2.5000E+0
1.9944E+0,-39.7194E-9,000.0000E-3,-158.7582E-9,-2.5500E+0
2.0389E+0,-16.5825E-9,000.0000E-3,-177.4669E-9,-2.6000E+0
2.0834E+0,10.0751E-9,000.0000E-3,-196.1756E-9,-2.6500E+0
2.1279E+0,31.2001E-9,000.0000E-3,-225.5028E-9,-2.7000E+0
2.1724E+0,143.3638E-9,000.0000E-3,-336.7439E-9,-2.7500E+0
2.2169E+0,-9.0378E-9,000.0000E-3,-184.0402E-9,-2.8000E+0
2.2614E+0,-22.6182E-9,000.0000E-3,-163.3089E-9,-2.8500E+0
2.3060E+0,-6.5230E-9,000.0000E-3,-183.0289E-9,-2.9000E+0
2.3505E+0,-9.0378E-9,000.0000E-3,-181.5120E-9,-2.9500E+0
2.3949E+0,2.0276E-9,000.0000E-3,-194.6588E-9,-3.0000E+0
