---
Reset at -1.25V
---
Time,BI,BV,AI,AV
43.0170E-3,657.9081E-9,000.0000E-3,-840.3624E-9,000.0000E-3
87.5420E-3,98.8416E-6,000.0000E-3,-99.0297E-6,-25.0000E-3
130.9975E-3,196.1667E-6,000.0000E-3,-196.3536E-6,-50.0000E-3
174.4750E-3,293.5960E-6,000.0000E-3,-293.7779E-6,-75.0000E-3
217.9162E-3,390.8130E-6,000.0000E-3,-390.9895E-6,-100.0000E-3
261.4175E-3,489.4022E-6,000.0000E-3,-489.5809E-6,-125.0000E-3
304.8701E-3,586.7418E-6,000.0000E-3,-586.9072E-6,-150.0000E-3
348.3390E-3,683.9613E-6,000.0000E-3,-684.1299E-6,-175.0000E-3
391.7821E-3,781.1426E-6,000.0000E-3,-781.3111E-6,-200.0000E-3
416.3231E-3,879.5990E-6,000.0000E-3,-879.7650E-6,-225.0000E-3
441.1472E-3,976.7693E-6,000.0000E-3,-976.9299E-6,-250.0000E-3
465.9942E-3,1.0737E-3,000.0000E-3,-1.0739E-3,-275.0000E-3
490.8536E-3,1.1708E-3,000.0000E-3,-1.1709E-3,-300.0000E-3
515.7101E-3,1.2678E-3,000.0000E-3,-1.2680E-3,-325.0000E-3
540.5551E-3,1.3660E-3,000.0000E-3,-1.3661E-3,-350.0000E-3
565.3945E-3,1.4629E-3,000.0000E-3,-1.4630E-3,-375.0000E-3
590.2557E-3,1.5596E-3,000.0000E-3,-1.5598E-3,-400.0000E-3
615.0732E-3,1.6564E-3,000.0000E-3,-1.6566E-3,-425.0000E-3
639.9335E-3,1.7530E-3,000.0000E-3,-1.7531E-3,-450.0000E-3
664.7738E-3,1.8508E-3,000.0000E-3,-1.8509E-3,-475.0000E-3
689.6332E-3,1.9473E-3,000.0000E-3,-1.9475E-3,-500.0000E-3
714.4754E-3,2.0436E-3,000.0000E-3,-2.0437E-3,-525.0000E-3
739.3014E-3,2.1398E-3,000.0000E-3,-2.1399E-3,-550.0000E-3
764.1550E-3,2.2360E-3,000.0000E-3,-2.2361E-3,-575.0000E-3
789.0115E-3,2.3333E-3,000.0000E-3,-2.3335E-3,-600.0000E-3
813.8595E-3,2.4289E-3,000.0000E-3,-2.4290E-3,-625.0000E-3
838.7074E-3,2.5247E-3,000.0000E-3,-2.5248E-3,-650.0000E-3
863.5582E-3,2.6204E-3,000.0000E-3,-2.6205E-3,-675.0000E-3
888.3766E-3,2.7158E-3,000.0000E-3,-2.7159E-3,-700.0000E-3
913.2350E-3,2.8125E-3,000.0000E-3,-2.8126E-3,-725.0000E-3
