---
Same test as previous run but going to 2 V
---
Time,BI,BV,AI,AV
0.043245822,-7.90E-09,0,-1.10E-08,0
0.086655587,-2.47E-05,0,2.47E-05,0.050000001
0.130130172,-4.93E-05,0,4.93E-05,0.100000001
0.173615232,-7.22E-05,0,7.22E-05,0.150000006
0.217075512,-9.55E-05,0,9.55E-05,0.200000003
0.241627961,-0.000118861,0,0.000118844,0.25
0.266477793,-0.000144789,0,0.000144772,0.300000012
0.291319996,-0.000164057,0,0.000164041,0.349999994
0.316172689,-0.000189703,0,0.000189686,0.400000006
0.341010153,-0.000216033,0,0.000216017,0.449999988
0.365838051,-0.000241465,0,0.000241447,0.5
0.390802264,-0.000269342,0,0.000269324,0.550000012
0.415760756,-0.000294842,0,0.000294826,0.600000024
0.440752625,-0.000320433,0,0.000320416,0.649999976
0.465704441,-0.000343857,0,0.00034384,0.699999988
0.490709633,-0.000360668,0,0.00036065,0.75
0.515701473,-0.000391798,0,0.000391779,0.800000012
0.540683806,-0.00040272,0,0.000402699,0.850000024
0.565663278,-0.000430062,0,0.000430043,0.899999976
0.590618908,-0.000472043,0,0.000472026,0.949999988
0.615560234,-0.00049289,0,0.000492872,1
0.640519679,-0.000525783,0,0.000525757,1.049999952
0.665507734,-0.000568841,0,0.000568819,1.100000024
0.690464318,-0.000621569,0,0.000621552,1.149999976
0.715447605,-0.00083721,0,0.000837172,1.200000048
0.740408003,-0.00086373,0,0.000863696,1.25
0.76537317,-0.000908603,0,0.000908562,1.299999952
0.790353596,-0.000942048,0,0.000942008,1.350000024
0.815341651,-0.000989106,0,0.000989089,1.399999976
0.840323031,-0.00099968,0,0.000999634,1.450000048
0.865271032,-0.00099968,0,0.000999635,1.5
0.890245736,-0.000999679,0,0.000999633,1.549999952
0.915201366,-0.00099968,0,0.000999635,1.600000024
0.940159857,-0.000999679,0,0.000999633,1.649999976
0.965130746,-0.000999679,0,0.000999634,1.700000048
0.990085423,-0.000999679,0,0.000999633,1.75
1.015057206,-0.000999678,0,0.000999632,1.799999952
1.039991021,-0.000999674,0,0.000999625,1.850000024
1.064965606,-1.69E-08,0,-1.67E-09,1.899999976
1.089920402,-8.25E-09,0,-1.11E-08,1.950000048
1.114876032,-8.91E-09,0,-1.20E-08,2
