---
no form again
---
Time,BI,BV,AI,AV
0.043184821,-5.54E-10,0,-9.41E-10,0
0.087611608,-5.59E-10,0,-1.23E-09,0.050000001
0.132098451,-5.99E-10,0,-1.48E-09,0.100000001
0.176592901,-5.64E-10,0,-1.50E-09,0.150000006
0.221067354,-5.59E-10,0,-1.51E-09,0.200000003
0.265561819,-5.39E-10,0,-1.56E-09,0.25
0.310047686,-6.04E-10,0,-1.62E-09,0.300000012
0.354534537,-5.59E-10,0,-1.54E-09,0.349999994
0.399016589,-5.59E-10,0,-1.48E-09,0.400000006
0.443515837,-6.14E-10,0,-1.60E-09,0.449999988
0.488010287,-5.13E-10,0,-1.49E-09,0.5
0.532497108,-5.39E-10,0,-1.50E-09,0.550000012
0.576994479,-5.64E-10,0,-1.52E-09,0.600000024
0.621481299,-5.74E-10,0,-1.60E-09,0.649999976
0.665977657,-5.59E-10,0,-1.46E-09,0.699999988
0.710472107,-5.34E-10,0,-1.45E-09,0.75
0.754951358,-5.18E-10,0,-1.56E-09,0.800000012
0.799450576,-5.54E-10,0,-1.59E-09,0.850000024
0.843931675,-5.39E-10,0,-1.50E-09,0.899999976
0.888412774,-5.49E-10,0,-1.50E-09,0.949999988
0.9328987,-5.64E-10,0,-1.58E-09,1
0.977391243,-5.34E-10,0,-1.48E-09,1.049999952
1.02188468,-5.94E-10,0,-1.50E-09,1.100000024
1.066369653,-4.93E-10,0,-1.62E-09,1.149999976
1.110859394,-5.13E-10,0,-1.60E-09,1.200000048
1.155351877,-5.74E-10,0,-1.49E-09,1.25
1.199829221,-5.18E-10,0,-1.60E-09,1.299999952
1.244308472,-5.54E-10,0,-1.68E-09,1.350000024
1.288798094,-5.49E-10,0,-1.50E-09,1.399999976
1.333276391,-5.44E-10,0,-1.51E-09,1.450000048
1.377768993,-5.79E-10,0,-1.60E-09,1.5
1.42224431,-5.44E-10,0,-1.54E-09,1.549999952
1.466724515,-5.84E-10,0,-1.57E-09,1.600000024
1.511213303,-6.09E-10,0,-1.59E-09,1.649999976
1.555701971,-5.94E-10,0,-1.54E-09,1.700000048
1.600171685,-6.19E-10,0,-1.47E-09,1.75
1.644676566,-6.59E-10,0,-1.48E-09,1.799999952
1.689175844,-5.99E-10,0,-1.66E-09,1.850000024
1.733665586,-6.14E-10,0,-1.51E-09,1.899999976
1.778156161,-5.84E-10,0,-1.41E-09,1.950000048
1.822653532,-5.89E-10,0,-1.60E-09,2
1.867170811,-6.04E-10,0,-1.59E-09,2.049999952
1.911674857,-5.79E-10,0,-1.50E-09,2.099999905
1.956180692,-5.49E-10,0,-1.52E-09,2.150000095
2.000685692,-5.64E-10,0,-1.56E-09,2.200000048
2.045200109,-5.94E-10,0,-1.49E-09,2.25
2.089707136,-5.94E-10,0,-1.42E-09,2.299999952
2.134208202,-5.64E-10,0,-1.55E-09,2.349999905
2.1787045,-6.09E-10,0,-1.58E-09,2.400000095
2.223183632,-5.74E-10,0,-1.49E-09,2.450000048
2.267697334,-6.14E-10,0,-1.58E-09,2.5
2.312190771,-5.59E-10,0,-1.52E-09,2.549999952
2.356675625,-5.59E-10,0,-1.45E-09,2.599999905
2.401184559,-6.49E-10,0,-1.40E-09,2.650000095
2.445678949,-6.34E-10,0,-1.52E-09,2.700000048
2.490177155,-5.94E-10,0,-1.49E-09,2.75
2.534691572,-6.59E-10,0,-1.44E-09,2.799999952
2.579177618,-6.90E-10,0,-1.50E-09,2.849999905
2.62368536,-6.44E-10,0,-1.46E-09,2.900000095
2.668173075,-7.05E-10,0,-1.40E-09,2.950000048
2.712655306,-7.10E-10,0,-1.42E-09,3
2.75713253,-7.40E-10,0,-1.43E-09,3.049999952
2.801618338,-7.45E-10,0,-1.44E-09,3.099999905
2.846096754,-7.50E-10,0,-1.31E-09,3.150000095
2.890603542,-8.10E-10,0,-1.36E-09,3.200000048
2.935118914,-7.95E-10,0,-1.39E-09,3.25
2.979599237,-8.56E-10,0,-1.32E-09,3.299999952
3.024119377,-8.21E-10,0,-1.25E-09,3.349999905
3.06861949,-8.81E-10,0,-1.30E-09,3.400000095
3.113101482,-8.71E-10,0,-1.39E-09,3.450000048
3.15759325,-8.81E-10,0,-1.29E-09,3.5
3.202075243,-9.31E-10,0,-1.23E-09,3.549999952
3.246544838,-9.36E-10,0,-1.20E-09,3.599999905
3.291014671,-9.11E-10,0,-1.23E-09,3.650000095
3.335493803,-1.07E-09,0,-1.14E-09,3.700000048
3.37997961,-1.02E-09,0,-1.02E-09,3.75
3.424471378,-1.04E-09,0,-1.07E-09,3.799999952
3.468969584,-1.14E-09,0,-9.61E-10,3.849999905
3.513450623,-1.17E-09,0,-8.30E-10,3.900000095
3.557910919,-1.21E-09,0,-9.41E-10,3.950000048
3.602398634,-2.41E-09,0,3.69E-10,4
3.646895885,-6.97E-09,0,4.82E-09,4.050000191
3.691387653,-3.25E-09,0,1.31E-09,4.099999905
3.735877275,-2.64E-09,0,5.26E-10,4.150000095
3.780367851,-1.89E-09,0,-8.09E-11,4.199999809
3.824824333,-2.41E-09,0,3.04E-10,4.25
3.869308233,-4.95E-09,0,2.91E-09,4.300000191
3.913814068,-4.62E-09,0,2.56E-09,4.349999905
3.958298922,-2.15E-09,0,-1.51E-11,4.400000095
4.002795219,-2.70E-09,0,5.67E-10,4.449999809
4.047275543,-5.08E-09,0,3.05E-09,4.5
4.091749191,-5.15E-09,0,3.05E-09,4.550000191
4.136205196,-1.28E-08,0,1.07E-08,4.599999905
4.180682659,-7.75E-08,0,7.54E-08,4.650000095
4.225143909,-6.11E-09,0,4.03E-09,4.699999809
4.269627571,-6.24E-09,0,4.11E-09,4.75
4.314101219,-7.70E-09,0,5.58E-09,4.800000191
4.358598709,-9.41E-09,0,7.31E-09,4.849999905
4.403077602,-8.74E-09,0,6.62E-09,4.900000095
4.447555065,-9.61E-09,0,7.51E-09,4.949999809
4.492055416,-2.06E-08,0,1.86E-08,5
