---
Formed 4.95V
---
Time,BI,BV,AI,AV
0.043184821,-7.15E-10,0,-9.51E-10,0
0.087611608,-6.75E-10,0,-1.21E-09,0.050000001
0.132098451,-6.54E-10,0,-1.46E-09,0.100000001
0.176592901,-6.44E-10,0,-1.50E-09,0.150000006
0.221067354,-6.64E-10,0,-1.59E-09,0.200000003
0.265561819,-6.80E-10,0,-1.62E-09,0.25
0.310047686,-6.90E-10,0,-1.62E-09,0.300000012
0.354534537,-7.05E-10,0,-1.57E-09,0.349999994
0.399016589,-6.34E-10,0,-1.55E-09,0.400000006
0.443515837,-6.49E-10,0,-1.61E-09,0.449999988
0.488010287,-6.44E-10,0,-1.56E-09,0.5
0.532497108,-6.49E-10,0,-1.57E-09,0.550000012
0.576994479,-6.44E-10,0,-1.65E-09,0.600000024
0.621481299,-6.59E-10,0,-1.55E-09,0.649999976
0.665977657,-6.75E-10,0,-1.47E-09,0.699999988
0.710472107,-6.54E-10,0,-1.50E-09,0.75
0.754951358,-6.54E-10,0,-1.57E-09,0.800000012
0.799450576,-6.64E-10,0,-1.53E-09,0.850000024
0.843931675,-6.24E-10,0,-1.50E-09,0.899999976
0.888412774,-6.54E-10,0,-1.63E-09,0.949999988
0.9328987,-6.04E-10,0,-1.48E-09,1
0.977391243,-6.59E-10,0,-1.54E-09,1.049999952
1.02188468,-6.85E-10,0,-1.59E-09,1.100000024
1.066369653,-6.80E-10,0,-1.66E-09,1.149999976
1.110859394,-6.75E-10,0,-1.55E-09,1.200000048
1.155351877,-7.15E-10,0,-1.61E-09,1.25
1.199829221,-6.44E-10,0,-1.72E-09,1.299999952
1.244308472,-6.49E-10,0,-1.57E-09,1.350000024
1.288798094,-6.24E-10,0,-1.50E-09,1.399999976
1.333276391,-5.99E-10,0,-1.66E-09,1.450000048
1.377768993,-6.70E-10,0,-1.63E-09,1.5
1.42224431,-7.15E-10,0,-1.55E-09,1.549999952
1.466724515,-6.70E-10,0,-1.62E-09,1.600000024
1.511213303,-7.05E-10,0,-1.68E-09,1.649999976
1.555701971,-6.24E-10,0,-1.58E-09,1.700000048
1.600171685,-7.15E-10,0,-1.50E-09,1.75
1.644676566,-6.95E-10,0,-1.58E-09,1.799999952
1.689175844,-7.05E-10,0,-1.46E-09,1.850000024
1.733665586,-7.20E-10,0,-1.52E-09,1.899999976
1.778156161,-6.70E-10,0,-1.58E-09,1.950000048
1.822653532,-7.20E-10,0,-1.55E-09,2
1.867170811,-7.20E-10,0,-1.46E-09,2.049999952
1.911674857,-8.10E-10,0,-1.55E-09,2.099999905
1.956180692,-7.00E-10,0,-1.55E-09,2.150000095
2.000685692,-7.80E-10,0,-1.40E-09,2.200000048
2.045200109,-7.50E-10,0,-1.39E-09,2.25
2.089707136,-7.40E-10,0,-1.48E-09,2.299999952
2.134208202,-7.75E-10,0,-1.41E-09,2.349999905
2.1787045,-8.56E-10,0,-1.38E-09,2.400000095
2.223183632,-7.90E-10,0,-1.48E-09,2.450000048
2.267697334,-8.26E-10,0,-1.49E-09,2.5
2.312190771,-8.96E-10,0,-1.30E-09,2.549999952
2.356675625,-9.16E-10,0,-1.37E-09,2.599999905
2.401184559,-9.11E-10,0,-1.32E-09,2.650000095
2.445678949,-9.72E-10,0,-1.24E-09,2.700000048
2.490177155,-1.01E-09,0,-1.12E-09,2.75
2.534691572,-9.72E-10,0,-1.26E-09,2.799999952
2.579177618,-1.06E-09,0,-1.20E-09,2.849999905
